,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,26.0,350.0,2911.08,32.0,345.0,2913.71
2,190.0,285.0,1062.15,186.0,278.0,1063.86
3,58.0,35.0,2915.67,57.0,39.0,2907.9
4,23.0,354.0,2901.91,21.0,344.0,2904.87
5,266.0,147.0,201.66,258.0,153.0,206.19
6,335.0,182.0,1366.07,331.0,193.0,1364.23
7,260.0,289.0,51.58,270.0,296.0,50.7
8,159.0,274.0,1031.22,157.0,270.0,1019.25
9,111.0,242.0,976.8,111.0,233.0,986.27
10,26.0,345.0,1447.84,19.0,356.0,1442.14
11,211.0,262.0,1191.88,208.0,252.0,1202.12
12,236.0,85.0,969.0,248.0,86.0,958.75
13,208.0,226.0,1408.69,206.0,218.0,1423.28
14,340.0,278.0,1069.44,328.0,272.0,1059.05
15,230.0,255.0,911.57,243.0,266.0,908.4
16,116.0,200.0,1422.7,131.0,190.0,1426.28
17,364.0,384.0,2906.64,360.0,366.0,2906.76
18,105.0,332.0,1016.45,97.0,348.0,1021.84
19,99.0,292.0,160.08,90.0,281.0,172.53
20,163.0,253.0,92.87,162.0,234.0,88.51
21,106.0,301.0,140.04,90.0,294.0,131.06
22,102.0,129.0,1330.46,108.0,141.0,1316.09
23,209.0,130.0,97.03,202.0,147.0,89.63
24,157.0,210.0,30.79,173.0,220.0,38.11
25,200.0,38.0,2962.07,196.0,56.0,2953.71
26,56.0,344.0,1329.7,40.0,354.0,1338.97
27,77.0,272.0,1418.81,79.0,251.0,1420.75
28,71.0,276.0,732.5,52.0,280.0,723.61
29,118.0,235.0,2904.29,121.0,217.0,2916.18
30,359.0,371.0,1234.79,337.0,372.0,1234.4
31,64.0,234.0,1415.77,81.0,220.0,1413.48
32,175.0,137.0,1420.36,198.0,137.0,1422.4
33,298.0,172.0,1327.83,296.0,149.0,1328.48
34,293.0,166.0,2905.33,298.0,185.0,2918.96
35,311.0,280.0,463.08,305.0,301.0,453.2
36,215.0,193.0,1006.08,226.0,174.0,996.4
37,351.0,18.0,2952.43,372.0,6.0,2950.99
38,133.0,303.0,1336.72,129.0,327.0,1334.94
