3CNTZ,3CNTR,3WN,8WN,8CNTZ,8CNTR
262.0,299.0,23.34,23.75,97.0,329.0
249.0,221.0,24.58,24.4,134.0,287.0
182.0,208.0,26.85,26.13,108.0,283.0
223.0,237.0,31.24,28.62,276.0,240.0
273.0,225.0,35.45,33.52,254.0,167.0
277.0,137.0,39.54,36.44,279.0,194.0
271.0,115.0,44.9,38.11,173.0,220.0
243.0,232.0,46.04,41.82,149.0,245.0
155.0,309.0,47.92,46.17,304.0,188.0
118.0,111.0,52.97,46.97,145.0,205.0
201.0,217.0,54.18,50.7,270.0,296.0
222.0,277.0,54.82,56.93,114.0,212.0
169.0,273.0,56.46,59.65,235.0,241.0
239.0,219.0,60.98,64.18,312.0,96.0
290.0,197.0,64.06,67.88,296.0,147.0
256.0,208.0,65.89,68.71,321.0,228.0
140.0,305.0,70.53,76.51,299.0,185.0
150.0,229.0,76.22,80.73,102.0,270.0
278.0,194.0,77.61,86.52,231.0,224.0
347.0,90.0,80.13,88.51,162.0,234.0
132.0,175.0,84.71,89.63,202.0,147.0
216.0,228.0,85.69,94.12,0.0,0.0
231.0,171.0,94.96,98.73,265.0,93.0
218.0,178.0,99.4,100.8,250.0,208.0
167.0,130.0,110.24,101.89,266.0,134.0
148.0,129.0,116.27,103.32,221.0,55.0
81.0,185.0,118.11,110.45,199.0,108.0
191.0,211.0,121.49,113.49,140.0,133.0
184.0,154.0,123.28,114.93,128.0,230.0
161.0,293.0,125.47,122.8,74.0,312.0
123.0,171.0,128.78,126.66,309.0,114.0
142.0,151.0,130.55,128.58,274.0,92.0
273.0,124.0,135.77,131.06,90.0,294.0
294.0,174.0,137.47,138.33,164.0,209.0
163.0,376.0,147.23,140.47,238.0,236.0
236.0,324.0,148.2,141.46,301.0,204.0
134.0,279.0,158.72,142.37,285.0,243.0
209.0,248.0,161.03,156.02,279.0,141.0
261.0,145.0,172.17,167.26,169.0,206.0
41.0,121.0,177.07,172.53,90.0,281.0
252.0,254.0,186.14,179.7,308.0,109.0
319.0,139.0,187.07,191.05,105.0,259.0
241.0,314.0,193.79,196.78,187.0,245.0
191.0,290.0,200.66,200.24,287.0,164.0
329.0,121.0,206.68,206.19,258.0,153.0
226.0,202.0,227.14,209.28,204.0,176.0
164.0,320.0,229.66,214.17,305.0,74.0
302.0,162.0,234.98,224.37,324.0,81.0
85.0,161.0,239.37,237.13,221.0,283.0
350.0,100.0,246.35,243.81,59.0,314.0
213.0,230.0,250.52,254.12,336.0,112.0
175.0,165.0,252.88,258.84,34.0,364.0
264.0,353.0,258.7,263.74,69.0,349.0
231.0,374.0,263.54,265.72,84.0,331.0
256.0,215.0,266.03,266.38,138.0,249.0
149.0,204.0,268.18,275.86,272.0,102.0
125.0,290.0,278.01,278.87,352.0,85.0
357.0,105.0,279.47,281.23,315.0,128.0
369.0,39.0,281.86,286.18,268.0,137.0
239.0,193.0,282.12,290.4,316.0,139.0
89.0,258.0,298.11,291.59,343.0,130.0
221.0,91.0,300.58,300.18,247.0,131.0
345.0,74.0,301.88,304.75,18.0,375.0
247.0,261.0,316.6,309.15,239.0,176.0
351.0,73.0,320.96,311.56,211.0,187.0
328.0,134.0,328.07,315.92,302.0,152.0
104.0,228.0,335.95,318.23,384.0,23.0
365.0,66.0,340.48,337.19,315.0,181.0
179.0,312.0,343.56,338.27,328.0,148.0
144.0,311.0,345.5,345.38,260.0,186.0
305.0,92.0,353.44,347.56,331.0,107.0
246.0,129.0,354.17,358.8,118.0,198.0
203.0,162.0,355.03,366.51,292.0,96.0
343.0,114.0,374.32,367.79,294.0,160.0
352.0,70.0,382.41,379.05,380.0,43.0
162.0,307.0,386.26,396.16,20.0,371.0
317.0,122.0,401.86,400.98,254.0,257.0
310.0,109.0,407.92,411.94,347.0,182.0
341.0,140.0,413.86,424.13,234.0,300.0
363.0,53.0,427.68,433.87,200.0,291.0
62.0,191.0,438.91,442.47,367.0,74.0
312.0,148.0,439.58,447.68,380.0,37.0
376.0,27.0,443.95,453.2,305.0,301.0
178.0,384.0,449.56,457.52,351.0,100.0
372.0,60.0,450.05,460.43,308.0,119.0
360.0,82.0,475.36,467.75,320.0,150.0
303.0,180.0,479.29,469.85,228.0,164.0
206.0,263.0,483.36,479.83,12.0,384.0
270.0,164.0,491.28,482.93,342.0,178.0
323.0,156.0,498.25,484.82,159.0,196.0
298.0,142.0,507.13,498.45,355.0,205.0
43.0,238.0,510.94,517.78,148.0,104.0
244.0,84.0,514.86,521.14,150.0,115.0
26.0,381.0,534.17,528.02,95.0,62.0
286.0,96.0,558.92,548.66,353.0,67.0
387.0,28.0,578.68,551.67,357.0,43.0
326.0,102.0,593.72,582.07,321.0,129.0
357.0,132.0,605.2,593.23,65.0,200.0
40.0,386.0,605.6,601.89,134.0,201.0
214.0,63.0,617.55,608.19,213.0,310.0
314.0,176.0,660.02,642.92,377.0,46.0
387.0,26.0,673.39,654.28,362.0,158.0
291.0,222.0,683.44,675.4,387.0,8.0
183.0,79.0,698.96,689.48,300.0,79.0
321.0,198.0,709.03,707.57,258.0,368.0
319.0,200.0,714.89,712.33,67.0,85.0
303.0,187.0,721.48,716.82,86.0,127.0
49.0,362.0,722.11,722.48,56.0,249.0
124.0,366.0,728.02,723.61,52.0,280.0
12.0,87.0,728.72,727.26,168.0,248.0
94.0,345.0,734.05,737.6,241.0,293.0
27.0,156.0,741.75,739.18,132.0,167.0
159.0,209.0,747.14,741.11,123.0,103.0
247.0,330.0,753.75,744.79,135.0,173.0
157.0,355.0,755.15,747.05,40.0,308.0
35.0,237.0,758.53,763.17,259.0,274.0
165.0,286.0,765.05,770.19,14.0,376.0
76.0,338.0,767.08,780.61,84.0,232.0
15.0,116.0,779.3,792.8,225.0,330.0
293.0,248.0,792.79,794.31,77.0,226.0
378.0,31.0,796.65,803.74,268.0,287.0
234.0,280.0,798.5,806.14,282.0,290.0
300.0,265.0,813.61,807.89,362.0,52.0
176.0,359.0,823.37,819.1,194.0,275.0
196.0,346.0,828.47,830.01,101.0,285.0
185.0,218.0,835.27,830.15,76.0,310.0
21.0,86.0,835.93,845.24,36.0,355.0
289.0,187.0,837.6,847.0,352.0,27.0
363.0,99.0,838.33,847.44,233.0,172.0
283.0,204.0,851.79,848.19,228.0,125.0
69.0,369.0,855.85,851.36,41.0,318.0
77.0,240.0,862.67,852.65,244.0,317.0
96.0,298.0,863.28,866.98,155.0,255.0
259.0,294.0,865.81,873.18,87.0,241.0
237.0,144.0,874.3,873.83,171.0,297.0
114.0,338.0,885.34,886.93,53.0,312.0
380.0,42.0,894.93,893.05,24.0,362.0
165.0,308.0,897.75,895.6,374.0,21.0
169.0,213.0,902.84,900.99,326.0,350.0
152.0,304.0,907.37,908.4,243.0,266.0
187.0,273.0,915.71,917.36,219.0,151.0
369.0,56.0,918.75,919.98,373.0,8.0
184.0,243.0,923.06,931.93,169.0,200.0
41.0,154.0,929.54,936.57,166.0,238.0
145.0,322.0,935.82,938.52,102.0,177.0
388.0,29.0,940.03,938.64,36.0,332.0
224.0,277.0,943.22,949.73,213.0,257.0
229.0,318.0,950.15,957.9,310.0,127.0
14.0,123.0,950.43,958.48,289.0,90.0
70.0,359.0,964.55,958.75,248.0,86.0
229.0,281.0,966.16,965.05,230.0,299.0
110.0,388.0,973.03,976.16,50.0,285.0
264.0,263.0,974.57,977.71,127.0,214.0
203.0,283.0,976.53,979.58,39.0,303.0
128.0,367.0,979.1,986.27,111.0,233.0
208.0,241.0,986.51,988.56,137.0,179.0
31.0,78.0,996.8,995.31,273.0,210.0
156.0,223.0,997.92,996.4,226.0,174.0
254.0,252.0,999.71,997.76,77.0,235.0
290.0,175.0,1002.08,1002.14,183.0,262.0
46.0,341.0,1006.84,1014.35,177.0,221.0
237.0,150.0,1008.93,1014.98,216.0,323.0
73.0,91.0,1009.61,1016.33,31.0,358.0
138.0,240.0,1011.92,1019.25,157.0,270.0
120.0,332.0,1017.76,1021.84,97.0,348.0
339.0,135.0,1021.49,1023.69,74.0,344.0
54.0,364.0,1035.5,1029.92,104.0,191.0
275.0,233.0,1036.71,1031.13,247.0,233.0
385.0,9.0,1038.95,1033.58,252.0,247.0
59.0,227.0,1039.4,1036.35,68.0,264.0
192.0,280.0,1041.7,1042.73,224.0,296.0
67.0,288.0,1044.51,1043.29,138.0,135.0
198.0,125.0,1045.46,1047.25,119.0,120.0
30.0,85.0,1048.9,1050.79,264.0,281.0
190.0,329.0,1053.23,1051.66,368.0,46.0
107.0,267.0,1054.84,1055.42,348.0,53.0
347.0,135.0,1058.12,1055.73,318.0,57.0
360.0,98.0,1059.77,1059.05,328.0,272.0
316.0,182.0,1064.69,1059.58,37.0,352.0
335.0,168.0,1065.89,1063.86,186.0,278.0
66.0,275.0,1068.82,1068.94,193.0,124.0
364.0,65.0,1070.7,1069.75,318.0,98.0
217.0,305.0,1082.47,1072.99,159.0,214.0
60.0,314.0,1085.25,1080.39,110.0,140.0
10.0,110.0,1096.27,1095.5,28.0,359.0
136.0,253.0,1102.68,1098.09,237.0,262.0
133.0,284.0,1104.7,1103.52,71.0,260.0
206.0,269.0,1106.95,1104.38,266.0,321.0
374.0,38.0,1108.76,1106.92,201.0,295.0
292.0,213.0,1113.69,1115.41,393.0,27.0
201.0,234.0,1120.28,1121.41,174.0,184.0
362.0,54.0,1122.1,1122.94,189.0,76.0
261.0,202.0,1124.33,1125.24,376.0,19.0
241.0,243.0,1134.86,1141.02,195.0,258.0
268.0,190.0,1138.15,1147.51,118.0,268.0
