1WN,1CNTZ
21.85,244.0
26.12,156.0
28.91,246.0
29.71,259.0
34.32,283.0
39.87,283.0
40.35,195.0
41.89,155.0
43.53,292.0
46.6,210.0
50.69,264.0
52.4,238.0
55.22,302.0
61.94,285.0
63.93,266.0
66.41,248.0
67.45,288.0
71.79,198.0
75.97,275.0
84.69,231.0
86.03,125.0
87.35,147.0
88.94,198.0
94.97,272.0
97.12,216.0
99.86,245.0
106.12,270.0
115.89,168.0
117.3,298.0
118.58,182.0
122.32,275.0
127.88,201.0
133.52,134.0
139.8,230.0
141.41,165.0
159.33,193.0
161.67,106.0
166.26,298.0
171.48,218.0
177.13,317.0
180.99,221.0
187.27,324.0
189.46,277.0
198.93,308.0
210.9,288.0
214.8,203.0
224.01,286.0
227.07,80.0
236.86,324.0
246.19,302.0
248.86,329.0
253.55,114.0
257.69,230.0
259.82,101.0
262.64,103.0
267.94,267.0
270.21,128.0
275.96,92.0
277.54,241.0
280.49,220.0
282.96,374.0
287.64,319.0
298.09,344.0
304.07,164.0
308.09,225.0
323.98,391.0
329.32,81.0
339.5,366.0
343.55,289.0
347.3,127.0
348.97,335.0
360.04,204.0
366.56,329.0
375.17,304.0
380.19,373.0
388.77,100.0
394.48,26.0
403.77,310.0
424.15,343.0
428.18,280.0
429.26,322.0
443.85,123.0
445.03,382.0
453.02,337.0
454.79,369.0
461.83,354.0
469.05,300.0
492.76,341.0
502.98,86.0
511.71,174.0
518.25,158.0
520.11,328.0
533.12,144.0
551.76,340.0
563.72,321.0
565.0,123.0
573.44,365.0
579.75,87.0
582.75,372.0
593.94,130.0
610.24,334.0
673.02,384.0
690.66,326.0
701.73,325.0
713.4,69.0
714.0,297.0
724.94,114.0
726.19,102.0
728.08,111.0
733.51,87.0
735.59,203.0
740.45,118.0
742.69,46.0
749.12,186.0
750.67,243.0
755.26,56.0
774.46,162.0
775.78,235.0
786.64,196.0
796.46,369.0
797.5,313.0
804.74,78.0
805.42,80.0
815.34,177.0
819.96,51.0
824.43,215.0
831.44,55.0
837.36,378.0
856.62,104.0
857.22,145.0
868.28,107.0
869.69,134.0
871.0,150.0
875.24,180.0
886.37,93.0
892.06,368.0
892.95,249.0
899.83,271.0
900.66,307.0
910.24,159.0
916.44,362.0
921.74,116.0
928.69,227.0
932.67,90.0
935.36,291.0
938.94,187.0
939.99,336.0
950.27,190.0
950.84,141.0
969.71,196.0
971.02,181.0
975.49,209.0
978.76,95.0
979.95,184.0
988.41,147.0
988.99,149.0
993.15,111.0
993.68,89.0
995.8,157.0
1009.09,34.0
1015.54,239.0
1016.7,73.0
1017.72,190.0
1019.55,85.0
1026.07,293.0
1028.1,307.0
1030.78,128.0
1032.47,149.0
1032.79,153.0
1037.94,279.0
1039.59,278.0
1040.43,359.0
1049.81,153.0
1051.58,7.0
1054.88,357.0
1055.69,318.0
1057.43,274.0
1061.73,130.0
1062.69,350.0
1065.92,250.0
1068.72,345.0
1070.44,139.0
1080.13,206.0
1081.11,212.0
1093.26,180.0
1097.1,33.0
1099.8,347.0
1102.47,34.0
1108.11,371.0
1108.97,163.0
1116.54,184.0
1121.04,352.0
1122.06,219.0
1131.74,262.0
1151.09,109.0
1155.53,96.0
1161.56,255.0
1175.55,117.0
1175.94,177.0
1179.71,234.0
1189.67,349.0
1190.26,210.0
1194.88,388.0
1197.01,93.0
1205.09,170.0
1206.33,212.0
1218.07,340.0
1224.9,39.0
1228.24,191.0
1232.18,32.0
1235.03,378.0
1240.34,75.0
1242.1,194.0
1242.29,251.0
1243.39,343.0
1249.86,143.0
1252.56,225.0
1253.87,320.0
1253.95,251.0
1257.4,331.0
1259.99,54.0
1261.68,113.0
1266.51,178.0
1269.63,109.0
1274.53,63.0
1275.3,315.0
1277.28,266.0
1277.85,269.0
1279.23,237.0
1284.36,62.0
1285.2,164.0
1286.5,57.0
1287.51,346.0
1288.81,58.0
1289.33,120.0
1290.15,256.0
1293.32,229.0
1297.02,65.0
1297.63,26.0
1300.37,201.0
1301.74,174.0
1307.46,121.0
1309.47,294.0
1312.27,51.0
1313.35,121.0
1318.14,171.0
1330.66,16.0
1333.09,360.0
1334.24,261.0
1336.5,281.0
1337.8,304.0
1339.27,10.0
1347.64,305.0
1349.25,42.0
1350.46,286.0
1352.65,317.0
1354.28,135.0
1354.37,315.0
1356.78,67.0
1358.18,82.0
1359.46,17.0
1360.19,234.0
1363.13,20.0
1363.32,142.0
1363.49,136.0
1368.32,336.0
1378.37,363.0
1384.59,61.0
1385.06,394.0
1390.93,137.0
1391.74,398.0
1393.07,397.0
1396.72,311.0
1409.35,385.0
1409.84,313.0
1411.49,84.0
1414.82,188.0
1415.51,48.0
1416.04,151.0
1416.11,71.0
1417.52,98.0
1418.5,59.0
1419.92,364.0
1420.08,35.0
1420.46,200.0
1420.97,357.0
1422.03,98.0
1422.93,76.0
1424.27,75.0
1425.3,168.0
1426.47,66.0
1426.68,382.0
1427.65,73.0
1428.41,216.0
1428.81,89.0
1429.35,186.0
1429.51,46.0
1430.34,95.0
1431.15,374.0
1431.71,237.0
1432.09,333.0
1432.22,167.0
1434.46,241.0
1434.76,37.0
1435.05,380.0
1439.22,39.0
1442.23,101.0
1444.08,57.0
1444.62,132.0
1445.78,18.0
1446.58,20.0
1447.89,393.0
1455.66,391.0
1471.79,396.0
1660.04,65.0
1663.64,155.0
1741.78,338.0
1756.02,331.0
2900.65,0.0
2901.32,258.0
2901.54,232.0
2901.98,6.0
2902.63,6.0
2903.3,222.0
2904.6,4.0
2904.72,252.0
2905.47,355.0
2906.64,1.0
2907.56,13.0
2910.12,15.0
2910.29,21.0
2911.46,262.0
2911.64,257.0
2912.2,27.0
2913.74,359.0
2914.03,176.0
2915.05,124.0
2916.41,38.0
2916.91,3.0
2919.37,282.0
2919.49,50.0
2922.01,53.0
2922.96,227.0
2928.61,351.0
2929.41,29.0
2929.82,70.0
2930.97,309.0
2932.42,22.0
2934.07,254.0
2934.15,49.0
2935.1,173.0
2935.52,8.0
2938.53,146.0
2939.73,214.0
2940.18,29.0
2940.51,296.0
2940.79,19.0
2942.86,4.0
2944.94,13.0
2947.17,375.0
2950.76,31.0
2953.09,265.0
2954.0,170.0
2957.16,364.0
2959.02,115.0
2959.75,247.0
2961.11,68.0
2962.92,10.0
2964.13,381.0
2964.27,398.0
2965.68,389.0
2969.85,24.0
2972.42,389.0
2972.88,77.0
2973.77,219.0
2974.41,133.0
2974.68,160.0
2975.2,292.0
2977.68,353.0
2980.01,41.0
2980.71,223.0
2986.84,208.0
2988.99,138.0
2992.64,43.0
2994.44,12.0
2994.83,301.0
2996.06,24.0
2999.37,44.0
3002.87,106.0
3014.53,271.0
3014.73,255.0
3016.9,61.0
3018.94,352.0
3039.84,376.0
3039.94,42.0
3047.95,207.0
3060.8,387.0
3065.96,394.0
3073.16,399.0
3078.18,402.0
3089.77,385.0
3099.47,400.0
