,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,125.0,195.0,1363.99,125.0,351.0,1363.65
2,6.0,351.0,2925.58,5.0,157.0,2925.04
3,344.0,127.0,2996.13,345.0,1.0,2997.76
4,326.0,154.0,622.76,326.0,85.0,624.7
5,83.0,41.0,2915.87,84.0,387.0,2914.19
6,2.0,66.0,2991.12,1.0,244.0,2992.84
7,130.0,249.0,90.76,132.0,344.0,91.05
8,190.0,285.0,1062.15,189.0,63.0,1060.3
9,40.0,190.0,1429.76,42.0,397.0,1428.91
10,299.0,121.0,1434.17,300.0,46.0,1431.93
11,127.0,307.0,1268.94,127.0,285.0,1271.46
12,79.0,330.0,2953.74,79.0,20.0,2951.13
13,391.0,380.0,1389.24,392.0,382.0,1391.67
14,151.0,66.0,1305.3,150.0,299.0,1307.93
15,18.0,4.0,2918.76,16.0,94.0,2916.78
16,1.0,219.0,3006.77,1.0,199.0,3003.79
17,359.0,349.0,446.26,356.0,324.0,446.67
18,366.0,360.0,581.79,363.0,311.0,582.85
19,217.0,262.0,135.58,219.0,220.0,138.2
20,82.0,77.0,275.69,81.0,384.0,272.23
21,401.0,373.0,3078.59,401.0,375.0,3082.31
22,204.0,124.0,987.21,205.0,306.0,990.98
23,290.0,230.0,508.25,291.0,269.0,512.04
24,85.0,314.0,2904.23,85.0,393.0,2900.3
25,394.0,396.0,1387.16,395.0,349.0,1383.26
26,42.0,23.0,2924.94,40.0,399.0,2921.43
27,365.0,367.0,380.17,361.0,332.0,380.9
28,64.0,234.0,1415.77,68.0,187.0,1415.04
29,11.0,5.0,2907.96,8.0,222.0,2910.72
30,396.0,378.0,1394.37,400.0,370.0,1393.54
31,378.0,396.0,1428.48,376.0,366.0,1424.9
32,225.0,97.0,441.39,221.0,314.0,440.29
33,108.0,183.0,1430.3,109.0,285.0,1434.34
34,156.0,72.0,147.47,157.0,250.0,143.43
35,166.0,21.0,2908.15,163.0,22.0,2911.52
36,16.0,4.0,1341.23,18.0,152.0,1336.79
37,310.0,221.0,422.27,314.0,112.0,419.46
38,197.0,76.0,2901.03,195.0,4.0,2905.52
39,20.0,19.0,2960.63,20.0,99.0,2965.58
40,8.0,8.0,2905.24,12.0,180.0,2902.29
41,351.0,18.0,2952.43,346.0,319.0,2952.47
42,224.0,227.0,1417.81,229.0,50.0,1417.57
43,202.0,87.0,1354.92,207.0,73.0,1355.17
44,386.0,385.0,1452.1,389.0,378.0,1447.98
45,281.0,245.0,78.54,284.0,235.0,74.42
46,268.0,205.0,1290.88,271.0,87.0,1295.09
47,88.0,295.0,1417.12,87.0,127.0,1422.2
48,392.0,386.0,1467.69,397.0,376.0,1469.55
49,337.0,328.0,453.84,333.0,302.0,457.42
50,376.0,394.0,1420.59,372.0,155.0,1416.96
51,391.0,388.0,1433.31,391.0,374.0,1427.85
52,396.0,398.0,2971.99,394.0,378.0,2966.89
53,12.0,16.0,2950.44,7.0,215.0,2948.12
54,146.0,63.0,2983.1,145.0,8.0,2977.6
55,48.0,80.0,1426.9,48.0,145.0,1432.66
56,306.0,201.0,1027.11,311.0,207.0,1030.02
57,266.0,133.0,1100.89,268.0,290.0,1106.38
58,272.0,180.0,1076.49,275.0,95.0,1081.56
59,296.0,268.0,40.22,298.0,263.0,45.87
60,279.0,96.0,1312.65,284.0,121.0,1309.34
61,106.0,301.0,140.04,102.0,156.0,135.5
62,354.0,296.0,2881.91,360.0,315.0,2882.87
63,295.0,268.0,245.38,289.0,257.0,246.59
64,400.0,401.0,2966.58,394.0,387.0,2965.36
65,34.0,228.0,1280.75,31.0,87.0,1286.09
66,272.0,217.0,87.11,266.0,245.0,85.49
67,93.0,132.0,29.17,91.0,236.0,35.06
68,118.0,235.0,2904.29,114.0,384.0,2909.15
69,40.0,175.0,1414.92,44.0,162.0,1419.82
70,72.0,237.0,1439.82,77.0,97.0,1435.74
71,241.0,238.0,2916.84,241.0,90.0,2910.35
72,36.0,156.0,2914.01,35.0,15.0,2920.58
73,116.0,200.0,1422.7,118.0,208.0,1416.29
74,170.0,136.0,103.28,165.0,266.0,107.91
75,175.0,137.0,1420.36,178.0,308.0,1414.1
76,319.0,322.0,213.75,312.0,163.0,213.96
77,323.0,145.0,1342.44,330.0,59.0,1341.94
78,121.0,295.0,1258.39,119.0,372.0,1265.5
79,376.0,370.0,2953.61,370.0,124.0,2958.52
80,279.0,95.0,2969.54,276.0,12.0,2976.77
81,215.0,285.0,35.3,211.0,320.0,42.26
82,335.0,48.0,687.57,343.0,45.0,688.38
83,400.0,398.0,3065.42,397.0,390.0,3072.91
84,23.0,354.0,2901.91,15.0,65.0,2900.72
85,256.0,122.0,922.24,264.0,312.0,920.86
86,386.0,390.0,667.96,382.0,355.0,675.05
87,261.0,57.0,2928.71,254.0,3.0,2924.42
88,61.0,338.0,2956.01,68.0,395.0,2960.35
89,324.0,310.0,1054.17,321.0,169.0,1046.48
90,124.0,34.0,1090.54,131.0,347.0,1095.02
91,304.0,106.0,1103.05,303.0,283.0,1111.36
92,18.0,60.0,1445.63,10.0,139.0,1442.84
93,150.0,89.0,1005.11,152.0,105.0,996.87
94,5.0,0.0,2938.05,13.0,136.0,2935.03
95,174.0,178.0,122.28,182.0,309.0,119.01
96,166.0,265.0,33.88,174.0,302.0,30.23
97,348.0,345.0,295.34,340.0,324.0,299.44
98,243.0,103.0,779.48,236.0,260.0,773.71
99,361.0,355.0,327.18,359.0,340.0,318.29
100,247.0,160.0,1298.47,256.0,278.0,1297.03
101,239.0,144.0,1261.09,247.0,236.0,1256.5
102,311.0,280.0,463.08,319.0,215.0,458.35
103,46.0,21.0,1275.68,39.0,123.0,1269.54
104,38.0,15.0,1026.28,46.0,55.0,1031.07
105,129.0,191.0,1364.0,137.0,265.0,1359.19
106,335.0,182.0,1366.07,334.0,281.0,1356.76
107,394.0,392.0,1404.12,386.0,380.0,1409.08
108,380.0,385.0,1205.85,381.0,349.0,1196.46
109,178.0,325.0,260.52,187.0,217.0,257.65
110,358.0,309.0,1442.88,366.0,344.0,1437.76
111,106.0,43.0,948.64,113.0,299.0,942.17
112,138.0,31.0,1028.71,145.0,326.0,1022.24
113,24.0,9.0,1007.04,34.0,78.0,1006.46
114,141.0,70.0,2973.34,132.0,128.0,2968.87
115,9.0,233.0,1432.17,3.0,195.0,1440.25
116,68.0,342.0,935.08,60.0,213.0,941.22
117,293.0,159.0,2945.87,283.0,11.0,2947.64
118,138.0,90.0,1295.32,133.0,354.0,1286.45
119,341.0,54.0,1408.34,337.0,0.0,1398.77
120,159.0,274.0,1031.22,163.0,332.0,1040.88
121,77.0,272.0,1418.81,80.0,25.0,1428.83
122,118.0,90.0,983.09,128.0,71.0,986.37
123,27.0,334.0,267.81,18.0,141.0,273.36
124,14.0,170.0,1360.55,4.0,192.0,1364.21
125,195.0,92.0,167.2,197.0,172.0,156.61
126,214.0,123.0,987.47,207.0,152.0,978.95
127,209.0,130.0,97.03,202.0,271.0,105.62
128,270.0,189.0,861.38,279.0,134.0,854.87
129,320.0,272.0,443.66,309.0,185.0,442.1
130,336.0,303.0,188.24,347.0,293.0,189.91
131,206.0,58.0,1034.1,217.0,282.0,1036.28
132,281.0,289.0,20.11,271.0,229.0,26.32
133,359.0,371.0,1234.79,347.0,287.0,1234.46
134,247.0,220.0,1165.69,258.0,183.0,1170.55
135,378.0,387.0,1045.05,389.0,371.0,1039.97
136,234.0,198.0,50.18,239.0,202.0,61.22
137,153.0,70.0,1300.86,148.0,329.0,1311.9
138,232.0,72.0,1361.59,231.0,294.0,1349.42
139,123.0,97.0,1425.44,117.0,203.0,1414.69
140,175.0,34.0,1287.63,169.0,43.0,1276.71
141,380.0,368.0,2941.32,368.0,350.0,2944.9
142,177.0,253.0,58.04,169.0,293.0,48.4
143,349.0,12.0,1753.11,338.0,167.0,1747.1
144,383.0,391.0,1446.26,392.0,366.0,1455.41
145,235.0,308.0,2887.8,231.0,21.0,2900.09
146,172.0,49.0,730.79,168.0,40.0,743.39
147,324.0,237.0,1017.52,317.0,210.0,1028.76
148,334.0,317.0,361.24,328.0,279.0,373.05
149,387.0,377.0,1111.33,379.0,348.0,1121.92
150,282.0,251.0,304.28,282.0,136.0,291.0
151,133.0,303.0,1336.72,134.0,352.0,1349.97
152,270.0,134.0,2920.44,270.0,33.0,2907.14
153,361.0,360.0,897.05,374.0,356.0,894.07
154,26.0,350.0,2911.08,14.0,142.0,2904.95
155,200.0,38.0,2962.07,190.0,149.0,2971.21
156,305.0,247.0,1222.79,305.0,218.0,1236.36
157,333.0,212.0,571.05,342.0,217.0,581.26
158,70.0,189.0,1097.87,71.0,41.0,1084.27
159,275.0,142.0,2935.14,273.0,91.0,2948.67
160,212.0,84.0,847.69,219.0,316.0,859.56
