7CNTZ,7CNTR,7WN,9WN,9CNTZ,9CNTR
281.0,289.0,20.11,17.16,185.0,272.0
321.0,328.0,22.84,20.23,212.0,249.0
93.0,132.0,29.17,23.07,260.0,223.0
157.0,210.0,30.79,26.32,271.0,229.0
166.0,265.0,33.88,30.23,174.0,302.0
215.0,285.0,35.3,30.67,267.0,292.0
286.0,264.0,37.88,35.06,91.0,236.0
296.0,268.0,40.22,36.82,301.0,266.0
191.0,206.0,44.19,39.2,120.0,192.0
223.0,216.0,48.6,42.26,211.0,320.0
234.0,198.0,50.18,45.87,298.0,263.0
260.0,289.0,51.58,48.4,169.0,293.0
186.0,180.0,55.33,48.97,143.0,225.0
177.0,253.0,58.04,51.06,97.0,188.0
135.0,249.0,63.05,55.06,279.0,238.0
186.0,201.0,63.92,61.22,239.0,202.0
291.0,267.0,68.18,69.45,210.0,206.0
310.0,300.0,72.95,69.62,243.0,212.0
281.0,245.0,78.54,74.42,284.0,235.0
86.0,326.0,82.57,76.18,198.0,121.0
272.0,217.0,87.11,81.36,140.0,177.0
130.0,249.0,90.76,85.49,266.0,245.0
163.0,253.0,92.87,91.05,132.0,344.0
183.0,129.0,94.67,97.1,321.0,233.0
209.0,130.0,97.03,100.14,130.0,97.0
165.0,104.0,100.51,105.62,202.0,271.0
170.0,136.0,103.28,107.91,165.0,266.0
314.0,259.0,109.47,108.5,52.0,165.0
301.0,240.0,115.84,112.17,124.0,119.0
174.0,178.0,122.28,119.01,182.0,309.0
104.0,100.0,124.43,121.45,224.0,238.0
198.0,278.0,128.07,128.08,243.0,175.0
217.0,262.0,135.58,135.5,102.0,156.0
106.0,301.0,140.04,138.2,219.0,220.0
136.0,150.0,141.84,143.43,157.0,250.0
156.0,72.0,147.47,145.25,79.0,144.0
259.0,167.0,153.85,156.61,197.0,172.0
99.0,292.0,160.08,158.51,143.0,126.0
158.0,142.0,161.73,162.91,226.0,81.0
195.0,92.0,167.2,169.63,314.0,185.0
285.0,167.0,171.32,171.74,238.0,70.0
255.0,242.0,181.0,189.91,347.0,293.0
336.0,303.0,188.24,193.27,75.0,57.0
314.0,195.0,195.79,197.48,297.0,179.0
266.0,147.0,201.66,199.16,42.0,130.0
90.0,74.0,207.77,213.96,312.0,163.0
319.0,322.0,213.75,230.75,308.0,207.0
286.0,306.0,216.72,239.99,170.0,336.0
262.0,177.0,230.62,246.59,289.0,257.0
249.0,151.0,234.92,248.19,324.0,306.0
295.0,290.0,244.33,254.17,154.0,201.0
295.0,268.0,245.38,257.65,187.0,217.0
124.0,292.0,247.05,259.03,103.0,360.0
94.0,149.0,248.31,262.98,272.0,225.0
289.0,282.0,257.56,264.77,209.0,273.0
178.0,325.0,260.52,268.67,195.0,164.0
27.0,334.0,267.81,272.23,81.0,384.0
352.0,349.0,273.79,273.36,18.0,141.0
139.0,152.0,274.33,275.52,74.0,130.0
82.0,77.0,275.69,280.66,364.0,338.0
244.0,244.0,284.43,281.61,291.0,160.0
348.0,345.0,295.34,291.0,282.0,136.0
170.0,144.0,296.94,297.75,117.0,382.0
282.0,251.0,304.28,299.44,340.0,324.0
181.0,118.0,307.58,313.81,54.0,154.0
178.0,88.0,309.81,318.29,359.0,340.0
370.0,382.0,317.45,325.91,191.0,234.0
361.0,355.0,327.18,332.18,228.0,204.0
363.0,357.0,337.28,336.88,293.0,275.0
207.0,202.0,343.36,343.74,315.0,260.0
263.0,223.0,350.16,352.83,292.0,282.0
334.0,317.0,361.24,357.89,317.0,257.0
365.0,367.0,380.17,361.52,111.0,90.0
229.0,300.0,391.28,373.05,328.0,279.0
325.0,286.0,400.26,380.9,361.0,332.0
130.0,59.0,405.32,400.56,257.0,304.0
113.0,46.0,409.14,415.55,322.0,198.0
310.0,221.0,422.27,419.46,314.0,112.0
202.0,314.0,425.09,427.67,328.0,262.0
265.0,320.0,427.29,434.25,286.0,197.0
342.0,347.0,430.22,440.29,221.0,314.0
225.0,97.0,441.39,442.1,309.0,185.0
320.0,272.0,443.66,446.67,356.0,324.0
359.0,349.0,446.26,451.92,281.0,180.0
337.0,328.0,453.84,456.24,41.0,228.0
311.0,280.0,463.08,457.42,333.0,302.0
227.0,115.0,474.5,458.35,319.0,215.0
328.0,297.0,480.37,489.08,341.0,245.0
328.0,280.0,484.24,493.36,56.0,54.0
312.0,282.0,499.96,512.04,291.0,269.0
290.0,230.0,508.25,522.22,337.0,277.0
16.0,2.0,509.13,543.71,199.0,322.0
100.0,326.0,521.24,555.2,185.0,313.0
135.0,62.0,557.27,559.23,59.0,11.0
339.0,257.0,561.55,569.11,371.0,290.0
333.0,212.0,571.05,581.26,342.0,217.0
132.0,48.0,575.89,582.85,363.0,311.0
366.0,360.0,581.79,589.03,65.0,22.0
303.0,185.0,591.46,593.14,225.0,258.0
268.0,196.0,594.34,624.7,326.0,85.0
326.0,154.0,622.76,652.24,350.0,102.0
386.0,390.0,667.96,675.05,382.0,355.0
335.0,48.0,687.57,688.38,343.0,45.0
276.0,114.0,713.43,702.86,353.0,119.0
11.0,1.0,714.35,722.29,115.0,368.0
168.0,173.0,722.42,726.09,38.0,53.0
79.0,316.0,726.78,727.1,152.0,44.0
199.0,277.0,730.16,730.19,262.0,148.0
172.0,49.0,730.79,731.06,214.0,29.0
71.0,276.0,732.5,733.33,24.0,82.0
64.0,116.0,733.9,736.03,115.0,358.0
278.0,124.0,737.1,740.25,43.0,79.0
100.0,78.0,738.05,741.86,295.0,101.0
200.0,65.0,747.65,743.39,168.0,40.0
252.0,204.0,750.31,748.95,156.0,338.0
119.0,311.0,757.97,760.7,175.0,161.0
41.0,23.0,760.4,761.66,74.0,114.0
243.0,103.0,779.48,767.75,89.0,67.0
66.0,343.0,785.04,773.71,236.0,260.0
248.0,107.0,796.5,798.13,350.0,335.0
368.0,374.0,798.51,798.44,121.0,111.0
254.0,106.0,801.45,803.68,93.0,174.0
76.0,25.0,809.74,804.17,138.0,301.0
274.0,82.0,813.0,809.98,182.0,320.0
35.0,11.0,824.54,822.89,192.0,288.0
373.0,376.0,839.55,825.77,157.0,71.0
253.0,223.0,843.23,832.85,223.0,289.0
212.0,84.0,847.69,838.9,355.0,342.0
96.0,332.0,851.85,840.26,24.0,106.0
270.0,189.0,861.38,842.39,57.0,48.0
60.0,25.0,865.23,854.87,279.0,134.0
108.0,324.0,868.87,859.56,219.0,316.0
96.0,36.0,874.53,862.15,180.0,327.0
192.0,213.0,881.43,865.68,37.0,99.0
155.0,84.0,883.4,874.73,303.0,226.0
361.0,360.0,897.05,894.07,374.0,356.0
73.0,50.0,897.94,897.37,248.0,156.0
226.0,225.0,905.1,898.31,148.0,49.0
220.0,284.0,909.71,904.63,287.0,232.0
230.0,255.0,911.57,918.59,51.0,82.0
368.0,371.0,921.53,919.36,354.0,341.0
256.0,122.0,922.24,920.86,264.0,312.0
66.0,29.0,926.47,923.04,245.0,253.0
68.0,342.0,935.08,932.37,248.0,256.0
381.0,381.0,941.91,941.22,60.0,213.0
106.0,43.0,948.64,942.17,113.0,299.0
220.0,162.0,950.34,942.7,340.0,335.0
