4WN,4CNTZ,4CNTR,7WN,7CNTZ,7CNTR
20.57,250.0,128.0,20.11,281.0,289.0
23.35,228.0,289.0,22.84,321.0,328.0
24.81,223.0,178.0,29.17,93.0,132.0
29.16,329.0,267.0,30.79,157.0,210.0
31.97,209.0,279.0,33.88,166.0,265.0
33.23,330.0,230.0,35.3,215.0,285.0
35.07,171.0,275.0,37.88,286.0,264.0
39.68,159.0,209.0,40.22,296.0,268.0
42.95,245.0,166.0,44.19,191.0,206.0
44.25,165.0,195.0,48.6,223.0,216.0
46.01,276.0,255.0,50.18,234.0,198.0
51.98,187.0,109.0,51.58,260.0,289.0
54.59,238.0,227.0,55.33,186.0,180.0
55.23,256.0,187.0,58.04,177.0,253.0
58.99,130.0,145.0,63.05,135.0,249.0
63.56,164.0,223.0,63.92,186.0,201.0
73.02,42.0,387.0,68.18,291.0,267.0
78.98,221.0,213.0,72.95,310.0,300.0
81.01,354.0,274.0,78.54,281.0,245.0
84.06,241.0,127.0,82.57,86.0,326.0
91.85,84.0,91.0,87.11,272.0,217.0
94.82,233.0,122.0,90.76,130.0,249.0
100.19,217.0,273.0,92.87,163.0,253.0
104.34,116.0,322.0,94.67,183.0,129.0
107.44,186.0,153.0,97.03,209.0,130.0
110.7,195.0,244.0,100.51,165.0,104.0
113.49,249.0,239.0,103.28,170.0,136.0
117.38,160.0,231.0,109.47,314.0,259.0
118.18,168.0,249.0,115.84,301.0,240.0
123.67,129.0,112.0,122.28,174.0,178.0
126.48,109.0,52.0,124.43,104.0,100.0
129.58,308.0,290.0,128.07,198.0,278.0
132.8,293.0,202.0,135.58,217.0,262.0
135.75,142.0,301.0,140.04,106.0,301.0
138.96,308.0,162.0,141.84,136.0,150.0
142.83,195.0,53.0,147.47,156.0,72.0
149.71,33.0,389.0,153.85,259.0,167.0
157.36,260.0,102.0,160.08,99.0,292.0
163.32,301.0,218.0,161.73,158.0,142.0
168.34,235.0,125.0,167.2,195.0,92.0
172.35,128.0,329.0,171.32,285.0,167.0
176.81,332.0,291.0,181.0,255.0,242.0
182.36,290.0,183.0,188.24,336.0,303.0
185.83,272.0,165.0,195.79,314.0,195.0
188.57,211.0,176.0,201.66,266.0,147.0
200.01,287.0,163.0,207.77,90.0,74.0
207.45,122.0,50.0,213.75,319.0,322.0
220.93,124.0,269.0,216.72,286.0,306.0
226.08,317.0,99.0,230.62,262.0,177.0
233.15,251.0,96.0,234.92,249.0,151.0
239.3,266.0,115.0,244.33,295.0,290.0
250.12,280.0,213.0,245.38,295.0,268.0
253.47,95.0,365.0,247.05,124.0,292.0
257.55,72.0,72.0,248.31,94.0,149.0
260.9,344.0,277.0,257.56,289.0,282.0
264.95,11.0,397.0,260.52,178.0,325.0
268.01,116.0,55.0,267.81,27.0,334.0
276.89,264.0,200.0,273.79,352.0,349.0
286.22,254.0,124.0,274.33,139.0,152.0
295.24,362.0,326.0,275.69,82.0,77.0
304.3,238.0,239.0,284.43,244.0,244.0
308.28,301.0,253.0,295.34,348.0,345.0
310.98,312.0,251.0,296.94,170.0,144.0
316.72,216.0,246.0,304.28,282.0,251.0
332.59,347.0,287.0,307.58,181.0,118.0
333.82,277.0,177.0,309.81,178.0,88.0
338.25,132.0,321.0,317.45,370.0,382.0
347.96,258.0,147.0,327.18,361.0,355.0
352.03,324.0,221.0,337.28,363.0,357.0
356.31,232.0,235.0,343.36,207.0,202.0
356.85,356.0,303.0,350.16,263.0,223.0
366.51,226.0,265.0,361.24,334.0,317.0
373.99,380.0,317.0,380.17,365.0,367.0
387.07,370.0,316.0,391.28,229.0,300.0
392.65,191.0,103.0,400.26,325.0,286.0
398.27,208.0,188.0,405.32,130.0,59.0
402.31,90.0,67.0,409.14,113.0,46.0
406.02,103.0,362.0,422.27,310.0,221.0
413.75,306.0,230.0,425.09,202.0,314.0
416.17,360.0,302.0,427.29,265.0,320.0
428.36,268.0,160.0,430.22,342.0,347.0
432.7,321.0,216.0,441.39,225.0,97.0
446.03,302.0,173.0,443.66,320.0,272.0
455.92,358.0,294.0,446.26,359.0,349.0
459.59,320.0,253.0,453.84,337.0,328.0
466.68,261.0,126.0,463.08,311.0,280.0
475.67,347.0,313.0,474.5,227.0,115.0
485.01,314.0,261.0,480.37,328.0,297.0
491.79,284.0,185.0,484.24,328.0,280.0
500.19,184.0,83.0,499.96,312.0,282.0
507.08,149.0,343.0,508.25,290.0,230.0
524.5,295.0,226.0,509.13,16.0,2.0
552.83,261.0,232.0,521.24,100.0,326.0
557.0,225.0,82.0,557.27,135.0,62.0
557.97,310.0,216.0,561.55,339.0,257.0
566.52,204.0,58.0,571.05,333.0,212.0
567.66,306.0,36.0,575.89,132.0,48.0
570.37,155.0,236.0,581.79,366.0,360.0
581.71,304.0,62.0,591.46,303.0,185.0
601.06,359.0,287.0,594.34,268.0,196.0
611.34,346.0,146.0,622.76,326.0,154.0
651.61,382.0,350.0,667.96,386.0,390.0
656.26,314.0,12.0,687.57,335.0,48.0
699.89,328.0,223.0,713.43,276.0,114.0
723.46,173.0,115.0,714.35,11.0,1.0
726.75,64.0,74.0,722.42,168.0,173.0
727.44,180.0,126.0,726.78,79.0,316.0
727.96,43.0,342.0,730.16,199.0,277.0
733.75,53.0,77.0,730.79,172.0,49.0
735.97,40.0,354.0,732.5,71.0,276.0
741.05,256.0,138.0,733.9,64.0,116.0
745.52,181.0,188.0,737.1,278.0,124.0
746.96,87.0,220.0,738.05,100.0,78.0
753.7,68.0,340.0,747.65,200.0,65.0
754.56,197.0,142.0,750.31,252.0,204.0
761.54,93.0,31.0,757.97,119.0,311.0
765.82,316.0,141.0,760.4,41.0,23.0
783.77,138.0,58.0,779.48,243.0,103.0
783.81,118.0,44.0,785.04,66.0,343.0
795.0,366.0,323.0,796.5,248.0,107.0
796.46,279.0,204.0,798.51,368.0,374.0
804.28,86.0,356.0,801.45,254.0,106.0
812.26,248.0,258.0,809.74,76.0,25.0
826.48,200.0,271.0,813.0,274.0,82.0
834.69,217.0,234.0,824.54,35.0,11.0
841.88,373.0,368.0,839.55,373.0,376.0
843.6,211.0,156.0,843.23,253.0,223.0
844.39,75.0,343.0,847.69,212.0,84.0
853.4,236.0,105.0,851.85,96.0,332.0
861.67,166.0,69.0,861.38,270.0,189.0
864.03,172.0,172.0,865.23,60.0,25.0
867.31,83.0,346.0,868.87,108.0,324.0
872.28,136.0,76.0,874.53,96.0,36.0
881.46,148.0,82.0,881.43,192.0,213.0
884.73,376.0,354.0,883.4,155.0,84.0
889.66,138.0,298.0,897.05,361.0,360.0
892.51,109.0,75.0,897.94,73.0,50.0
899.67,219.0,175.0,905.1,226.0,225.0
906.78,179.0,294.0,909.71,220.0,284.0
