,0,0
20.57,128.0,3.3173189268944547
23.35,289.0,4.229022128952951
24.81,178.0,3.592084767338199
29.16,267.0,4.112698083471862
31.97,279.0,4.184643993998549
33.23,230.0,3.86351576679289
35.07,275.0,4.154539070178823
39.68,209.0,3.767140483340667
42.95,166.0,3.520245368155757
44.25,195.0,3.686230318357269
46.01,255.0,4.011770164254235
51.98,109.0,3.228047979436151
54.59,227.0,3.8367489818415237
55.23,187.0,3.6440681937059405
58.99,145.0,3.392823996924157
63.56,223.0,3.823538907563606
73.02,387.0,6.407607192571403
78.98,213.0,3.785325538751036
81.01,274.0,4.138977618159592
84.06,127.0,3.309578056460281
91.85,91.0,3.095422869373285
94.82,122.0,3.2801096141068813
100.19,273.0,4.128342543240735
104.34,322.0,4.702777579826228
107.44,153.0,3.4678917622461136
110.7,244.0,3.930680645584491
113.49,239.0,3.8889543880050557
117.38,231.0,3.871216285251469
118.18,249.0,3.9764696028619
123.67,112.0,3.2368860171296188
126.48,52.0,2.8394504488920784
129.58,290.0,4.243140160141258
132.8,202.0,3.720886555252666
135.75,301.0,4.409343194737151
138.96,162.0,3.505237958245233
142.83,53.0,2.872162945388669
149.71,389.0,6.575134101081825
157.36,102.0,3.1837863101863104
163.32,218.0,3.804835801319801
168.34,125.0,3.302533262403787
172.35,329.0,4.884162612839888
176.81,291.0,4.291622569084866
182.36,183.0,3.626781661304261
185.83,165.0,3.5137847425714184
188.57,176.0,3.5802380336606463
200.01,163.0,3.509117218493209
207.45,50.0,2.8180809657777277
220.93,269.0,4.11579818255327
226.08,99.0,3.1684188282384795
233.15,96.0,3.12595101963465
239.3,115.0,3.240634805536555
250.12,213.0,3.781848156257574
253.47,365.0,5.430561249944718
257.55,72.0,2.9686633676640644
260.9,277.0,4.168104001805932
264.95,397.0,8.189059672798319
268.01,55.0,2.886066064709995
276.89,200.0,3.705428098208016
286.22,124.0,3.300657106845342
295.24,326.0,4.874064485259411
304.3,239.0,3.889041585683133
308.28,253.0,3.996302771770119
310.98,251.0,3.9830995040974235
316.72,246.0,3.945930325362806
332.59,287.0,4.221973961214226
333.82,177.0,3.586911664403007
338.25,321.0,4.654585766747399
347.96,147.0,3.410411216393336
352.03,221.0,3.8117185683407153
356.31,235.0,3.8830764133486446
356.85,303.0,4.467501532611751
366.51,265.0,4.070974385966467
373.99,317.0,4.616655576764669
387.07,316.0,4.6148824010735465
392.65,103.0,3.187940826347046
398.27,188.0,3.645535182490136
402.31,67.0,2.93787980011041
406.02,362.0,5.364344495022401
413.75,230.0,3.86333362271373
416.17,302.0,4.459529155351396
428.36,160.0,3.5021027912380456
432.7,216.0,3.790094343431827
446.03,173.0,3.5534287531769864
455.92,294.0,4.363235059790919
459.59,253.0,4.002322649055239
466.68,126.0,3.3088523592159733
475.67,313.0,4.575601647560232
485.01,261.0,4.038880378727637
491.79,185.0,3.634683338675911
500.19,83.0,3.0524597809979723
507.08,343.0,5.076382196466596
524.5,226.0,3.832796774586363
552.83,232.0,3.873818938995938
557.0,82.0,3.0459194438725845
557.97,216.0,3.789851543892575
566.52,58.0,2.905595120450757
567.66,36.0,2.621584019743233
570.37,236.0,3.884417638671465
581.71,62.0,2.923951143555132
601.06,287.0,4.219012878481309
611.34,146.0,3.39996845327448
651.61,350.0,5.17992371807384
656.26,12.0,2.222730614758273
699.89,223.0,3.8121063659611476
723.46,115.0,3.2396485044313925
726.75,74.0,2.985881365203639
727.44,126.0,3.3033333353586487
727.96,342.0,5.054486107775987
733.75,77.0,3.016487898867153
735.97,354.0,5.229879590175222
741.05,138.0,3.3629987512502475
745.52,188.0,3.650370600563894
746.96,220.0,3.8048669193918765
753.7,340.0,5.003796049039085
754.56,142.0,3.3701341533512
761.54,31.0,2.512208332215418
765.82,141.0,3.3699685851867405
783.77,58.0,2.906958101631402
783.81,44.0,2.7480204845040523
795.0,323.0,4.837149177388849
796.46,204.0,3.7241243211713284
804.28,356.0,5.243628391604208
812.26,258.0,4.017457768890711
826.48,271.0,4.118330220604692
834.69,234.0,3.87709304585276
841.88,368.0,5.529470878467492
843.6,156.0,3.493198579840524
844.39,343.0,5.068176845347667
853.4,105.0,3.197918500270628
861.67,69.0,2.938377205666466
864.03,172.0,3.544090668245692
867.31,346.0,5.146494698286582
872.28,76.0,3.0149095292169497
881.46,82.0,3.0444177850913308
884.73,354.0,5.242576132740313
889.66,298.0,4.382859317275863
892.51,75.0,2.9936050500999634
899.67,175.0,3.573116683408473
906.78,294.0,4.335176442947619
912.64,241.0,3.9251717030091458
914.03,333.0,4.923486518994499
917.32,310.0,4.537327809045864
932.18,344.0,5.092821456585832
936.76,49.0,2.7867387196273543
941.09,348.0,5.167227859842482
945.42,72.0,2.956887702484771
946.31,129.0,3.3227892132861765
957.79,225.0,3.830949558830879
960.32,181.0,3.626740139225876
972.82,96.0,3.117793363634121
981.63,259.0,4.018700098525028
982.55,89.0,3.089005696938574
986.71,190.0,3.6607918209786017
987.78,179.0,3.6099879594003546
994.6,370.0,5.684446394230169
997.58,140.0,3.3660194596744595
998.02,291.0,4.285650261877514
1001.64,186.0,3.6428024943510446
1002.07,173.0,3.545627150331997
1006.78,159.0,3.4992315987796445
1013.28,66.0,2.933431147647706
1015.97,199.0,3.699856052718992
1018.4,36.0,2.609735532378173
1019.07,110.0,3.235659244876654
1021.7,53.0,2.8644246721613387
1024.12,152.0,3.4590848257108613
1029.93,380.0,6.125338464770421
1031.02,241.0,3.8987149269156327
1035.6,158.0,3.4949610022933806
1039.56,105.0,3.1931275011032447
1040.35,79.0,3.018949443990869
1042.49,276.0,4.167019484323675
1045.57,150.0,3.4345011069927156
1048.79,336.0,4.966924633907657
1049.43,24.0,2.4726741940829
1051.2,340.0,5.042600263947375
1052.28,304.0,4.4684188189496
1056.24,338.0,5.000372501664703
1058.71,70.0,2.946885821957885
1065.26,319.0,4.647117856297824
1067.13,119.0,3.263878542381136
1077.68,159.0,3.498827774871182
1078.6,301.0,4.430653649421128
1081.97,214.0,3.787935423155464
1097.07,197.0,3.690572670023832
1098.84,318.0,4.6317876638993685
1100.42,194.0,3.6847048224066294
1103.02,134.0,3.3328245246677626
1106.11,137.0,3.3479717049048654
1115.19,248.0,3.95112206702007
1118.35,356.0,5.244893855982558
1123.74,306.0,4.482133364087408
1123.9,91.0,3.097124425665004
1136.21,102.0,3.186124570195237
1145.47,108.0,3.213507239971523
1151.24,30.0,2.49063605119143
1153.46,336.0,4.9640620477546165
1174.41,314.0,4.587255618458638
1189.73,207.0,3.746434543305648
1190.99,315.0,4.601959093920157
1193.8,324.0,4.857107398040051
1194.89,94.0,3.099412209748827
1196.41,170.0,3.531908352277289
1205.84,220.0,3.8084826897786943
1206.84,308.0,4.485515941949539
1214.72,293.0,4.301051258678427
1220.29,201.0,3.715263685110697
1221.05,211.0,3.7788026330842506
1224.07,51.0,2.837466293665329
1225.67,329.0,4.900182003401427
1228.6,183.0,3.633713261036943
1232.88,46.0,2.781788677003467
1234.37,358.0,5.2567781058750365
1237.09,325.0,4.870656269267205
1241.15,135.0,3.3423127728941795
1247.87,80.0,3.023868952495889
1248.9,369.0,5.62579940572651
1250.96,264.0,4.063962741261117
1254.33,87.0,3.059099829955387
1256.22,331.0,4.900759333099197
1258.42,67.0,2.937890131665581
1262.89,114.0,3.238575912427835
1264.12,131.0,3.323648468545333
1265.35,135.0,3.338696501248976
1268.1,136.0,3.342322560856524
1270.43,314.0,4.589911332868119
1271.77,85.0,3.053767492188193
1282.79,10.0,2.0870097851378997
1283.25,328.0,4.8776632793427
1285.08,180.0,3.625053489242978
1285.93,224.0,3.828944952573994
1286.57,285.0,4.218006418886221
1286.93,201.0,3.7189169728404554
1286.96,79.0,3.016819033700995
1289.32,363.0,5.366149584115782
1289.36,352.0,5.208702096221687
1289.54,282.0,4.187949929871578
1293.61,56.0,2.891106924590751
1297.35,22.0,2.462883564689583
1298.13,144.0,3.3858835977989696
1303.99,109.0,3.222403169631911
1305.76,377.0,5.9862016878030735
1307.68,217.0,3.8040687010858463
1315.95,259.0,4.020855420988698
1317.19,177.0,3.5866112084271613
1317.96,207.0,3.7385083145661393
1327.23,205.0,3.732460355986693
1329.2,20.0,2.3886604095347264
1334.79,167.0,3.528923633760728
1338.06,34.0,2.5422974341612425
1339.33,132.0,3.331184073269429
1340.09,252.0,3.989230720580708
1346.35,389.0,6.483738088183991
1347.15,70.0,2.948784116545042
1351.86,371.0,5.790155568943447
1354.24,19.0,2.378672388121847
1355.04,40.0,2.6748038985385305
1357.16,42.0,2.6893103306649397
1357.37,391.0,6.991001622986436
1358.38,168.0,3.529910771957764
1362.66,87.0,3.05738114425079
1362.83,43.0,2.7055262423311097
1363.71,395.0,7.572519724538045
1365.42,361.0,5.322776643743163
1366.99,162.0,3.504747063148754
1368.43,123.0,3.291912968848201
1379.83,111.0,3.236031705618742
1382.01,298.0,4.391673881519927
1387.83,120.0,3.275411515417931
1389.46,62.0,2.926447730874114
1394.16,367.0,5.475340903553168
1396.65,10.0,2.111752787460396
1407.79,89.0,3.0894643742777195
1409.87,361.0,5.329361462327015
1411.22,279.0,4.177344038513351
1413.78,283.0,4.192597552662282
1414.29,150.0,3.450996632863559
1414.67,334.0,4.934052985663559
1416.9,95.0,3.106652275837343
1417.19,364.0,5.418847429625379
1417.71,43.0,2.707206268055415
1418.28,385.0,6.3092776649245765
1418.76,148.0,3.4187409596878378
1419.74,119.0,3.2620635707157035
1420.35,238.0,3.8863868342043655
