,0
2967.72,83.0
2967.76,83.0
2969.69,269.0
2973.58,46.0
2973.6,373.0
2974.27,89.0
2978.0,158.0
2981.32,6.0
2983.82,63.0
2988.98,106.0
2992.91,397.0
2994.4,293.0
2998.1,215.0
2998.16,383.0
2998.4,390.0
2999.24,3.0
3001.26,323.0
3009.75,2.0
3012.26,233.0
3015.17,387.0
3030.97,1.0
3033.4,38.0
3035.66,366.0
3037.39,392.0
3038.88,368.0
3045.67,358.0
3059.39,398.0
3062.65,400.0
3067.14,401.0
3080.95,348.0
