8WN,8CNTZ,8CNTR,10WN,10CNTZ,10CNTR
23.75,97.0,329.0,20.85,254.0,218.0
24.4,134.0,287.0,24.14,260.0,161.0
26.13,108.0,283.0,28.36,166.0,236.0
28.62,276.0,240.0,30.75,219.0,192.0
33.52,254.0,167.0,31.84,208.0,224.0
36.44,279.0,194.0,34.15,205.0,226.0
38.11,173.0,220.0,37.08,258.0,154.0
41.82,149.0,245.0,40.38,227.0,236.0
46.17,304.0,188.0,42.78,95.0,279.0
46.97,145.0,205.0,42.84,126.0,247.0
50.7,270.0,296.0,46.62,319.0,102.0
56.93,114.0,212.0,49.9,247.0,194.0
59.65,235.0,241.0,55.14,354.0,56.0
64.18,312.0,96.0,56.53,132.0,192.0
67.88,296.0,147.0,57.89,147.0,250.0
68.71,321.0,228.0,62.48,264.0,197.0
76.51,299.0,185.0,69.66,289.0,149.0
80.73,102.0,270.0,74.11,144.0,202.0
86.52,231.0,224.0,76.63,328.0,118.0
88.51,162.0,234.0,80.87,185.0,203.0
89.63,202.0,147.0,83.71,192.0,245.0
94.12,0.0,0.0,84.72,267.0,142.0
98.73,265.0,93.0,85.85,119.0,231.0
100.8,250.0,208.0,97.05,160.0,383.0
101.89,266.0,134.0,103.08,167.0,340.0
103.32,221.0,55.0,104.63,96.0,336.0
110.45,199.0,108.0,108.47,269.0,113.0
113.49,140.0,133.0,116.12,276.0,168.0
114.93,128.0,230.0,119.68,275.0,176.0
122.8,74.0,312.0,123.31,144.0,269.0
126.66,309.0,114.0,130.85,271.0,250.0
128.58,274.0,92.0,132.36,217.0,121.0
131.06,90.0,294.0,137.76,257.0,130.0
138.33,164.0,209.0,139.57,139.0,220.0
140.47,238.0,236.0,145.73,280.0,114.0
141.46,301.0,204.0,156.82,242.0,98.0
142.37,285.0,243.0,163.76,188.0,241.0
156.02,279.0,141.0,165.21,183.0,160.0
167.26,169.0,206.0,170.2,307.0,84.0
172.53,90.0,281.0,177.98,72.0,280.0
179.7,308.0,109.0,183.9,288.0,102.0
191.05,105.0,259.0,186.88,330.0,67.0
196.78,187.0,245.0,194.45,309.0,100.0
200.24,287.0,164.0,207.92,210.0,104.0
206.19,258.0,153.0,213.47,124.0,334.0
209.28,204.0,176.0,216.06,278.0,127.0
214.17,305.0,74.0,223.17,325.0,84.0
224.37,324.0,81.0,232.84,151.0,301.0
237.13,221.0,283.0,242.07,255.0,78.0
243.81,59.0,314.0,247.12,238.0,255.0
254.12,336.0,112.0,247.51,143.0,370.0
258.84,34.0,364.0,251.08,196.0,204.0
263.74,69.0,349.0,261.95,39.0,289.0
265.72,84.0,331.0,269.51,129.0,296.0
266.38,138.0,249.0,270.94,153.0,324.0
275.86,272.0,102.0,272.55,5.0,383.0
278.87,352.0,85.0,279.23,152.0,314.0
281.23,315.0,128.0,280.17,373.0,22.0
286.18,268.0,137.0,285.16,266.0,154.0
290.4,316.0,139.0,293.5,364.0,44.0
291.59,343.0,130.0,298.07,251.0,135.0
300.18,247.0,131.0,302.6,205.0,180.0
304.75,18.0,375.0,317.67,162.0,177.0
309.15,239.0,176.0,323.52,306.0,146.0
311.56,211.0,187.0,328.18,358.0,62.0
315.92,302.0,152.0,333.21,278.0,205.0
318.23,384.0,23.0,340.2,302.0,183.0
337.19,315.0,181.0,342.13,190.0,196.0
338.27,328.0,148.0,351.45,258.0,183.0
345.38,260.0,186.0,352.0,245.0,144.0
347.56,331.0,107.0,357.71,299.0,166.0
358.8,118.0,198.0,363.59,348.0,91.0
366.51,292.0,96.0,366.71,141.0,159.0
367.79,294.0,160.0,371.64,356.0,75.0
379.05,380.0,43.0,383.92,369.0,33.0
396.16,20.0,371.0,384.98,162.0,291.0
400.98,254.0,257.0,407.28,336.0,63.0
411.94,347.0,182.0,411.71,328.0,67.0
424.13,234.0,300.0,425.39,249.0,239.0
433.87,200.0,291.0,430.3,147.0,189.0
442.47,367.0,74.0,434.51,212.0,227.0
447.68,380.0,37.0,435.64,284.0,152.0
453.2,305.0,301.0,446.37,339.0,82.0
457.52,351.0,100.0,449.96,369.0,47.0
460.43,308.0,119.0,458.97,368.0,45.0
467.75,320.0,150.0,460.69,372.0,30.0
469.85,228.0,164.0,485.39,371.0,32.0
479.83,12.0,384.0,487.13,240.0,242.0
