,0
5.4,3.3e-05
11.39,0.00014
13.57,0.000356
16.68,0.000296
17.69,9e-06
20.63,0.000148
23.34,0.000213
24.58,0.000213
26.85,0.000123
31.24,0.000151
35.45,0.000135
39.54,0.000374
44.9,6.5e-05
46.04,0.000255
47.92,2.5e-05
52.97,8.6e-05
54.18,0.000493
54.82,0.000138
56.46,3.5e-05
60.98,3.9e-05
64.06,0.00017
65.89,7.1e-05
70.53,0.000176
76.22,0.000134
77.61,0.000183
80.13,0.000369
84.71,2e-05
85.69,0.000256
94.96,0.000794
99.4,7e-05
110.24,0.000374
116.27,0.000105
118.11,3.8e-05
121.49,0.000283
123.28,0.000627
125.47,4.5e-05
128.78,0.000124
130.55,2.6e-05
135.77,0.000682
137.47,0.001739
147.23,0.000142
148.2,0.000634
158.72,9.3e-05
161.03,0.000116
172.17,0.00032
177.07,3e-05
186.14,0.000649
187.07,0.000686
193.79,0.00061
200.66,0.000156
206.68,0.001731
227.14,1.5e-05
229.66,9e-06
234.98,0.000455
239.37,7.3e-05
246.35,0.000439
250.52,0.000211
252.88,0.000197
258.7,0.000106
263.54,0.000142
266.03,0.00075
268.18,0.000747
278.01,0.000417
279.47,0.000913
281.86,0.00014
282.12,0.00016
298.11,0.000107
300.58,3.8e-05
301.88,0.000335
316.6,9.1e-05
320.96,0.001159
328.07,0.000571
335.95,0.000335
340.48,0.000121
343.56,0.000126
345.5,0.000135
353.44,0.001582
354.17,0.000365
355.03,0.001684
374.32,0.001828
382.41,0.002572
386.26,0.00105
401.86,0.001487
407.92,0.001243
413.86,0.000779
427.68,0.000447
438.91,6.2e-05
439.58,0.001466
443.95,7.5e-05
449.56,8.4e-05
450.05,0.000196
475.36,0.003573
479.29,0.001422
483.36,0.00051
491.28,0.000262
498.25,0.003179
507.13,0.000185
510.94,0.000158
514.86,0.000677
534.17,4.6e-05
558.92,0.001308
578.68,0.009566
593.72,0.0014
605.2,0.069076
605.6,0.002536
617.55,0.00021
660.02,0.009325
673.39,0.000245
683.44,0.007844
698.96,0.00469
709.03,0.031023
714.89,0.007143
721.48,0.001601
722.11,0.001839
728.02,0.001554
728.72,0.002151
734.05,0.002975
741.75,0.00109
747.14,0.000802
753.75,0.000509
755.15,0.001735
758.53,0.000315
765.05,0.000206
767.08,0.000604
779.3,0.00063
792.79,0.000778
796.65,0.003739
798.5,0.001135
813.61,0.003794
823.37,0.000284
828.47,0.000421
835.27,7e-06
835.93,0.000789
837.6,0.000607
838.33,0.000989
851.79,0.001059
855.85,0.001084
862.67,0.000691
863.28,0.000191
865.81,0.000638
874.3,0.000935
885.34,1.8e-05
894.93,0.007928
897.75,0.000542
902.84,0.001543
907.37,0.000596
915.71,0.001374
918.75,0.00396
923.06,0.001959
929.54,2.8e-05
935.82,0.00058
940.03,0.001634
943.22,0.00586
950.15,0.003122
950.43,0.000186
964.55,1.5e-05
966.16,0.000107
973.03,0.000206
974.57,0.000429
976.53,0.00024
979.1,0.000193
986.51,0.000959
996.8,0.00025
997.92,0.000739
999.71,0.00372
1002.08,0.003526
1006.84,0.000391
1008.93,0.020322
1009.61,0.004779
1011.92,7.9e-05
1017.76,0.003056
1021.49,0.049148
1035.5,0.000747
1036.71,7.3e-05
1038.95,6.7e-05
1039.4,0.000696
1041.7,0.000214
1044.51,0.000501
1045.46,6.5e-05
1048.9,5.7e-05
1053.23,4.3e-05
1054.84,0.0009
1058.12,0.014763
1059.77,0.005694
1064.69,0.000442
1065.89,0.005388
1068.82,2.6e-05
1070.7,0.004353
1082.47,0.000309
1085.25,0.003763
1096.27,0.000151
1102.68,0.001466
1104.7,0.020555
1106.95,0.003484
1108.76,0.000975
1113.69,0.00886
1120.28,0.014902
1122.1,0.002634
1124.33,0.024523
1134.86,0.018162
1138.15,0.015131
1153.87,0.008695
1156.31,0.001611
1160.55,0.001143
1164.19,0.001109
1175.81,0.000127
1182.67,0.000672
1188.8,0.007963
1194.14,0.000424
1194.88,0.000742
1202.76,5.5e-05
1211.11,6.9e-05
1220.73,0.000307
1225.82,0.034236
1228.2,0.00319
1228.97,0.000364
1234.66,0.000637
1236.71,0.000316
1237.03,0.001448
1241.34,0.001335
1242.69,0.006633
1248.41,0.000611
1249.14,0.002486
1251.09,0.000345
1251.99,0.000512
1255.37,0.000408
1264.33,0.002206
1264.54,0.001384
1267.09,0.000861
1267.7,0.000576
1270.08,0.000316
1273.31,0.002981
1274.02,0.003785
1275.73,9.1e-05
1278.17,0.001062
1286.99,0.002277
1287.35,0.001261
1287.9,0.00022
1288.85,5.3e-05
1289.53,4.7e-05
1290.81,0.000635
1293.53,0.000349
1295.21,0.001192
1298.96,0.002939
1300.56,0.001814
1303.54,0.000394
1310.13,0.002848
1310.66,0.000109
1311.17,9.9e-05
1314.34,0.000163
1317.52,0.000617
1328.84,0.001173
1329.8,0.001092
1329.97,0.00322
1334.2,0.000281
1337.19,0.000586
1337.39,0.000138
1337.88,0.000424
1339.58,0.001405
1348.35,0.000747
1349.61,0.000666
1352.32,0.002771
1353.87,7e-05
1357.02,0.005039
1357.1,0.000145
1358.68,0.001589
1360.08,0.000266
1361.87,0.004205
1362.82,0.000717
1363.23,0.001388
1365.47,0.002269
1369.36,0.006177
1379.73,0.000753
1381.33,0.000615
1383.35,0.003996
1386.86,0.000931
1391.09,0.00023
1393.15,0.000151
1395.57,0.002999
1407.0,0.001618
1408.64,0.001931
1408.83,0.000196
1412.93,0.001684
1414.39,0.000775
1415.47,0.000555
1415.61,0.002269
1416.27,0.000603
1416.47,0.000287
1417.69,0.000316
1418.38,0.000989
1419.1,0.000169
1419.93,0.000614
1421.11,0.000366
1421.93,9e-05
1422.72,0.002776
1423.95,0.000219
1425.73,0.000949
1426.02,0.000115
1427.53,0.000263
1427.64,0.000379
1428.36,0.000631
1428.41,0.000239
1429.66,0.000319
1432.33,0.000387
1432.35,8.3e-05
1432.69,0.000322
1434.06,0.000473
1436.45,0.001362
1437.26,0.000256
1437.71,0.000581
1439.62,0.001231
1439.99,0.000674
1441.12,0.000468
1444.53,0.001003
1445.4,0.000103
1446.15,0.000676
1447.82,0.001262
1447.91,0.00637
1456.45,0.002748
1471.39,0.013106
1661.17,0.000457
1666.89,0.000175
1746.45,0.035428
1749.9,0.041275
2880.0,0.007907
2899.6,0.002927
