4CNTZ,4CNTR,4WN,9WN,9CNTZ,9CNTR
250.0,128.0,20.57,17.16,185.0,272.0
228.0,289.0,23.35,20.23,212.0,249.0
223.0,178.0,24.81,23.07,260.0,223.0
329.0,267.0,29.16,26.32,271.0,229.0
209.0,279.0,31.97,30.23,174.0,302.0
330.0,230.0,33.23,30.67,267.0,292.0
171.0,275.0,35.07,35.06,91.0,236.0
159.0,209.0,39.68,36.82,301.0,266.0
245.0,166.0,42.95,39.2,120.0,192.0
165.0,195.0,44.25,42.26,211.0,320.0
276.0,255.0,46.01,45.87,298.0,263.0
187.0,109.0,51.98,48.4,169.0,293.0
238.0,227.0,54.59,48.97,143.0,225.0
256.0,187.0,55.23,51.06,97.0,188.0
130.0,145.0,58.99,55.06,279.0,238.0
164.0,223.0,63.56,61.22,239.0,202.0
42.0,387.0,73.02,69.45,210.0,206.0
221.0,213.0,78.98,69.62,243.0,212.0
354.0,274.0,81.01,74.42,284.0,235.0
241.0,127.0,84.06,76.18,198.0,121.0
84.0,91.0,91.85,81.36,140.0,177.0
233.0,122.0,94.82,85.49,266.0,245.0
217.0,273.0,100.19,91.05,132.0,344.0
116.0,322.0,104.34,97.1,321.0,233.0
186.0,153.0,107.44,100.14,130.0,97.0
195.0,244.0,110.7,105.62,202.0,271.0
249.0,239.0,113.49,107.91,165.0,266.0
160.0,231.0,117.38,108.5,52.0,165.0
168.0,249.0,118.18,112.17,124.0,119.0
129.0,112.0,123.67,119.01,182.0,309.0
109.0,52.0,126.48,121.45,224.0,238.0
308.0,290.0,129.58,128.08,243.0,175.0
293.0,202.0,132.8,135.5,102.0,156.0
142.0,301.0,135.75,138.2,219.0,220.0
308.0,162.0,138.96,143.43,157.0,250.0
195.0,53.0,142.83,145.25,79.0,144.0
33.0,389.0,149.71,156.61,197.0,172.0
260.0,102.0,157.36,158.51,143.0,126.0
301.0,218.0,163.32,162.91,226.0,81.0
235.0,125.0,168.34,169.63,314.0,185.0
