,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,386.0,361.0,1409.87,386.0,380.0,1409.08
2,14.0,386.0,2900.11,15.0,65.0,2900.72
3,240.0,35.0,2911.52,241.0,90.0,2910.35
4,320.0,253.0,459.59,319.0,215.0,458.35
5,383.0,372.0,2971.7,383.0,380.0,2973.51
6,9.0,393.0,2948.35,7.0,215.0,2948.12
7,104.0,264.0,1250.96,106.0,77.0,1251.22
8,66.0,334.0,1414.67,68.0,187.0,1415.04
9,393.0,366.0,1428.66,391.0,374.0,1427.85
10,375.0,369.0,1248.9,375.0,315.0,1246.54
11,103.0,94.0,1194.89,105.0,362.0,1193.37
12,46.0,260.0,1421.46,44.0,162.0,1419.82
13,163.0,186.0,1001.64,162.0,326.0,1004.18
14,107.0,20.0,1436.54,106.0,171.0,1433.96
15,188.0,98.0,1425.67,188.0,103.0,1422.81
16,395.0,333.0,1455.99,392.0,366.0,1455.41
17,397.0,367.0,1394.16,400.0,370.0,1393.54
18,206.0,282.0,1289.54,203.0,37.0,1290.26
19,310.0,110.0,1019.07,307.0,162.0,1020.06
20,4.0,399.0,2991.67,1.0,244.0,2992.84
21,344.0,284.0,2949.93,346.0,319.0,2952.47
22,362.0,352.0,1289.36,359.0,328.0,1287.99
23,13.0,5.0,2938.43,13.0,136.0,2935.03
24,270.0,210.0,2946.94,273.0,91.0,2948.67
25,90.0,238.0,1420.35,91.0,93.0,1423.71
26,3.0,399.0,2921.95,5.0,157.0,2925.04
27,24.0,385.0,2965.02,20.0,99.0,2965.58
28,266.0,257.0,2906.37,270.0,33.0,2907.14
29,385.0,346.0,1449.07,389.0,378.0,1447.98
30,50.0,380.0,1029.93,46.0,55.0,1031.07
31,202.0,117.0,2914.25,198.0,110.0,2913.09
32,35.0,377.0,1305.76,32.0,45.0,1302.84
33,391.0,298.0,1382.01,395.0,349.0,1383.26
34,144.0,89.0,982.55,141.0,83.0,979.6
35,323.0,114.0,1262.89,326.0,132.0,1259.88
36,1.0,402.0,2999.52,1.0,199.0,3003.79
37,398.0,383.0,2963.82,394.0,387.0,2965.36
38,18.0,376.0,2906.92,14.0,142.0,2904.95
39,107.0,95.0,1416.9,104.0,295.0,1420.24
40,235.0,125.0,168.34,238.0,70.0,171.74
41,334.0,132.0,1339.33,330.0,59.0,1341.94
42,396.0,310.0,1474.45,397.0,376.0,1469.55
43,9.0,395.0,1363.71,4.0,192.0,1364.21
44,175.0,64.0,1432.44,174.0,254.0,1437.44
45,40.0,354.0,735.97,43.0,79.0,740.25
46,43.0,342.0,727.96,38.0,53.0,726.09
47,375.0,356.0,1118.35,379.0,348.0,1121.92
48,342.0,46.0,1743.09,338.0,167.0,1747.1
49,352.0,333.0,914.03,354.0,341.0,919.36
50,171.0,275.0,35.07,174.0,302.0,30.23
51,165.0,195.0,44.25,169.0,293.0,48.4
52,378.0,364.0,1417.19,372.0,155.0,1416.96
53,339.0,18.0,2998.0,345.0,1.0,2997.76
54,281.0,214.0,1081.97,275.0,95.0,1081.56
55,157.0,79.0,1040.35,163.0,332.0,1040.88
56,292.0,194.0,2938.17,298.0,18.0,2936.85
57,217.0,234.0,834.69,223.0,289.0,832.85
58,218.0,276.0,1042.49,217.0,282.0,1036.28
59,146.0,199.0,1015.97,145.0,326.0,1022.24
60,30.0,197.0,2924.53,35.0,15.0,2920.58
61,238.0,227.0,54.59,239.0,202.0,61.22
62,242.0,38.0,2938.74,249.0,30.0,2938.97
63,224.0,263.0,2900.35,231.0,21.0,2900.09
64,86.0,356.0,804.28,93.0,174.0,803.68
65,170.0,70.0,1058.71,177.0,346.0,1057.47
66,6.0,396.0,2898.35,12.0,180.0,2902.29
67,77.0,190.0,1422.19,80.0,25.0,1428.83
68,93.0,31.0,761.54,89.0,67.0,767.75
69,58.0,148.0,1418.76,65.0,118.0,1421.34
70,43.0,42.0,1357.16,49.0,150.0,1352.42
71,297.0,234.0,1424.79,300.0,46.0,1431.93
72,276.0,137.0,1106.11,268.0,290.0,1106.38
73,302.0,173.0,446.03,309.0,185.0,442.1
74,288.0,241.0,912.64,287.0,232.0,904.63
75,38.0,167.0,1444.5,46.0,397.0,1442.82
76,172.0,172.0,864.03,180.0,327.0,862.15
77,67.0,275.0,1434.15,62.0,396.0,1427.38
78,321.0,216.0,432.7,328.0,262.0,427.67
79,195.0,244.0,110.7,202.0,271.0,105.62
80,200.0,271.0,826.48,192.0,288.0,822.89
81,19.0,378.0,2908.53,16.0,94.0,2916.78
82,17.0,392.0,1437.09,10.0,139.0,1442.84
83,324.0,221.0,352.03,317.0,257.0,357.89
84,293.0,217.0,1307.68,284.0,121.0,1309.34
85,304.0,152.0,1024.12,311.0,207.0,1030.02
86,400.0,374.0,3064.25,397.0,390.0,3072.91
87,268.0,12.0,2981.27,276.0,12.0,2976.77
88,372.0,338.0,1056.24,363.0,334.0,1058.08
89,20.0,391.0,2936.46,13.0,197.0,2942.5
90,191.0,173.0,1002.07,200.0,252.0,999.83
91,72.0,297.0,2926.69,73.0,399.0,2935.92
92,16.0,385.0,1418.28,7.0,194.0,1415.69
93,358.0,294.0,455.92,356.0,324.0,446.67
94,276.0,255.0,46.01,279.0,238.0,55.06
95,376.0,354.0,884.73,374.0,356.0,894.07
96,280.0,213.0,250.12,289.0,257.0,246.59
97,95.0,365.0,253.47,103.0,360.0,259.03
98,20.0,389.0,1346.35,18.0,152.0,1336.79
99,336.0,279.0,1411.22,335.0,145.0,1420.94
100,336.0,70.0,1347.15,334.0,281.0,1356.76
101,306.0,230.0,413.75,314.0,112.0,419.46
102,148.0,179.0,987.78,152.0,105.0,996.87
103,68.0,340.0,753.7,74.0,114.0,761.66
104,140.0,207.0,1317.96,148.0,329.0,1311.9
105,317.0,99.0,226.08,308.0,207.0,230.75
106,350.0,252.0,1340.09,358.0,310.0,1333.72
107,250.0,128.0,20.57,260.0,223.0,23.07
108,332.0,89.0,1407.79,337.0,0.0,1398.77
109,287.0,163.0,200.01,297.0,179.0,197.48
110,41.0,328.0,1283.25,31.0,87.0,1286.09
111,209.0,279.0,31.97,211.0,320.0,42.26
112,177.0,66.0,1013.28,183.0,188.0,1021.88
113,326.0,162.0,1366.99,330.0,182.0,1357.17
114,136.0,284.0,2912.86,136.0,386.0,2902.23
115,97.0,315.0,1190.99,97.0,78.0,1201.67
116,168.0,249.0,118.18,165.0,266.0,107.91
117,178.0,207.0,1189.73,187.0,35.0,1195.7
118,167.0,211.0,1221.05,165.0,247.0,1210.41
119,370.0,316.0,387.07,361.0,332.0,380.9
120,11.0,397.0,264.95,18.0,141.0,273.36
121,174.0,107.0,1424.34,178.0,308.0,1414.1
122,121.0,26.0,2969.48,132.0,128.0,2968.87
123,389.0,337.0,3041.31,378.0,359.0,3042.0
124,300.0,1.0,3001.94,310.0,109.0,3006.61
125,255.0,131.0,1264.12,247.0,236.0,1256.5
126,215.0,43.0,1362.83,207.0,73.0,1355.17
127,1.0,400.0,1429.32,3.0,195.0,1440.25
128,116.0,322.0,104.34,124.0,119.0,112.17
129,370.0,324.0,1193.8,381.0,349.0,1196.46
130,82.0,244.0,2982.72,84.0,10.0,2971.58
131,32.0,75.0,1434.38,42.0,397.0,1428.91
132,109.0,52.0,126.48,102.0,156.0,135.5
133,355.0,208.0,1441.38,366.0,344.0,1437.76
134,223.0,178.0,24.81,212.0,249.0,20.23
135,157.0,144.0,1298.13,150.0,299.0,1307.93
136,125.0,3.0,2930.62,122.0,241.0,2918.86
137,186.0,153.0,107.44,182.0,309.0,119.01
138,256.0,138.0,741.05,262.0,148.0,730.19
139,55.0,299.0,2961.1,68.0,395.0,2960.35
140,52.0,314.0,1270.43,39.0,123.0,1269.54
141,295.0,226.0,524.5,291.0,269.0,512.04
142,50.0,373.0,2912.93,40.0,399.0,2921.43
143,181.0,188.0,745.52,168.0,40.0,743.39
144,138.0,298.0,889.66,148.0,49.0,898.31
145,84.0,243.0,1447.04,77.0,97.0,1435.74
146,389.0,357.0,1421.91,376.0,366.0,1424.9
147,76.0,283.0,1413.78,87.0,127.0,1422.2
148,195.0,53.0,142.83,197.0,172.0,156.61
149,99.0,265.0,2973.7,108.0,388.0,2963.06
150,244.0,40.0,1355.04,231.0,294.0,1349.42
151,134.0,67.0,1258.42,139.0,168.0,1271.71
152,334.0,183.0,1228.6,347.0,287.0,1234.46
153,207.0,109.0,1303.99,193.0,321.0,1301.14
154,382.0,312.0,2941.65,368.0,350.0,2944.9
155,301.0,218.0,163.32,314.0,185.0,169.63
156,221.0,213.0,78.98,210.0,206.0,69.45
157,241.0,127.0,84.06,243.0,212.0,69.62
158,87.0,21.0,1447.78,94.0,298.0,1434.93
159,347.0,313.0,475.67,341.0,245.0,489.08
160,362.0,326.0,295.24,364.0,338.0,280.66
161,351.0,204.0,2894.61,360.0,315.0,2882.87
162,118.0,44.0,783.81,121.0,111.0,798.44
163,81.0,291.0,998.02,86.0,51.0,983.55
164,262.0,159.0,1006.78,277.0,116.0,1003.06
165,230.0,63.0,2970.5,221.0,212.0,2983.09
166,264.0,181.0,960.32,267.0,210.0,975.64
167,298.0,7.0,2943.28,283.0,11.0,2947.64
168,249.0,239.0,113.49,243.0,175.0,128.08
169,258.0,135.0,1265.35,254.0,66.0,1280.8
170,264.0,200.0,276.89,272.0,225.0,262.98
171,377.0,340.0,1051.2,367.0,317.0,1064.05
172,277.0,177.0,333.82,293.0,275.0,336.88
173,366.0,323.0,795.0,350.0,335.0,798.13
174,190.0,96.0,972.82,181.0,297.0,986.49
175,130.0,145.0,58.99,143.0,225.0,48.97
176,57.0,348.0,1446.46,48.0,145.0,1432.66
177,78.0,329.0,1225.67,88.0,85.0,1212.36
178,311.0,193.0,2993.41,295.0,66.0,2988.37
179,142.0,301.0,135.75,157.0,250.0,143.43
180,249.0,154.0,2967.04,253.0,28.0,2950.66
181,122.0,34.0,1338.06,134.0,352.0,1349.97
182,240.0,136.0,1268.1,251.0,59.0,1281.22
183,184.0,180.0,1285.08,169.0,43.0,1276.71
184,72.0,72.0,257.55,81.0,384.0,272.23
185,71.0,229.0,2925.67,84.0,387.0,2914.19
186,65.0,363.0,1289.32,63.0,27.0,1306.65
187,47.0,370.0,994.6,34.0,78.0,1006.46
188,111.0,259.0,981.63,128.0,71.0,986.37
189,211.0,156.0,843.6,219.0,316.0,859.56
190,120.0,47.0,2974.53,107.0,6.0,2962.27
191,133.0,87.0,1254.33,119.0,372.0,1265.5
192,154.0,167.0,1334.79,150.0,243.0,1352.25
193,75.0,343.0,844.39,57.0,48.0,842.39
194,274.0,13.0,2928.62,258.0,14.0,2937.21
195,373.0,368.0,841.88,355.0,342.0,838.9
196,365.0,306.0,1123.74,354.0,359.0,1109.14
197,101.0,24.0,1049.43,111.0,39.0,1033.84
198,25.0,2.0,2903.17,8.0,222.0,2910.72
199,359.0,287.0,601.06,363.0,311.0,582.85
200,347.0,287.0,332.59,359.0,340.0,318.29
201,113.0,194.0,1100.42,131.0,347.0,1095.02
202,203.0,100.0,2957.51,190.0,149.0,2971.21
203,328.0,223.0,699.89,343.0,45.0,688.38
204,268.0,160.0,428.36,286.0,197.0,434.25
205,319.0,177.0,1317.19,332.0,158.0,1331.1
206,178.0,153.0,2923.4,163.0,22.0,2911.52
207,77.0,344.0,932.18,60.0,213.0,941.22
208,358.0,308.0,1206.84,351.0,343.0,1188.59
209,216.0,246.0,316.72,228.0,204.0,332.18
210,401.0,323.0,3058.83,382.0,392.0,3064.44
211,332.0,291.0,176.81,347.0,293.0,189.91
212,235.0,150.0,1045.57,233.0,275.0,1065.43
213,138.0,58.0,783.77,138.0,301.0,804.17
214,128.0,329.0,172.35,143.0,126.0,158.51
215,141.0,72.0,945.42,146.0,56.0,965.7
216,244.0,55.0,2905.98,254.0,3.0,2924.42
217,173.0,115.0,723.46,152.0,44.0,727.1
218,392.0,308.0,3044.4,377.0,392.0,3059.76
219,381.0,331.0,1447.01,365.0,369.0,1432.62
220,368.0,361.0,1365.42,384.0,190.0,1380.11
221,124.0,28.0,2983.44,145.0,8.0,2977.6
222,328.0,119.0,1067.13,321.0,169.0,1046.48
223,145.0,51.0,1224.07,127.0,365.0,1236.83
224,204.0,58.0,566.52,185.0,313.0,555.2
225,217.0,273.0,100.19,224.0,238.0,121.45
226,274.0,241.0,1031.02,277.0,193.0,1053.6
227,197.0,142.0,754.56,175.0,161.0,760.7
228,214.0,91.0,1123.9,212.0,305.0,1146.67
229,66.0,142.0,2913.15,85.0,393.0,2900.3
230,252.0,168.0,1358.38,240.0,35.0,1338.82
231,5.0,99.0,2994.42,28.0,401.0,2994.19
232,61.0,336.0,1048.79,67.0,54.0,1026.51
233,89.0,318.0,1098.84,71.0,41.0,1084.27
234,221.0,60.0,2951.43,214.0,190.0,2973.73
235,57.0,27.0,2943.17,79.0,20.0,2951.13
236,382.0,350.0,651.61,382.0,355.0,675.05
237,129.0,112.0,123.67,130.0,97.0,100.14
238,344.0,277.0,260.9,324.0,306.0,248.19
239,69.0,336.0,1153.46,60.0,41.0,1131.38
240,29.0,20.0,1329.2,5.0,230.0,1329.42
241,346.0,146.0,611.34,326.0,85.0,624.7
242,100.0,224.0,1285.93,124.0,369.0,1290.67
243,261.0,126.0,466.68,281.0,180.0,451.92
244,119.0,120.0,1387.83,125.0,351.0,1363.65
245,374.0,254.0,2926.73,399.0,75.0,2927.4
246,53.0,358.0,1234.37,28.0,137.0,1237.2
247,245.0,166.0,42.95,267.0,292.0,30.67
248,153.0,119.0,1419.74,161.0,16.0,1443.84
249,301.0,253.0,308.28,282.0,136.0,291.0
250,47.0,10.0,1282.79,22.0,88.0,1289.57
251,96.0,33.0,3022.76,70.0,27.0,3019.92
252,213.0,56.0,1293.61,205.0,221.0,1268.4
253,38.0,19.0,1354.24,64.0,250.0,1359.64
254,187.0,109.0,51.98,198.0,121.0,76.18
255,232.0,59.0,3045.74,259.0,270.0,3047.56
256,208.0,105.0,1039.56,189.0,63.0,1060.3
257,188.0,225.0,957.79,207.0,152.0,978.95
258,141.0,49.0,936.76,113.0,299.0,942.17
259,229.0,79.0,1286.96,256.0,278.0,1297.03
260,198.0,201.0,1220.29,177.0,73.0,1240.29
261,53.0,77.0,733.75,24.0,82.0,733.33
262,329.0,267.0,29.16,301.0,266.0,36.82
263,369.0,348.0,941.09,340.0,335.0,942.7
264,219.0,175.0,899.67,248.0,156.0,897.37
265,225.0,82.0,557.0,199.0,322.0,543.71
266,200.0,156.0,1423.33,227.0,139.0,1411.45
267,211.0,176.0,188.57,226.0,81.0,162.91
268,116.0,55.0,268.01,117.0,382.0,297.75
269,343.0,131.0,2945.93,370.0,124.0,2958.52
270,164.0,223.0,63.56,140.0,177.0,81.36
271,87.0,220.0,746.96,115.0,358.0,736.03
272,281.0,108.0,1145.47,251.0,247.0,1143.11
273,36.0,14.0,2963.43,35.0,400.0,2993.63
274,312.0,251.0,310.98,340.0,324.0,299.44
275,341.0,281.0,3007.35,369.0,141.0,3019.71
276,285.0,102.0,1136.21,303.0,283.0,1111.36
277,132.0,321.0,338.25,111.0,90.0,361.52
278,316.0,141.0,765.82,295.0,101.0,741.86
279,256.0,187.0,55.23,266.0,245.0,85.49
280,269.0,205.0,1327.23,271.0,87.0,1295.09
281,180.0,126.0,727.44,156.0,338.0,748.95
282,356.0,303.0,356.85,328.0,279.0,373.05
283,33.0,87.0,1362.66,58.0,15.0,1383.69
284,60.0,85.0,1271.77,29.0,104.0,1260.77
285,193.0,62.0,1389.46,226.0,253.0,1388.3
286,151.0,43.0,1417.71,118.0,208.0,1416.29
287,318.0,220.0,1205.84,305.0,218.0,1236.36
288,314.0,261.0,485.01,333.0,302.0,457.42
289,258.0,147.0,347.96,292.0,282.0,352.83
290,159.0,209.0,39.68,185.0,272.0,17.16
291,330.0,230.0,33.23,298.0,263.0,45.87
292,308.0,290.0,129.58,321.0,233.0,97.1
293,61.0,191.0,1445.91,94.0,108.0,1432.95
294,113.0,259.0,1315.95,133.0,354.0,1286.45
295,49.0,16.0,2940.45,83.0,18.0,2952.2
296,202.0,134.0,1103.02,215.0,103.0,1069.41
297,84.0,91.0,91.85,52.0,165.0,108.5
298,314.0,12.0,656.26,350.0,102.0,652.24
299,166.0,69.0,861.67,157.0,71.0,825.77
300,254.0,124.0,286.22,291.0,160.0,281.61
301,272.0,270.0,2902.98,246.0,23.0,2929.81
302,304.0,62.0,581.71,342.0,217.0,581.26
303,360.0,302.0,416.17,322.0,198.0,415.55
304,396.0,270.0,3034.25,374.0,147.0,3003.22
305,160.0,231.0,117.38,132.0,344.0,91.05
306,225.0,135.0,1241.15,262.0,239.0,1230.6
307,290.0,183.0,182.36,312.0,163.0,213.96
308,316.0,1.0,1762.16,348.0,49.0,1740.58
309,97.0,22.0,1297.35,127.0,285.0,1271.46
310,248.0,258.0,812.26,236.0,260.0,773.71
311,54.0,266.0,2916.72,95.0,363.0,2915.18
312,391.0,352.0,1433.93,392.0,382.0,1391.67
313,160.0,150.0,1414.29,117.0,203.0,1414.69
314,236.0,105.0,853.4,279.0,134.0,854.87
315,228.0,289.0,23.35,271.0,229.0,26.32
316,208.0,188.0,398.27,221.0,314.0,440.29
317,124.0,269.0,220.93,154.0,201.0,254.17
318,310.0,216.0,557.97,337.0,277.0,522.22
319,260.0,102.0,157.36,219.0,220.0,138.2
320,356.0,293.0,1214.72,332.0,279.0,1253.87
321,83.0,346.0,867.31,37.0,99.0,865.68
322,226.0,265.0,366.51,257.0,304.0,400.56
323,33.0,389.0,149.71,79.0,144.0,145.25
324,192.0,129.0,946.31,205.0,306.0,990.98
325,348.0,301.0,1078.6,319.0,175.0,1116.96
326,238.0,239.0,304.3,209.0,273.0,264.77
327,122.0,50.0,207.45,75.0,57.0,193.27
328,22.0,371.0,1351.86,72.0,167.0,1360.26
329,232.0,235.0,356.31,191.0,234.0,325.91
330,64.0,74.0,726.75,115.0,368.0,722.29
331,196.0,28.0,3018.46,173.0,262.0,2970.11
332,261.0,232.0,552.83,225.0,258.0,593.14
333,233.0,122.0,94.82,284.0,235.0,74.42
334,340.0,146.0,2950.33,394.0,378.0,2966.89
335,27.0,360.0,2941.28,77.0,32.0,2967.93
