7CNTZ,7CNTR,7WN,8WN,8CNTZ,8CNTR
281.0,289.0,20.11,23.75,97.0,329.0
321.0,328.0,22.84,24.4,134.0,287.0
93.0,132.0,29.17,26.13,108.0,283.0
157.0,210.0,30.79,28.62,276.0,240.0
166.0,265.0,33.88,33.52,254.0,167.0
215.0,285.0,35.3,36.44,279.0,194.0
286.0,264.0,37.88,38.11,173.0,220.0
296.0,268.0,40.22,41.82,149.0,245.0
191.0,206.0,44.19,46.17,304.0,188.0
223.0,216.0,48.6,46.97,145.0,205.0
234.0,198.0,50.18,50.7,270.0,296.0
260.0,289.0,51.58,56.93,114.0,212.0
186.0,180.0,55.33,59.65,235.0,241.0
177.0,253.0,58.04,64.18,312.0,96.0
135.0,249.0,63.05,67.88,296.0,147.0
186.0,201.0,63.92,68.71,321.0,228.0
291.0,267.0,68.18,76.51,299.0,185.0
310.0,300.0,72.95,80.73,102.0,270.0
281.0,245.0,78.54,86.52,231.0,224.0
86.0,326.0,82.57,88.51,162.0,234.0
272.0,217.0,87.11,89.63,202.0,147.0
130.0,249.0,90.76,94.12,0.0,0.0
163.0,253.0,92.87,98.73,265.0,93.0
183.0,129.0,94.67,100.8,250.0,208.0
209.0,130.0,97.03,101.89,266.0,134.0
165.0,104.0,100.51,103.32,221.0,55.0
170.0,136.0,103.28,110.45,199.0,108.0
314.0,259.0,109.47,113.49,140.0,133.0
301.0,240.0,115.84,114.93,128.0,230.0
174.0,178.0,122.28,122.8,74.0,312.0
104.0,100.0,124.43,126.66,309.0,114.0
198.0,278.0,128.07,128.58,274.0,92.0
217.0,262.0,135.58,131.06,90.0,294.0
106.0,301.0,140.04,138.33,164.0,209.0
136.0,150.0,141.84,140.47,238.0,236.0
156.0,72.0,147.47,141.46,301.0,204.0
259.0,167.0,153.85,142.37,285.0,243.0
99.0,292.0,160.08,156.02,279.0,141.0
158.0,142.0,161.73,167.26,169.0,206.0
195.0,92.0,167.2,172.53,90.0,281.0
285.0,167.0,171.32,179.7,308.0,109.0
255.0,242.0,181.0,191.05,105.0,259.0
336.0,303.0,188.24,196.78,187.0,245.0
314.0,195.0,195.79,200.24,287.0,164.0
266.0,147.0,201.66,206.19,258.0,153.0
90.0,74.0,207.77,209.28,204.0,176.0
319.0,322.0,213.75,214.17,305.0,74.0
286.0,306.0,216.72,224.37,324.0,81.0
262.0,177.0,230.62,237.13,221.0,283.0
249.0,151.0,234.92,243.81,59.0,314.0
295.0,290.0,244.33,254.12,336.0,112.0
295.0,268.0,245.38,258.84,34.0,364.0
124.0,292.0,247.05,263.74,69.0,349.0
94.0,149.0,248.31,265.72,84.0,331.0
289.0,282.0,257.56,266.38,138.0,249.0
178.0,325.0,260.52,275.86,272.0,102.0
27.0,334.0,267.81,278.87,352.0,85.0
352.0,349.0,273.79,281.23,315.0,128.0
139.0,152.0,274.33,286.18,268.0,137.0
82.0,77.0,275.69,290.4,316.0,139.0
244.0,244.0,284.43,291.59,343.0,130.0
348.0,345.0,295.34,300.18,247.0,131.0
170.0,144.0,296.94,304.75,18.0,375.0
282.0,251.0,304.28,309.15,239.0,176.0
181.0,118.0,307.58,311.56,211.0,187.0
178.0,88.0,309.81,315.92,302.0,152.0
370.0,382.0,317.45,318.23,384.0,23.0
361.0,355.0,327.18,337.19,315.0,181.0
363.0,357.0,337.28,338.27,328.0,148.0
207.0,202.0,343.36,345.38,260.0,186.0
263.0,223.0,350.16,347.56,331.0,107.0
334.0,317.0,361.24,358.8,118.0,198.0
365.0,367.0,380.17,366.51,292.0,96.0
229.0,300.0,391.28,367.79,294.0,160.0
325.0,286.0,400.26,379.05,380.0,43.0
130.0,59.0,405.32,396.16,20.0,371.0
113.0,46.0,409.14,400.98,254.0,257.0
310.0,221.0,422.27,411.94,347.0,182.0
202.0,314.0,425.09,424.13,234.0,300.0
265.0,320.0,427.29,433.87,200.0,291.0
342.0,347.0,430.22,442.47,367.0,74.0
225.0,97.0,441.39,447.68,380.0,37.0
320.0,272.0,443.66,453.2,305.0,301.0
359.0,349.0,446.26,457.52,351.0,100.0
337.0,328.0,453.84,460.43,308.0,119.0
311.0,280.0,463.08,467.75,320.0,150.0
227.0,115.0,474.5,469.85,228.0,164.0
328.0,297.0,480.37,479.83,12.0,384.0
328.0,280.0,484.24,482.93,342.0,178.0
312.0,282.0,499.96,484.82,159.0,196.0
290.0,230.0,508.25,498.45,355.0,205.0
16.0,2.0,509.13,517.78,148.0,104.0
100.0,326.0,521.24,521.14,150.0,115.0
135.0,62.0,557.27,528.02,95.0,62.0
339.0,257.0,561.55,548.66,353.0,67.0
333.0,212.0,571.05,551.67,357.0,43.0
132.0,48.0,575.89,582.07,321.0,129.0
366.0,360.0,581.79,593.23,65.0,200.0
303.0,185.0,591.46,601.89,134.0,201.0
268.0,196.0,594.34,608.19,213.0,310.0
326.0,154.0,622.76,642.92,377.0,46.0
386.0,390.0,667.96,654.28,362.0,158.0
335.0,48.0,687.57,675.4,387.0,8.0
276.0,114.0,713.43,689.48,300.0,79.0
11.0,1.0,714.35,707.57,258.0,368.0
168.0,173.0,722.42,712.33,67.0,85.0
79.0,316.0,726.78,716.82,86.0,127.0
199.0,277.0,730.16,722.48,56.0,249.0
172.0,49.0,730.79,723.61,52.0,280.0
71.0,276.0,732.5,727.26,168.0,248.0
64.0,116.0,733.9,737.6,241.0,293.0
278.0,124.0,737.1,739.18,132.0,167.0
100.0,78.0,738.05,741.11,123.0,103.0
200.0,65.0,747.65,744.79,135.0,173.0
252.0,204.0,750.31,747.05,40.0,308.0
119.0,311.0,757.97,763.17,259.0,274.0
41.0,23.0,760.4,770.19,14.0,376.0
243.0,103.0,779.48,780.61,84.0,232.0
66.0,343.0,785.04,792.8,225.0,330.0
248.0,107.0,796.5,794.31,77.0,226.0
368.0,374.0,798.51,803.74,268.0,287.0
254.0,106.0,801.45,806.14,282.0,290.0
76.0,25.0,809.74,807.89,362.0,52.0
274.0,82.0,813.0,819.1,194.0,275.0
35.0,11.0,824.54,830.01,101.0,285.0
373.0,376.0,839.55,830.15,76.0,310.0
253.0,223.0,843.23,845.24,36.0,355.0
212.0,84.0,847.69,847.0,352.0,27.0
96.0,332.0,851.85,847.44,233.0,172.0
270.0,189.0,861.38,848.19,228.0,125.0
60.0,25.0,865.23,851.36,41.0,318.0
108.0,324.0,868.87,852.65,244.0,317.0
96.0,36.0,874.53,866.98,155.0,255.0
192.0,213.0,881.43,873.18,87.0,241.0
155.0,84.0,883.4,873.83,171.0,297.0
361.0,360.0,897.05,886.93,53.0,312.0
73.0,50.0,897.94,893.05,24.0,362.0
226.0,225.0,905.1,895.6,374.0,21.0
220.0,284.0,909.71,900.99,326.0,350.0
230.0,255.0,911.57,908.4,243.0,266.0
368.0,371.0,921.53,917.36,219.0,151.0
256.0,122.0,922.24,919.98,373.0,8.0
66.0,29.0,926.47,931.93,169.0,200.0
68.0,342.0,935.08,936.57,166.0,238.0
381.0,381.0,941.91,938.52,102.0,177.0
106.0,43.0,948.64,938.64,36.0,332.0
220.0,162.0,950.34,949.73,213.0,257.0
257.0,186.0,959.02,957.9,310.0,127.0
236.0,85.0,969.0,958.48,289.0,90.0
181.0,214.0,971.52,958.75,248.0,86.0
111.0,242.0,976.8,965.05,230.0,299.0
110.0,41.0,980.84,976.16,50.0,285.0
118.0,90.0,983.09,977.71,127.0,214.0
204.0,124.0,987.21,979.58,39.0,303.0
214.0,123.0,987.47,986.27,111.0,233.0
115.0,47.0,990.0,988.56,137.0,179.0
74.0,338.0,994.7,995.31,273.0,210.0
150.0,89.0,1005.11,996.4,226.0,174.0
215.0,193.0,1006.08,997.76,77.0,235.0
24.0,9.0,1007.04,1002.14,183.0,262.0
217.0,251.0,1013.24,1014.35,177.0,221.0
