,0
15.15,205.0
19.15,250.0
23.94,125.0
24.62,235.0
29.68,291.0
31.83,313.0
34.43,278.0
34.78,321.0
37.74,288.0
40.11,218.0
44.24,298.0
46.29,293.0
53.41,202.0
55.67,191.0
58.77,249.0
60.37,263.0
62.55,236.0
70.2,338.0
75.24,169.0
77.11,214.0
79.43,201.0
86.88,275.0
93.67,211.0
99.43,305.0
108.54,146.0
109.77,165.0
115.58,239.0
121.02,206.0
122.71,272.0
124.05,256.0
128.31,245.0
133.16,352.0
138.01,265.0
140.66,139.0
149.95,137.0
153.06,73.0
158.4,151.0
164.89,343.0
167.51,312.0
170.15,316.0
174.04,260.0
180.11,253.0
191.6,295.0
208.3,322.0
212.96,329.0
216.7,94.0
220.34,150.0
225.27,286.0
227.25,212.0
230.45,216.0
242.36,277.0
256.46,201.0
260.83,103.0
261.78,297.0
262.06,301.0
273.84,123.0
279.92,242.0
287.21,176.0
291.84,193.0
299.77,365.0
301.62,160.0
308.78,357.0
309.54,237.0
316.22,289.0
325.24,346.0
329.87,185.0
331.71,155.0
347.54,224.0
352.84,310.0
355.21,348.0
361.2,350.0
363.07,191.0
369.73,192.0
375.95,380.0
385.43,338.0
387.71,334.0
406.25,324.0
415.53,329.0
418.6,259.0
421.51,262.0
433.68,302.0
438.09,300.0
447.65,331.0
455.17,327.0
462.63,333.0
470.33,293.0
475.9,360.0
490.23,278.0
496.92,351.0
514.69,199.0
515.25,133.0
530.15,286.0
532.17,16.0
533.55,257.0
557.4,339.0
566.68,82.0
568.55,304.0
574.36,128.0
587.48,320.0
605.09,360.0
609.91,344.0
649.61,335.0
650.27,366.0
715.93,85.0
719.82,308.0
723.88,28.0
728.92,207.0
729.66,27.0
732.08,118.0
733.59,110.0
740.37,188.0
749.08,51.0
754.5,242.0
757.38,89.0
758.82,135.0
762.92,102.0
765.15,292.0
775.15,210.0
794.51,377.0
796.58,270.0
801.77,44.0
803.78,196.0
808.71,163.0
820.9,208.0
828.07,107.0
830.92,185.0
841.68,225.0
841.98,362.0
842.8,112.0
848.37,197.0
857.11,79.0
868.25,281.0
876.32,141.0
883.88,225.0
884.24,171.0
886.32,364.0
887.87,165.0
894.89,156.0
897.4,104.0
912.27,267.0
913.87,331.0
913.9,363.0
932.28,147.0
934.87,168.0
940.82,369.0
943.17,113.0
945.08,162.0
945.57,87.0
955.66,260.0
964.68,180.0
967.23,148.0
978.95,53.0
979.8,66.0
988.5,63.0
990.14,136.0
991.39,234.0
995.71,158.0
1000.82,166.0
1003.24,195.0
1006.58,178.0
1007.65,323.0
1012.89,230.0
1014.5,31.0
1016.52,80.0
1026.41,272.0
1029.14,248.0
1029.64,171.0
1032.04,123.0
1033.57,222.0
1039.69,252.0
1040.5,116.0
1043.4,227.0
1045.28,160.0
1051.51,236.0
1052.86,379.0
1054.64,47.0
1055.75,214.0
1057.24,373.0
1063.1,179.0
1067.63,316.0
1068.88,138.0
1078.13,346.0
1079.34,266.0
1080.74,216.0
1089.66,102.0
1092.57,189.0
1098.28,162.0
1102.27,132.0
1109.82,311.0
1118.12,314.0
1118.49,311.0
1122.86,175.0
1123.95,384.0
1138.11,219.0
1148.2,94.0
1149.85,244.0
1156.67,142.0
1159.4,92.0
1178.63,120.0
1183.47,115.0
1187.89,183.0
1194.11,370.0
1197.65,80.0
1206.38,355.0
1207.19,325.0
1210.62,137.0
1218.21,353.0
1220.42,245.0
1222.86,186.0
1224.28,200.0
1228.97,349.0
1233.7,18.0
1234.29,61.0
1237.09,378.0
1241.29,246.0
1247.87,114.0
1249.24,373.0
1252.59,158.0
1258.97,62.0
1261.09,174.0
1261.86,228.0
1262.53,222.0
1262.96,130.0
1263.7,182.0
1265.99,173.0
1270.23,321.0
1273.2,21.0
1280.69,154.0
1283.07,23.0
1283.8,115.0
1284.62,209.0
1286.0,44.0
1289.18,256.0
1290.08,129.0
1290.3,66.0
1290.34,76.0
1291.11,375.0
1294.44,90.0
1296.2,252.0
1302.45,20.0
1304.78,154.0
1308.06,240.0
1308.94,228.0
1312.1,145.0
1313.42,11.0
1328.4,87.0
1328.55,285.0
1331.63,4.0
1336.37,101.0
1339.53,374.0
1340.13,98.0
1340.42,51.0
1341.37,295.0
1346.07,304.0
1351.1,59.0
1353.59,38.0
1354.98,92.0
1355.32,109.0
1355.86,239.0
1357.64,68.0
1362.12,248.0
1363.53,72.0
1364.03,299.0
1364.51,368.0
1365.4,81.0
1368.28,337.0
1378.09,355.0
1384.3,33.0
1384.36,14.0
1386.65,382.0
1392.29,284.0
1395.14,397.0
1409.99,317.0
1410.28,383.0
1410.64,30.0
1412.77,72.0
1416.19,145.0
1416.28,126.0
1416.79,175.0
1417.0,280.0
1417.36,370.0
1418.13,121.0
1418.3,118.0
1419.94,106.0
1421.09,189.0
1421.67,25.0
1421.88,120.0
1423.17,33.0
1423.86,289.0
1424.15,389.0
1424.59,261.0
1426.49,96.0
1428.66,25.0
1428.98,70.0
1429.21,70.0
1429.47,388.0
1430.35,68.0
1431.15,84.0
1434.75,397.0
1435.86,49.0
1436.97,220.0
1437.42,133.0
1437.89,13.0
1439.74,111.0
1440.12,20.0
1442.44,84.0
1443.01,353.0
1443.48,168.0
1447.3,392.0
1447.86,98.0
1448.6,255.0
1451.25,385.0
1456.68,393.0
1473.88,395.0
1664.26,91.0
1667.13,0.0
1742.45,335.0
1760.77,307.0
2862.7,372.0
2882.68,358.0
2898.54,40.0
2900.2,283.0
2901.16,55.0
2901.2,40.0
2901.69,194.0
2903.52,99.0
2904.1,107.0
2906.0,206.0
2906.31,14.0
2907.82,35.0
2909.89,9.0
2910.2,36.0
2910.36,366.0
2911.61,142.0
2912.51,220.0
2912.75,48.0
2914.52,63.0
2915.35,282.0
2915.7,46.0
2917.48,31.0
2918.13,57.0
2918.78,9.0
2921.42,153.0
2922.38,55.0
2923.03,309.0
2924.36,17.0
2924.73,27.0
2924.94,7.0
2926.81,41.0
2927.47,391.0
2935.73,182.0
2936.42,275.0
2937.3,39.0
2940.12,231.0
2941.52,52.0
2941.59,377.0
2942.65,36.0
2944.49,16.0
2945.53,264.0
2946.43,268.0
2946.8,274.0
2947.03,230.0
2948.41,10.0
2949.64,23.0
2950.11,42.0
2952.82,143.0
2954.03,327.0
2955.25,357.0
2963.29,151.0
2963.82,398.0
2963.91,58.0
2964.3,58.0
2965.41,76.0
2966.23,318.0
2968.11,177.0
2971.06,392.0
2972.63,204.0
2974.27,5.0
2981.67,2.0
2984.19,232.0
2991.28,343.0
2993.52,65.0
2994.26,128.0
2996.11,270.0
2998.21,46.0
3000.71,299.0
3002.34,96.0
3002.66,125.0
3003.49,3.0
3008.8,341.0
3011.58,7.0
3012.92,77.0
3016.38,340.0
3028.62,1.0
3032.93,394.0
3034.12,74.0
3037.86,387.0
3042.93,388.0
3060.58,400.0
3064.59,399.0
3066.05,402.0
3086.1,382.0
