,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,324.0,142.0,1260.83,326.0,132.0,1259.88
2,276.0,240.0,28.62,271.0,229.0,26.32
3,98.0,99.0,1440.53,94.0,108.0,1432.95
4,251.0,83.0,2906.95,241.0,90.0,2910.35
5,331.0,193.0,1364.23,330.0,182.0,1357.17
6,194.0,275.0,819.1,192.0,288.0,822.89
7,268.0,137.0,286.18,282.0,136.0,291.0
8,356.0,353.0,2953.28,368.0,350.0,2944.9
9,224.0,296.0,1042.73,217.0,282.0,1036.28
10,287.0,164.0,200.24,297.0,179.0,197.48
11,329.0,324.0,2960.67,346.0,319.0,2952.47
12,243.0,266.0,908.4,245.0,253.0,923.04
13,183.0,262.0,1002.14,200.0,252.0,999.83
14,147.0,158.0,1287.32,139.0,168.0,1271.71
15,145.0,205.0,46.97,143.0,225.0,48.97
16,208.0,19.0,2935.3,202.0,8.0,2919.25
17,273.0,210.0,995.31,267.0,210.0,975.64
18,270.0,296.0,50.7,267.0,292.0,30.67
19,51.0,378.0,1427.93,42.0,397.0,1428.91
20,140.0,133.0,113.49,124.0,119.0,112.17
21,188.0,215.0,1279.95,205.0,221.0,1268.4
22,131.0,190.0,1426.28,117.0,203.0,1414.69
23,287.0,40.0,2920.06,270.0,33.0,2907.14
24,6.0,394.0,2993.84,28.0,401.0,2994.19
25,43.0,26.0,1672.3,50.0,6.0,1662.48
26,238.0,236.0,140.47,224.0,238.0,121.45
27,253.0,29.0,1436.0,234.0,24.0,1449.52
28,231.0,224.0,86.52,243.0,212.0,69.62
29,140.0,112.0,2952.87,132.0,128.0,2968.87
30,121.0,217.0,2916.18,122.0,241.0,2918.86
31,341.0,122.0,1426.91,335.0,145.0,1420.94
32,234.0,157.0,1426.83,227.0,139.0,1411.45
33,120.0,120.0,2910.65,101.0,134.0,2918.83
34,234.0,300.0,424.13,221.0,314.0,440.29
35,181.0,31.0,1440.71,161.0,16.0,1443.84
36,244.0,317.0,852.65,219.0,316.0,859.56
37,339.0,339.0,1273.36,359.0,328.0,1287.99
38,68.0,239.0,1384.39,64.0,250.0,1359.64
39,114.0,212.0,56.93,120.0,192.0,39.2
40,305.0,301.0,453.2,333.0,302.0,457.42
41,321.0,228.0,68.71,321.0,233.0,97.1
42,259.0,274.0,763.17,236.0,260.0,773.71
43,217.0,91.0,2924.2,198.0,110.0,2913.09
44,340.0,304.0,1373.76,334.0,281.0,1356.76
45,202.0,147.0,89.63,198.0,121.0,76.18
46,129.0,327.0,1334.94,134.0,352.0,1349.97
47,115.0,121.0,1414.27,87.0,127.0,1422.2
48,58.0,44.0,1390.65,58.0,15.0,1383.69
49,347.0,182.0,411.94,322.0,198.0,415.55
50,336.0,49.0,1713.12,348.0,49.0,1740.58
51,193.0,124.0,1068.94,215.0,103.0,1069.41
52,266.0,321.0,1104.38,268.0,290.0,1106.38
53,177.0,73.0,1280.28,169.0,43.0,1276.71
54,216.0,323.0,1014.98,205.0,306.0,990.98
55,34.0,368.0,1443.85,46.0,397.0,1442.82
56,314.0,304.0,1246.99,332.0,279.0,1253.87
57,211.0,187.0,311.56,228.0,204.0,332.18
58,221.0,283.0,237.13,209.0,273.0,264.77
59,257.0,307.0,1362.71,231.0,294.0,1349.42
60,371.0,67.0,2940.76,399.0,75.0,2927.4
61,166.0,33.0,2972.76,145.0,8.0,2977.6
62,171.0,297.0,873.83,180.0,327.0,862.15
63,64.0,58.0,2984.8,77.0,32.0,2967.93
64,172.0,51.0,2926.27,163.0,22.0,2911.52
65,388.0,66.0,2967.76,388.0,96.0,2983.3
66,316.0,139.0,290.4,291.0,160.0,281.61
67,226.0,174.0,996.4,207.0,152.0,978.95
68,177.0,221.0,1014.35,183.0,188.0,1021.88
69,180.0,71.0,1433.09,188.0,103.0,1422.81
70,326.0,350.0,900.99,354.0,341.0,919.36
71,13.0,390.0,2941.29,40.0,399.0,2921.43
72,264.0,281.0,1050.79,233.0,275.0,1065.43
73,57.0,39.0,2907.9,35.0,15.0,2920.58
