8WN,8CNTZ
2972.44,80.0
2972.76,166.0
2973.79,106.0
2975.78,184.0
2978.26,110.0
2982.82,178.0
2983.66,32.0
2984.8,64.0
2988.42,340.0
2990.5,218.0
2990.79,164.0
2993.84,6.0
2998.37,0.0
3001.5,345.0
3005.73,43.0
3008.38,383.0
3010.99,270.0
3012.92,62.0
3015.96,294.0
3027.29,45.0
3028.29,359.0
3030.1,381.0
3032.29,397.0
3033.65,364.0
3039.48,45.0
3044.81,394.0
3066.18,398.0
3067.56,400.0
3072.25,400.0
3078.31,389.0
