,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,30.0,46.0,1273.48,29.0,323.0,1273.98
2,243.0,26.0,1229.39,244.0,306.0,1230.23
3,78.0,299.0,1419.62,79.0,251.0,1420.75
4,195.0,89.0,1417.92,197.0,210.0,1417.63
5,19.0,47.0,1335.98,17.0,379.0,1335.68
6,301.0,286.0,75.56,299.0,185.0,76.51
7,288.0,100.0,1436.71,286.0,181.0,1437.74
8,143.0,132.0,1423.08,145.0,146.0,1424.27
9,383.0,367.0,1410.12,385.0,37.0,1411.36
10,367.0,338.0,1053.83,368.0,46.0,1051.66
11,188.0,205.0,1065.29,186.0,278.0,1063.86
12,2.0,3.0,2899.86,4.0,395.0,2901.36
13,63.0,69.0,1297.42,63.0,291.0,1294.86
14,0.0,323.0,3001.26,0.0,397.0,2998.37
15,247.0,249.0,100.7,250.0,208.0,100.8
16,143.0,319.0,113.72,140.0,133.0,113.49
17,184.0,93.0,1004.98,183.0,262.0,1002.14
18,193.0,251.0,2954.19,196.0,56.0,2953.71
19,271.0,192.0,53.6,270.0,296.0,50.7
20,12.0,193.0,2954.66,10.0,387.0,2952.32
21,54.0,381.0,1429.06,51.0,378.0,1427.93
22,368.0,238.0,2942.57,371.0,67.0,2940.76
23,344.0,215.0,2998.1,345.0,393.0,3001.5
24,77.0,122.0,124.94,74.0,312.0,122.8
25,256.0,260.0,1358.92,257.0,307.0,1362.71
26,388.0,398.0,1394.53,392.0,15.0,1394.35
27,160.0,311.0,1259.3,156.0,198.0,1259.06
28,9.0,36.0,2911.3,6.0,385.0,2908.38
29,29.0,75.0,1413.02,25.0,365.0,1414.67
30,382.0,350.0,375.16,380.0,43.0,379.05
31,111.0,140.0,60.15,114.0,212.0,56.93
32,123.0,77.0,2907.17,120.0,120.0,2910.65
33,275.0,120.0,153.75,279.0,141.0,156.02
34,85.0,161.0,1411.14,81.0,220.0,1413.48
35,25.0,32.0,2907.41,21.0,344.0,2904.87
36,351.0,322.0,842.22,352.0,27.0,847.0
37,345.0,274.0,1051.54,348.0,53.0,1055.42
38,288.0,141.0,963.3,289.0,90.0,958.48
