,0
6.24,0.000127
6.55,4.1e-05
8.37,3.5e-05
10.91,8e-05
12.92,0.000138
14.95,0.000323
20.57,0.000225
23.35,0.000116
24.81,8.9e-05
29.16,0.000616
31.97,0.000202
33.23,0.000201
35.07,1.9e-05
39.68,9.4e-05
42.95,0.000105
44.25,5.8e-05
46.01,0.000389
51.98,1e-05
54.59,8.2e-05
55.23,4.4e-05
58.99,4.1e-05
63.56,1.5e-05
73.02,1.9e-05
78.98,0.000142
81.01,0.000591
84.06,0.000529
91.85,0.00011
94.82,0.000473
100.19,7.5e-05
104.34,5.5e-05
107.44,0.000323
110.7,0.000143
113.49,0.000287
117.38,6e-06
118.18,0.000124
123.67,6.8e-05
126.48,3.9e-05
129.58,0.001073
132.8,0.000463
135.75,6e-05
138.96,0.00079
142.83,8.4e-05
149.71,5e-06
157.36,3e-05
163.32,0.000859
168.34,4.6e-05
172.35,0.000143
176.81,0.001004
182.36,0.001162
185.83,0.000578
188.57,0.000261
200.01,0.000417
207.45,6.7e-05
220.93,6.9e-05
226.08,0.000685
233.15,0.000602
239.3,0.001041
250.12,0.000313
253.47,3.8e-05
257.55,1.2e-05
260.9,0.000413
264.95,3e-06
268.01,2.7e-05
276.89,0.000305
286.22,0.000539
295.24,7e-05
304.3,0.000124
308.28,0.000172
310.98,0.000189
316.72,0.000407
332.59,0.000196
333.82,0.000375
338.25,0.000221
347.96,0.000386
352.03,0.001692
356.31,0.00052
356.85,0.000795
366.51,0.004334
373.99,0.000252
387.07,0.000542
392.65,0.00038
398.27,0.000964
402.31,6.7e-05
406.02,0.000104
413.75,0.000399
416.17,0.000475
428.36,0.0002
432.7,0.004652
446.03,0.001551
455.92,0.002072
459.59,0.00135
466.68,9.4e-05
475.67,0.000346
485.01,0.007882
491.79,0.003403
500.19,0.000288
507.08,0.000157
524.5,0.000471
552.83,0.007633
557.0,0.000734
557.97,0.025228
566.52,0.000967
567.66,0.00094
570.37,0.003711
581.71,0.001895
601.06,0.016281
611.34,0.003578
651.61,0.000973
656.26,0.000616
699.89,0.001032
723.46,0.001039
726.75,0.000466
727.44,0.001114
727.96,0.000731
733.75,0.000448
735.97,0.000304
741.05,0.005134
745.52,0.000434
746.96,0.004475
753.7,0.000637
754.56,0.002874
761.54,0.000317
765.82,0.063646
783.77,0.001229
783.81,0.000785
795.0,0.004531
796.46,0.001161
804.28,0.000444
812.26,0.00336
826.48,0.003092
834.69,0.002232
841.88,0.000877
843.6,0.000497
844.39,0.000407
853.4,0.001613
861.67,0.000809
864.03,0.000481
867.31,4.9e-05
872.28,0.000676
881.46,0.000363
884.73,0.005394
889.66,0.000125
892.51,0.000768
899.67,0.001146
906.78,0.001199
912.64,0.000791
914.03,0.010569
917.32,0.001116
932.18,0.000124
936.76,0.000239
941.09,0.004847
945.42,0.001928
946.31,0.013892
957.79,0.004167
960.32,0.006016
972.82,0.000484
981.63,0.000287
982.55,0.000243
986.71,0.001034
987.78,0.000177
994.6,0.000345
997.58,0.000976
998.02,0.001034
1001.64,0.014246
1002.07,0.01024
1006.78,0.001087
1013.28,0.000985
1015.97,0.000176
1018.4,0.003669
1019.07,0.07439
1021.7,0.000637
1024.12,0.00781
1029.93,0.000136
1031.02,0.003156
1035.6,0.002376
1039.56,0.009954
1040.35,0.001002
1042.49,0.009021
1045.57,0.004743
1048.79,0.000158
1049.43,0.000169
1051.2,0.000782
1052.28,0.000285
1056.24,0.001303
1058.71,0.000592
1065.26,0.000133
1067.13,0.016677
1077.68,0.020113
1078.6,0.012513
1081.97,0.003239
1097.07,0.003542
1098.84,0.003266
1100.42,0.005509
1103.02,0.009427
1106.11,0.000995
1115.19,0.006129
1118.35,0.006032
1123.74,0.000246
1123.9,0.00048
1136.21,0.011075
1145.47,0.034632
1151.24,0.001437
1153.46,0.000208
1174.41,4.9e-05
1189.73,0.006171
1190.99,0.000666
1193.8,0.00658
1194.89,0.001912
1196.41,0.000546
1205.84,0.013115
1206.84,0.006113
1214.72,0.038445
1220.29,0.000708
1221.05,0.002216
1224.07,0.001037
1225.67,0.000227
1228.6,0.004132
1232.88,0.001727
1234.37,0.002433
1237.09,0.00029
1241.15,0.002395
1247.87,0.000279
1248.9,0.000567
1250.96,0.000999
1254.33,0.000596
1256.22,0.000273
1258.42,0.000899
1262.89,0.000535
1264.12,0.001317
1265.35,0.000974
1268.1,0.00094
1270.43,0.000351
1271.77,7.7e-05
1282.79,0.000107
1283.25,0.000244
1285.08,8.6e-05
1285.93,9.2e-05
1286.57,0.000113
1286.93,0.000372
1286.96,0.001028
1289.32,0.000347
1289.36,0.00253
1289.54,6.2e-05
1293.61,1.5e-05
1297.35,0.000404
1298.13,0.000172
1303.99,0.001144
1305.76,1.2e-05
1307.68,0.000848
1315.95,0.000158
1317.19,0.005956
1317.96,0.000265
1327.23,0.001191
1329.2,4e-05
1334.79,0.004201
1338.06,0.00014
1339.33,0.003584
1340.09,0.000977
1346.35,0.00026
1347.15,0.002957
1351.86,0.001368
1354.24,8.5e-05
1355.04,0.000305
1357.16,0.001903
1357.37,0.000502
1358.38,0.001121
1362.66,0.00014
1362.83,0.000295
1363.71,0.000342
1365.42,0.008872
1366.99,0.000308
1368.43,0.000572
1379.83,0.000899
1382.01,0.001276
1387.83,0.000604
1389.46,0.00069
1394.16,0.000359
1396.65,0.002187
1407.79,0.001637
1409.87,0.000689
1411.22,0.00123
1413.78,0.000398
1414.29,0.000123
1414.67,0.000391
1416.9,0.001221
1417.19,0.000196
1417.71,0.000652
1418.28,0.000117
1418.76,0.000355
1419.74,5.8e-05
1420.35,0.000109
1421.46,0.000145
1421.91,0.000411
1422.19,0.000135
1423.33,0.000372
1424.34,9.4e-05
1424.79,0.000594
1425.67,2.9e-05
