5CNTZ,5CNTR,5WN,10WN,10CNTZ,10CNTR
225.0,206.0,24.82,20.85,254.0,218.0
265.0,232.0,26.8,24.14,260.0,161.0
165.0,225.0,33.26,28.36,166.0,236.0
200.0,186.0,35.73,30.75,219.0,192.0
95.0,347.0,41.34,31.84,208.0,224.0
283.0,159.0,41.96,34.15,205.0,226.0
237.0,204.0,45.99,37.08,258.0,154.0
207.0,116.0,47.52,40.38,227.0,236.0
185.0,214.0,48.89,42.78,95.0,279.0
123.0,272.0,52.51,42.84,126.0,247.0
208.0,147.0,54.31,46.62,319.0,102.0
130.0,121.0,57.79,49.9,247.0,194.0
211.0,208.0,61.05,55.14,354.0,56.0
249.0,145.0,61.58,56.53,132.0,192.0
250.0,217.0,65.5,57.89,147.0,250.0
155.0,167.0,67.77,62.48,264.0,197.0
258.0,112.0,71.98,69.66,289.0,149.0
269.0,199.0,79.25,74.11,144.0,202.0
219.0,282.0,82.23,76.63,328.0,118.0
84.0,306.0,84.4,80.87,185.0,203.0
94.0,264.0,87.62,83.71,192.0,245.0
259.0,134.0,91.03,84.72,267.0,142.0
152.0,120.0,92.21,85.85,119.0,231.0
112.0,190.0,93.78,97.05,160.0,383.0
237.0,177.0,101.33,103.08,167.0,340.0
59.0,263.0,108.69,104.63,96.0,336.0
243.0,190.0,109.85,108.47,269.0,113.0
251.0,150.0,112.17,116.12,276.0,168.0
159.0,93.0,118.3,119.68,275.0,176.0
242.0,276.0,121.84,123.31,144.0,269.0
169.0,186.0,123.78,130.85,271.0,250.0
322.0,131.0,130.9,132.36,217.0,121.0
147.0,326.0,134.43,137.76,257.0,130.0
37.0,372.0,138.35,139.57,139.0,220.0
240.0,165.0,149.12,145.73,280.0,114.0
238.0,231.0,156.04,156.82,242.0,98.0
295.0,121.0,157.95,163.76,188.0,241.0
302.0,153.0,167.15,165.21,183.0,160.0
199.0,331.0,169.66,170.2,307.0,84.0
275.0,210.0,169.81,177.98,72.0,280.0
94.0,42.0,179.66,183.9,288.0,102.0
309.0,128.0,184.26,186.88,330.0,67.0
269.0,174.0,189.48,194.45,309.0,100.0
18.0,371.0,193.14,207.92,210.0,104.0
202.0,286.0,199.41,213.47,124.0,334.0
73.0,43.0,208.28,216.06,278.0,127.0
334.0,117.0,214.72,223.17,325.0,84.0
280.0,172.0,227.64,232.84,151.0,301.0
245.0,47.0,230.04,242.07,255.0,78.0
235.0,290.0,237.0,247.12,238.0,255.0
294.0,131.0,246.95,247.51,143.0,370.0
266.0,169.0,253.2,251.08,196.0,204.0
242.0,246.0,254.3,261.95,39.0,289.0
232.0,33.0,261.88,269.51,129.0,296.0
26.0,390.0,270.94,270.94,153.0,324.0
52.0,201.0,274.35,272.55,5.0,383.0
63.0,199.0,275.51,279.23,152.0,314.0
166.0,65.0,278.66,280.17,373.0,22.0
323.0,239.0,280.93,285.16,266.0,154.0
337.0,315.0,288.52,293.5,364.0,44.0
231.0,267.0,292.54,298.07,251.0,135.0
317.0,176.0,299.71,302.6,205.0,180.0
191.0,250.0,300.91,317.67,162.0,177.0
134.0,274.0,305.35,323.52,306.0,146.0
174.0,193.0,321.72,328.18,358.0,62.0
230.0,44.0,326.89,333.21,278.0,205.0
156.0,195.0,335.97,340.2,302.0,183.0
213.0,142.0,337.95,342.13,190.0,196.0
298.0,125.0,342.36,351.45,258.0,183.0
264.0,133.0,348.05,352.0,245.0,144.0
191.0,238.0,350.17,357.71,299.0,166.0
160.0,170.0,352.27,363.59,348.0,91.0
347.0,226.0,355.02,366.71,141.0,159.0
357.0,274.0,362.5,371.64,356.0,75.0
272.0,242.0,380.37,383.92,369.0,33.0
360.0,171.0,382.56,384.98,162.0,291.0
345.0,108.0,405.35,407.28,336.0,63.0
255.0,45.0,412.97,411.71,328.0,67.0
361.0,101.0,418.76,425.39,249.0,239.0
313.0,252.0,443.14,430.3,147.0,189.0
328.0,251.0,446.83,434.51,212.0,227.0
247.0,141.0,453.58,435.64,284.0,152.0
29.0,390.0,455.8,446.37,339.0,82.0
312.0,159.0,457.47,449.96,369.0,47.0
181.0,162.0,462.07,458.97,368.0,45.0
342.0,123.0,466.2,460.69,372.0,30.0
