,0,0
15.15,252.0,4.426114493337657
19.15,298.0,4.7233158346712525
23.94,338.0,5.000887617522323
24.62,265.0,4.511220376693705
29.68,168.0,4.036476806016262
31.83,151.0,3.8657758761470804
34.43,245.0,4.383828934618496
34.78,128.0,3.7312237751247994
37.74,161.0,3.950024857313579
40.11,211.0,4.261376351480342
44.24,103.0,3.4759555848627524
46.29,130.0,3.7407754171863465
53.41,192.0,4.17986658408266
55.67,312.0,4.810116427352807
58.77,257.0,4.467442783632591
60.37,152.0,3.8670183336017927
62.55,191.0,4.17739362482715
70.2,88.0,3.2527122066415552
75.24,373.0,5.689075639829633
77.11,264.0,4.509361042537372
79.43,198.0,4.185177270877896
86.88,173.0,4.056372317290799
93.67,189.0,4.161663377399418
99.43,98.0,3.386799364036075
108.54,363.0,5.48486454519397
109.77,285.0,4.669151773977753
115.58,109.0,3.552815075423013
121.02,318.0,4.84588747258558
122.71,165.0,3.976014970793921
124.05,167.0,4.0227627055585256
128.31,212.0,4.272289331536021
133.16,65.0,2.9978414857205093
138.01,211.0,4.266535097655003
140.66,340.0,5.031365967700622
149.95,382.0,6.062893292277075
153.06,266.0,4.520052850537314
158.4,230.0,4.340931494955235
164.89,96.0,3.3756849263720867
167.51,120.0,3.6693197421751753
170.15,99.0,3.410573562931405
174.04,161.0,3.9498108461245907
180.11,130.0,3.7423043754861034
191.6,134.0,3.7579427735350994
208.3,67.0,3.009596636510839
212.96,69.0,3.0588937618062775
216.7,366.0,5.5622511716744825
220.34,344.0,5.04226618833976
225.27,93.0,3.344066235621574
227.25,233.0,4.357280852958729
230.45,208.0,4.250754225720399
242.36,105.0,3.519509427723065
256.46,242.0,4.379343528160556
260.83,399.0,7.952010276625763
261.78,150.0,3.8585733076419895
262.06,158.0,3.9174665121272336
273.84,220.0,4.299257477486296
279.92,157.0,3.9036228024531123
287.21,186.0,4.138299340356113
291.84,237.0,4.368525799602477
299.77,86.0,3.238126852728327
301.62,362.0,5.464463821849924
308.78,75.0,3.1092016832309124
309.54,136.0,3.768078574706129
316.22,114.0,3.619424677268341
325.24,90.0,3.268569419049911
329.87,234.0,4.36454151261503
331.71,189.0,4.161031027559037
347.54,312.0,4.80477930311905
352.84,99.0,3.414498788078031
355.21,64.0,2.99581755319886
361.2,67.0,3.037372005264826
363.07,197.0,4.184356357647824
369.73,323.0,4.854577591974391
375.95,20.0,2.3675719768863304
385.43,68.0,3.0481281196939625
387.71,77.0,3.119806140257854
406.25,95.0,3.3497127217835434
415.53,112.0,3.6055209889137734
418.6,227.0,4.330492190268627
421.51,230.0,4.341537482828725
433.68,160.0,3.940304885361889
438.09,175.0,4.059622103193043
447.65,87.0,3.24599198271492
455.17,79.0,3.158772534627513
462.63,77.0,3.1155421649770867
470.33,133.0,3.7548970789055
475.9,66.0,2.999713677091034
490.23,102.0,3.4688055280408348
496.92,42.0,2.6873310050633226
514.69,166.0,4.010265151306368
515.25,276.0,4.5972475924652265
530.15,91.0,3.3012272750560308
532.17,343.0,5.042166487049377
533.55,109.0,3.534886542763264
557.4,35.0,2.6067834564937824
566.68,116.0,3.646257704599441
568.55,56.0,2.843337581916164
574.36,121.0,3.683501572933533
587.48,47.0,2.775606322406997
605.09,28.0,2.493448202171044
609.91,25.0,2.478571564992446
649.61,15.0,2.230003451976947
650.27,31.0,2.503635371045155
715.93,262.0,4.498373696614872
719.82,163.0,3.9592216331572896
723.88,359.0,5.281470884744772
728.92,303.0,4.754139909424836
729.66,244.0,4.380545395907373
732.08,381.0,6.032628676246336
733.59,185.0,4.138157297703185
740.37,200.0,4.1930482226092085
749.08,315.0,4.821751585012873
754.5,139.0,3.786808475804955
757.38,289.0,4.674225756777526
758.82,292.0,4.685520789803513
762.92,360.0,5.427799103056486
765.15,118.0,3.6612340451172423
775.15,107.0,3.531227708456444
794.51,34.0,2.5746197980046195
796.58,104.0,3.508633337598619
801.77,301.0,4.74335079885886
803.78,216.0,4.276641829740242
808.71,323.0,4.863014438169953
820.9,136.0,3.7682759783609514
828.07,228.0,4.33329279830898
830.92,327.0,4.916454461280508
841.68,256.0,4.463234330997135
841.98,97.0,3.3788966191653036
842.8,290.0,4.674715145044965
848.37,88.0,3.2519192839953943
857.11,378.0,5.956928969836674
868.25,176.0,4.061603410574188
876.32,241.0,4.372473491923309
883.88,308.0,4.789868068362833
884.24,368.0,5.591604757601574
886.32,80.0,3.17341716455155
887.87,204.0,4.233045671499347
894.89,178.0,4.077610213960201
897.4,279.0,4.616014819376714
912.27,193.0,4.180002613299382
913.87,63.0,2.9870609688146232
913.9,38.0,2.6646090450033717
932.28,215.0,4.276454724849045
934.87,258.0,4.469862714708823
940.82,59.0,2.9088465997077435
943.17,368.0,5.566163822962298
945.08,205.0,4.242490544806316
945.57,319.0,4.846566222496646
955.66,217.0,4.278164966302752
964.68,275.0,4.5894495697461135
967.23,153.0,3.8804325572703764
978.95,172.0,4.055973864982034
979.8,144.0,3.815274101947941
988.5,249.0,4.390592545292693
990.14,346.0,5.049259878626053
991.39,272.0,4.5718519008106
995.71,148.0,3.851888057112808
1000.82,355.0,5.212545155673106
1003.24,335.0,4.969931595887327
1006.58,154.0,3.8908610243788506
1007.65,78.0,3.1308727151495437
1012.89,248.0,4.388289070017821
1014.5,334.0,4.965171256187881
1016.52,247.0,4.385137845344369
1026.41,201.0,4.204053224048005
1029.14,217.0,4.282430772725181
1029.64,370.0,5.60786308460343
1032.04,243.0,4.380040019458953
1033.57,237.0,4.367393991014247
1039.69,126.0,3.695093523638232
1040.5,225.0,4.326428583745778
1043.4,260.0,4.476905676697298
1045.28,156.0,3.898106811289277
1051.51,84.0,3.2079451080519408
1052.86,37.0,2.625545293084969
1054.64,340.0,5.029599441409108
1055.75,263.0,4.501541424967592
1057.24,49.0,2.783610809085038
1063.1,298.0,4.735687390542141
1067.63,61.0,2.955787115610263
1068.88,180.0,4.120064725646043
