2WN,2CNTZ,2CNTR,9WN,9CNTZ,9CNTR
15.15,205.0,252.0,17.16,185.0,272.0
19.15,250.0,298.0,20.23,212.0,249.0
23.94,125.0,338.0,23.07,260.0,223.0
24.62,235.0,265.0,26.32,271.0,229.0
29.68,291.0,168.0,30.23,174.0,302.0
31.83,313.0,151.0,30.67,267.0,292.0
34.43,278.0,245.0,35.06,91.0,236.0
34.78,321.0,128.0,36.82,301.0,266.0
37.74,288.0,161.0,39.2,120.0,192.0
40.11,218.0,211.0,42.26,211.0,320.0
44.24,298.0,103.0,45.87,298.0,263.0
46.29,293.0,130.0,48.4,169.0,293.0
53.41,202.0,192.0,48.97,143.0,225.0
55.67,191.0,312.0,51.06,97.0,188.0
58.77,249.0,257.0,55.06,279.0,238.0
60.37,263.0,152.0,61.22,239.0,202.0
62.55,236.0,191.0,69.45,210.0,206.0
70.2,338.0,88.0,69.62,243.0,212.0
75.24,169.0,373.0,74.42,284.0,235.0
77.11,214.0,264.0,76.18,198.0,121.0
79.43,201.0,198.0,81.36,140.0,177.0
86.88,275.0,173.0,85.49,266.0,245.0
93.67,211.0,189.0,91.05,132.0,344.0
99.43,305.0,98.0,97.1,321.0,233.0
108.54,146.0,363.0,100.14,130.0,97.0
109.77,165.0,285.0,105.62,202.0,271.0
115.58,239.0,109.0,107.91,165.0,266.0
121.02,206.0,318.0,108.5,52.0,165.0
122.71,272.0,165.0,112.17,124.0,119.0
124.05,256.0,167.0,119.01,182.0,309.0
128.31,245.0,212.0,121.45,224.0,238.0
133.16,352.0,65.0,128.08,243.0,175.0
138.01,265.0,211.0,135.5,102.0,156.0
140.66,139.0,340.0,138.2,219.0,220.0
149.95,137.0,382.0,143.43,157.0,250.0
153.06,73.0,266.0,145.25,79.0,144.0
158.4,151.0,230.0,156.61,197.0,172.0
164.89,343.0,96.0,158.51,143.0,126.0
167.51,312.0,120.0,162.91,226.0,81.0
170.15,316.0,99.0,169.63,314.0,185.0
174.04,260.0,161.0,171.74,238.0,70.0
180.11,253.0,130.0,189.91,347.0,293.0
191.6,295.0,134.0,193.27,75.0,57.0
208.3,322.0,67.0,197.48,297.0,179.0
212.96,329.0,69.0,199.16,42.0,130.0
216.7,94.0,366.0,213.96,312.0,163.0
220.34,150.0,344.0,230.75,308.0,207.0
225.27,286.0,93.0,239.99,170.0,336.0
227.25,212.0,233.0,246.59,289.0,257.0
230.45,216.0,208.0,248.19,324.0,306.0
242.36,277.0,105.0,254.17,154.0,201.0
256.46,201.0,242.0,257.65,187.0,217.0
260.83,103.0,399.0,259.03,103.0,360.0
261.78,297.0,150.0,262.98,272.0,225.0
262.06,301.0,158.0,264.77,209.0,273.0
273.84,123.0,220.0,268.67,195.0,164.0
279.92,242.0,157.0,272.23,81.0,384.0
287.21,176.0,186.0,273.36,18.0,141.0
291.84,193.0,237.0,275.52,74.0,130.0
299.77,365.0,86.0,280.66,364.0,338.0
301.62,160.0,362.0,281.61,291.0,160.0
308.78,357.0,75.0,291.0,282.0,136.0
309.54,237.0,136.0,297.75,117.0,382.0
316.22,289.0,114.0,299.44,340.0,324.0
325.24,346.0,90.0,313.81,54.0,154.0
329.87,185.0,234.0,318.29,359.0,340.0
331.71,155.0,189.0,325.91,191.0,234.0
347.54,224.0,312.0,332.18,228.0,204.0
352.84,310.0,99.0,336.88,293.0,275.0
355.21,348.0,64.0,343.74,315.0,260.0
361.2,350.0,67.0,352.83,292.0,282.0
363.07,191.0,197.0,357.89,317.0,257.0
369.73,192.0,323.0,361.52,111.0,90.0
375.95,380.0,20.0,373.05,328.0,279.0
385.43,338.0,68.0,380.9,361.0,332.0
387.71,334.0,77.0,400.56,257.0,304.0
406.25,324.0,95.0,415.55,322.0,198.0
415.53,329.0,112.0,419.46,314.0,112.0
418.6,259.0,227.0,427.67,328.0,262.0
421.51,262.0,230.0,434.25,286.0,197.0
433.68,302.0,160.0,440.29,221.0,314.0
438.09,300.0,175.0,442.1,309.0,185.0
447.65,331.0,87.0,446.67,356.0,324.0
455.17,327.0,79.0,451.92,281.0,180.0
462.63,333.0,77.0,456.24,41.0,228.0
