,0
6.21,0.000168
8.91,6e-06
11.34,1.8e-05
13.67,0.000168
15.76,5e-06
20.69,0.000203
23.75,7e-06
24.4,0.000119
26.13,0.000114
28.62,0.000373
33.52,0.000533
36.44,0.000434
38.11,0.000172
41.82,9.9e-05
46.17,0.000979
46.97,1.8e-05
50.7,0.000295
56.93,2.9e-05
59.65,2e-06
64.18,9.9e-05
67.88,9e-05
68.71,2e-05
76.51,6.9e-05
80.73,3.3e-05
86.52,6.7e-05
88.51,0.000314
89.63,1.8e-05
94.12,0.0
98.73,0.000387
100.8,7e-05
101.89,0.000328
103.32,0.00049
110.45,5.8e-05
113.49,0.000266
114.93,0.00016
122.8,0.000186
126.66,0.000848
128.58,0.000535
131.06,0.000175
138.33,0.000935
140.47,0.001414
141.46,0.001211
142.37,0.000176
156.02,0.000602
167.26,3.2e-05
172.53,0.000101
179.7,0.000674
191.05,0.000199
196.78,4e-05
200.24,0.000414
206.19,2.9e-05
209.28,5.2e-05
214.17,0.000699
224.37,0.001176
237.13,0.000165
243.81,1.9e-05
254.12,0.000557
258.84,4.9e-05
263.74,0.000314
265.72,0.000502
266.38,9.2e-05
275.86,4.6e-05
278.87,5.6e-05
281.23,0.00013
286.18,0.00041
290.4,0.000463
291.59,0.0002
300.18,0.000118
304.75,1.2e-05
309.15,0.000452
311.56,0.000561
315.92,0.000622
318.23,4e-06
337.19,0.000924
338.27,0.001307
345.38,0.000423
347.56,0.000358
358.8,5.7e-05
366.51,0.001403
367.79,0.000503
379.05,0.00075
396.16,1.2e-05
400.98,0.000472
411.94,0.003623
424.13,0.000431
433.87,0.000626
442.47,0.002027
447.68,0.000298
453.2,2.1e-05
457.52,3.1e-05
460.43,0.001125
467.75,0.003234
469.85,0.000405
479.83,1.1e-05
482.93,0.00636
484.82,0.000174
498.45,0.000387
517.78,0.000249
521.14,5.4e-05
528.02,0.000304
548.66,0.000873
551.67,0.004895
582.07,0.005848
593.23,0.000391
601.89,0.000633
608.19,0.000927
642.92,0.015915
654.28,0.050638
675.4,0.01043
689.48,0.00098
707.57,0.001366
712.33,0.003526
716.82,0.002279
722.48,0.000722
723.61,0.004425
727.26,0.000431
737.6,0.00046
739.18,0.001264
741.11,0.00057
744.79,0.000288
747.05,0.001737
763.17,8.5e-05
770.19,2.7e-05
780.61,0.000482
792.8,0.001814
794.31,0.001217
803.74,0.002771
806.14,0.002676
807.89,0.006104
819.1,0.000722
830.01,0.000729
830.15,0.000221
845.24,6.7e-05
847.0,0.002175
847.44,0.0003
848.19,0.000898
851.36,0.00063
852.65,0.000297
866.98,0.000463
873.18,0.000342
873.83,0.000509
886.93,0.00022
893.05,0.000155
895.6,0.0034
900.99,0.001152
908.4,0.00057
917.36,0.000718
919.98,0.012067
931.93,6.3e-05
936.57,0.001633
938.52,0.000449
938.64,0.000102
949.73,0.003961
957.9,0.000754
958.48,0.001599
958.75,0.00072
965.05,0.014656
976.16,0.000636
977.71,0.000655
979.58,0.000127
986.27,0.001141
988.56,0.000163
995.31,0.025631
996.4,0.01467
997.76,0.000217
1002.14,0.00102
1014.35,0.001305
1014.98,0.015615
1016.33,0.00017
1019.25,0.003809
1021.84,0.000858
1023.69,0.000147
1029.92,0.000477
1031.13,0.006131
1033.58,0.007882
1036.35,0.00246
1042.73,0.000682
1043.29,0.003056
1047.25,0.000148
1050.79,0.001097
1051.66,0.002163
1055.42,0.000514
1055.73,0.001107
1059.05,0.001122
1059.58,0.000326
1063.86,0.008027
1068.94,0.000914
1069.75,0.010769
1072.99,0.003003
1080.39,0.001135
1095.5,0.000146
1098.09,0.000915
1103.52,0.00145
1104.38,0.003518
1106.92,0.002816
1115.41,0.001265
1121.41,0.002887
1122.94,0.000777
1125.24,0.000107
1141.02,0.000525
1147.51,0.015304
1151.53,0.004907
1158.22,0.02369
1169.16,0.006677
1173.88,0.014045
1183.41,0.000223
1188.23,0.001676
1189.01,0.002346
1195.66,0.000276
1200.85,0.001276
1202.12,0.020608
1212.56,0.005501
1212.85,0.002383
1226.93,0.004428
1228.08,0.000351
1229.14,7.2e-05
1230.23,0.000943
1234.4,0.000266
1242.84,0.000748
1246.99,0.007294
1248.19,0.00484
1253.66,0.000847
1256.47,0.014012
1256.78,0.001977
1259.06,0.002179
1260.83,0.036395
1261.83,0.000826
1264.04,0.001515
1265.75,0.000843
1266.76,0.000121
1268.73,0.000956
1273.36,0.000687
1273.98,0.001168
1279.95,0.000826
1280.28,0.000329
1285.64,9.7e-05
1287.32,0.001259
1289.26,0.000149
1289.66,0.000628
1290.62,0.000839
1292.74,0.000639
1294.47,0.000505
1294.86,0.000684
1296.5,0.003055
1297.68,0.001378
1304.75,0.001288
