3WN,3CNTZ
23.34,262.0
24.58,249.0
26.85,182.0
31.24,223.0
35.45,273.0
39.54,277.0
44.9,271.0
46.04,243.0
47.92,155.0
52.97,118.0
54.18,201.0
54.82,222.0
56.46,169.0
60.98,239.0
64.06,290.0
65.89,256.0
70.53,140.0
76.22,150.0
77.61,278.0
80.13,347.0
84.71,132.0
85.69,216.0
94.96,231.0
99.4,218.0
110.24,167.0
116.27,148.0
118.11,81.0
121.49,191.0
123.28,184.0
125.47,161.0
128.78,123.0
130.55,142.0
135.77,273.0
137.47,294.0
147.23,163.0
148.2,236.0
158.72,134.0
161.03,209.0
172.17,261.0
177.07,41.0
186.14,252.0
187.07,319.0
193.79,241.0
200.66,191.0
206.68,329.0
227.14,226.0
229.66,164.0
234.98,302.0
239.37,85.0
246.35,350.0
250.52,213.0
252.88,175.0
258.7,264.0
263.54,231.0
266.03,256.0
268.18,149.0
278.01,125.0
279.47,357.0
281.86,369.0
282.12,239.0
298.11,89.0
300.58,221.0
301.88,345.0
316.6,247.0
320.96,351.0
328.07,328.0
335.95,104.0
340.48,365.0
343.56,179.0
345.5,144.0
353.44,305.0
354.17,246.0
355.03,203.0
374.32,343.0
382.41,352.0
386.26,162.0
401.86,317.0
407.92,310.0
413.86,341.0
427.68,363.0
438.91,62.0
439.58,312.0
443.95,376.0
449.56,178.0
450.05,372.0
475.36,360.0
479.29,303.0
483.36,206.0
491.28,270.0
498.25,323.0
507.13,298.0
510.94,43.0
514.86,244.0
534.17,26.0
558.92,286.0
578.68,387.0
593.72,326.0
605.2,357.0
605.6,40.0
617.55,214.0
660.02,314.0
673.39,387.0
683.44,291.0
698.96,183.0
709.03,321.0
714.89,319.0
721.48,303.0
722.11,49.0
728.02,124.0
728.72,12.0
734.05,94.0
741.75,27.0
747.14,159.0
753.75,247.0
755.15,157.0
758.53,35.0
765.05,165.0
767.08,76.0
779.3,15.0
792.79,293.0
796.65,378.0
798.5,234.0
813.61,300.0
823.37,176.0
828.47,196.0
835.27,185.0
835.93,21.0
837.6,289.0
838.33,363.0
851.79,283.0
855.85,69.0
862.67,77.0
863.28,96.0
865.81,259.0
874.3,237.0
885.34,114.0
894.93,380.0
897.75,165.0
902.84,169.0
907.37,152.0
915.71,187.0
918.75,369.0
923.06,184.0
929.54,41.0
935.82,145.0
940.03,388.0
943.22,224.0
950.15,229.0
950.43,14.0
964.55,70.0
966.16,229.0
973.03,110.0
974.57,264.0
976.53,203.0
979.1,128.0
986.51,208.0
996.8,31.0
997.92,156.0
999.71,254.0
1002.08,290.0
1006.84,46.0
1008.93,237.0
1009.61,73.0
1011.92,138.0
1017.76,120.0
1021.49,339.0
1035.5,54.0
1036.71,275.0
1038.95,385.0
1039.4,59.0
1041.7,192.0
1044.51,67.0
1045.46,198.0
1048.9,30.0
1053.23,190.0
1054.84,107.0
1058.12,347.0
1059.77,360.0
1064.69,316.0
1065.89,335.0
1068.82,66.0
1070.7,364.0
1082.47,217.0
1085.25,60.0
1096.27,10.0
1102.68,136.0
1104.7,133.0
1106.95,206.0
1108.76,374.0
1113.69,292.0
1120.28,201.0
1122.1,362.0
1124.33,261.0
1134.86,241.0
1138.15,268.0
1153.87,266.0
1156.31,52.0
1160.55,179.0
1164.19,59.0
1175.81,212.0
1182.67,63.0
1188.8,379.0
1194.14,354.0
1194.88,356.0
1202.76,55.0
1211.11,121.0
1220.73,1.0
1225.82,351.0
1228.2,308.0
1228.97,48.0
1234.66,78.0
1236.71,345.0
1237.03,276.0
1241.34,307.0
1242.69,340.0
1248.41,98.0
1249.14,354.0
1251.09,52.0
1251.99,233.0
1255.37,24.0
1264.33,295.0
1264.54,296.0
1267.09,159.0
1267.7,16.0
1270.08,173.0
1273.31,281.0
1274.02,136.0
1275.73,36.0
1278.17,96.0
1286.99,377.0
1287.35,103.0
1287.9,33.0
1288.85,121.0
1289.53,210.0
1290.81,300.0
1293.53,24.0
1295.21,260.0
1298.96,175.0
1300.56,189.0
1303.54,186.0
1310.13,307.0
1310.66,105.0
1311.17,16.0
1314.34,198.0
1317.52,64.0
1328.84,102.0
1329.8,258.0
1329.97,84.0
1334.2,382.0
1337.19,74.0
1337.39,248.0
1337.88,193.0
1339.58,313.0
1348.35,7.0
1349.61,87.0
1352.32,220.0
1353.87,171.0
1357.02,367.0
1357.1,23.0
1358.68,210.0
1360.08,154.0
1361.87,281.0
1362.82,80.0
1363.23,254.0
1365.47,54.0
1369.36,328.0
1379.73,322.0
1381.33,30.0
1383.35,392.0
1386.86,199.0
1391.09,397.0
1393.15,384.0
1395.57,226.0
1407.0,321.0
1408.64,349.0
1408.83,336.0
1412.93,342.0
1414.39,269.0
1415.47,44.0
1415.61,224.0
1416.27,195.0
1416.47,78.0
1417.69,107.0
1418.38,71.0
1419.1,33.0
