2WN,2CNTZ,2CNTR,7WN,7CNTZ,7CNTR
868.25,281.0,176.0,868.87,108.0,324.0
876.32,141.0,241.0,874.53,96.0,36.0
883.88,225.0,308.0,881.43,192.0,213.0
884.24,171.0,368.0,883.4,155.0,84.0
886.32,364.0,80.0,897.05,361.0,360.0
887.87,165.0,204.0,897.94,73.0,50.0
894.89,156.0,178.0,905.1,226.0,225.0
897.4,104.0,279.0,909.71,220.0,284.0
912.27,267.0,193.0,911.57,230.0,255.0
913.87,331.0,63.0,921.53,368.0,371.0
913.9,363.0,38.0,922.24,256.0,122.0
932.28,147.0,215.0,926.47,66.0,29.0
934.87,168.0,258.0,935.08,68.0,342.0
940.82,369.0,59.0,941.91,381.0,381.0
943.17,113.0,368.0,948.64,106.0,43.0
945.08,162.0,205.0,950.34,220.0,162.0
945.57,87.0,319.0,959.02,257.0,186.0
955.66,260.0,217.0,969.0,236.0,85.0
964.68,180.0,275.0,971.52,181.0,214.0
967.23,148.0,153.0,976.8,111.0,242.0
978.95,53.0,172.0,980.84,110.0,41.0
979.8,66.0,144.0,983.09,118.0,90.0
988.5,63.0,249.0,987.21,204.0,124.0
990.14,136.0,346.0,987.47,214.0,123.0
991.39,234.0,272.0,990.0,115.0,47.0
995.71,158.0,148.0,994.7,74.0,338.0
1000.82,166.0,355.0,1005.11,150.0,89.0
1003.24,195.0,335.0,1006.08,215.0,193.0
1006.58,178.0,154.0,1007.04,24.0,9.0
1007.65,323.0,78.0,1013.24,217.0,251.0
1012.89,230.0,248.0,1016.45,105.0,332.0
1014.5,31.0,334.0,1017.52,324.0,237.0
1016.52,80.0,247.0,1026.28,38.0,15.0
1026.41,272.0,201.0,1027.11,306.0,201.0
1029.14,248.0,217.0,1028.71,138.0,31.0
1029.64,171.0,370.0,1029.97,161.0,68.0
1032.04,123.0,243.0,1031.22,159.0,274.0
1033.57,222.0,237.0,1032.58,194.0,247.0
1039.69,252.0,126.0,1034.1,206.0,58.0
1040.5,116.0,225.0,1036.39,241.0,156.0
1043.4,227.0,260.0,1038.91,151.0,101.0
1045.28,160.0,156.0,1041.22,146.0,275.0
1051.51,236.0,84.0,1043.84,93.0,337.0
1052.86,379.0,37.0,1044.17,254.0,169.0
1054.64,47.0,340.0,1045.05,378.0,387.0
1055.75,214.0,263.0,1053.71,345.0,340.0
1057.24,373.0,49.0,1054.17,324.0,310.0
1063.1,179.0,298.0,1062.15,190.0,285.0
1067.63,316.0,61.0,1063.32,331.0,322.0
1068.88,138.0,180.0,1063.4,112.0,75.0
1078.13,346.0,103.0,1069.44,340.0,278.0
1079.34,266.0,143.0,1076.49,272.0,180.0
1080.74,216.0,240.0,1083.07,162.0,55.0
1089.66,102.0,294.0,1090.54,124.0,34.0
1092.57,189.0,317.0,1097.03,59.0,209.0
1098.28,162.0,219.0,1097.87,70.0,189.0
1102.27,132.0,329.0,1100.89,266.0,133.0
1109.82,311.0,48.0,1103.05,304.0,106.0
1118.12,314.0,145.0,1111.33,387.0,377.0
1118.49,311.0,153.0,1115.35,145.0,304.0
1122.86,175.0,282.0,1122.73,222.0,148.0
1123.95,384.0,17.0,1123.18,356.0,352.0
1138.11,219.0,111.0,1130.04,158.0,62.0
1148.2,94.0,305.0,1143.75,44.0,8.0
1149.85,244.0,172.0,1160.52,168.0,294.0
1156.67,142.0,239.0,1165.69,247.0,220.0
1159.4,92.0,184.0,1182.1,113.0,319.0
1178.63,120.0,372.0,1188.25,63.0,38.0
1183.47,115.0,188.0,1189.4,370.0,380.0
1187.89,183.0,321.0,1191.88,211.0,262.0
1194.11,370.0,44.0,1197.21,240.0,128.0
1197.65,80.0,236.0,1203.49,121.0,44.0
1206.38,355.0,82.0,1205.85,380.0,385.0
1207.19,325.0,125.0,1210.63,289.0,157.0
1210.62,137.0,124.0,1216.17,53.0,30.0
1218.21,353.0,76.0,1220.12,147.0,298.0
1220.42,245.0,255.0,1222.79,305.0,247.0
1222.86,186.0,287.0,1225.3,219.0,257.0
1224.28,200.0,116.0,1227.76,283.0,213.0
1228.97,349.0,32.0,1234.79,359.0,371.0
1233.7,18.0,350.0,1235.21,148.0,331.0
1234.29,61.0,371.0,1239.95,75.0,26.0
1237.09,378.0,28.0,1241.55,224.0,154.0
1241.29,246.0,223.0,1247.65,152.0,59.0
1247.87,114.0,141.0,1249.97,259.0,171.0
1249.24,373.0,85.0,1252.33,353.0,333.0
1252.59,158.0,270.0,1253.26,83.0,32.0
1258.97,62.0,229.0,1258.29,230.0,198.0
1261.09,174.0,258.0,1258.39,121.0,295.0
1261.86,228.0,145.0,1260.08,187.0,139.0
1262.53,222.0,147.0,1261.09,239.0,144.0
1262.96,130.0,225.0,1266.0,345.0,287.0
