9WN,9CNTZ
17.16,185.0
20.23,212.0
23.07,260.0
26.32,271.0
30.23,174.0
30.67,267.0
35.06,91.0
36.82,301.0
39.2,120.0
42.26,211.0
45.87,298.0
48.4,169.0
48.97,143.0
51.06,97.0
55.06,279.0
61.22,239.0
69.45,210.0
69.62,243.0
74.42,284.0
76.18,198.0
81.36,140.0
85.49,266.0
91.05,132.0
97.1,321.0
100.14,130.0
105.62,202.0
107.91,165.0
108.5,52.0
112.17,124.0
119.01,182.0
121.45,224.0
128.08,243.0
135.5,102.0
138.2,219.0
143.43,157.0
145.25,79.0
156.61,197.0
158.51,143.0
162.91,226.0
169.63,314.0
171.74,238.0
189.91,347.0
193.27,75.0
197.48,297.0
199.16,42.0
213.96,312.0
230.75,308.0
239.99,170.0
246.59,289.0
248.19,324.0
254.17,154.0
257.65,187.0
259.03,103.0
262.98,272.0
264.77,209.0
268.67,195.0
272.23,81.0
273.36,18.0
275.52,74.0
280.66,364.0
281.61,291.0
291.0,282.0
297.75,117.0
299.44,340.0
313.81,54.0
318.29,359.0
325.91,191.0
332.18,228.0
336.88,293.0
343.74,315.0
352.83,292.0
357.89,317.0
361.52,111.0
373.05,328.0
380.9,361.0
400.56,257.0
415.55,322.0
419.46,314.0
427.67,328.0
434.25,286.0
440.29,221.0
442.1,309.0
446.67,356.0
451.92,281.0
456.24,41.0
457.42,333.0
458.35,319.0
489.08,341.0
493.36,56.0
512.04,291.0
522.22,337.0
543.71,199.0
555.2,185.0
559.23,59.0
569.11,371.0
581.26,342.0
582.85,363.0
589.03,65.0
593.14,225.0
624.7,326.0
652.24,350.0
675.05,382.0
688.38,343.0
702.86,353.0
722.29,115.0
726.09,38.0
727.1,152.0
730.19,262.0
731.06,214.0
733.33,24.0
736.03,115.0
740.25,43.0
741.86,295.0
743.39,168.0
748.95,156.0
760.7,175.0
761.66,74.0
767.75,89.0
773.71,236.0
798.13,350.0
798.44,121.0
803.68,93.0
804.17,138.0
809.98,182.0
822.89,192.0
825.77,157.0
832.85,223.0
838.9,355.0
840.26,24.0
842.39,57.0
854.87,279.0
859.56,219.0
862.15,180.0
865.68,37.0
874.73,303.0
894.07,374.0
897.37,248.0
898.31,148.0
904.63,287.0
918.59,51.0
919.36,354.0
920.86,264.0
923.04,245.0
932.37,248.0
941.22,60.0
942.17,113.0
942.7,340.0
945.98,53.0
957.47,10.0
965.7,146.0
975.64,267.0
978.95,207.0
979.6,141.0
983.55,86.0
986.37,128.0
986.49,181.0
990.98,205.0
996.87,152.0
999.83,200.0
1003.06,277.0
1004.18,162.0
1006.46,34.0
1020.06,307.0
1021.88,183.0
1022.24,145.0
1026.51,67.0
1028.76,317.0
1030.02,311.0
1031.07,46.0
1033.84,111.0
1036.28,217.0
1039.97,389.0
1040.88,163.0
1046.48,321.0
1050.64,26.0
