,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,13.0,390.0,2941.29,13.0,197.0,2942.5
2,17.0,379.0,1335.68,18.0,152.0,1336.79
3,374.0,21.0,895.6,374.0,356.0,894.07
4,115.0,121.0,1414.27,117.0,203.0,1414.69
5,324.0,142.0,1260.83,326.0,132.0,1259.88
6,201.0,213.0,1289.26,203.0,37.0,1290.26
7,385.0,37.0,1411.36,386.0,380.0,1409.08
8,392.0,15.0,1394.35,392.0,382.0,1391.67
9,145.0,205.0,46.97,143.0,225.0,48.97
10,266.0,321.0,1104.38,268.0,290.0,1106.38
11,121.0,217.0,2916.18,122.0,241.0,2918.86
12,367.0,31.0,1430.44,365.0,369.0,1432.62
13,12.0,383.0,2899.32,12.0,180.0,2902.29
14,254.0,257.0,400.98,257.0,304.0,400.56
15,6.0,385.0,2908.38,8.0,222.0,2910.72
16,397.0,16.0,1466.19,397.0,376.0,1469.55
17,335.0,387.0,1417.54,335.0,145.0,1420.94
18,345.0,393.0,3001.5,345.0,1.0,2997.76
19,22.0,358.0,1285.64,22.0,88.0,1289.57
20,17.0,362.0,2968.27,20.0,99.0,2965.58
21,48.0,319.0,1420.5,44.0,162.0,1419.82
22,80.0,83.0,2972.44,84.0,10.0,2971.58
23,65.0,200.0,593.23,65.0,22.0,589.03
24,191.0,336.0,2904.05,195.0,4.0,2905.52
25,194.0,275.0,819.1,192.0,288.0,822.89
26,235.0,241.0,59.65,239.0,202.0,61.22
27,376.0,19.0,1125.24,379.0,348.0,1121.92
28,176.0,50.0,2966.78,173.0,262.0,2970.11
29,186.0,278.0,1063.86,189.0,63.0,1060.3
30,3.0,399.0,2920.72,5.0,157.0,2925.04
31,379.0,12.0,1200.85,381.0,349.0,1196.46
32,128.0,230.0,114.93,124.0,119.0,112.17
33,387.0,8.0,675.4,382.0,355.0,675.05
34,130.0,68.0,1353.05,134.0,352.0,1349.97
35,8.0,392.0,2934.12,13.0,136.0,2935.03
36,6.0,394.0,2993.84,1.0,244.0,2992.84
37,371.0,67.0,2940.76,368.0,350.0,2944.9
38,124.0,155.0,1266.76,119.0,372.0,1265.5
39,10.0,387.0,2952.32,7.0,215.0,2948.12
40,153.0,341.0,2908.87,155.0,222.0,2913.68
41,384.0,29.0,1446.07,389.0,378.0,1447.98
42,209.0,225.0,1350.18,207.0,73.0,1355.17
43,276.0,240.0,28.62,271.0,229.0,26.32
44,0.0,397.0,2998.37,1.0,199.0,3003.79
45,51.0,378.0,1427.93,48.0,145.0,1432.66
46,199.0,108.0,110.45,202.0,271.0,105.62
47,304.0,188.0,46.17,298.0,263.0,45.87
48,388.0,66.0,2967.76,394.0,378.0,2966.89
49,400.0,47.0,3067.56,397.0,390.0,3072.91
50,334.0,339.0,1325.3,332.0,158.0,1331.1
51,120.0,120.0,2910.65,114.0,384.0,2909.15
52,342.0,178.0,482.93,341.0,245.0,489.08
53,28.0,359.0,1095.5,22.0,114.0,1093.3
54,45.0,125.0,3039.48,49.0,33.0,3044.49
55,315.0,181.0,337.19,315.0,260.0,343.74
56,395.0,9.0,1398.08,400.0,370.0,1393.54
57,10.0,390.0,1360.88,4.0,192.0,1364.21
58,98.0,99.0,1440.53,94.0,298.0,1434.93
59,58.0,44.0,1390.65,58.0,15.0,1383.69
60,154.0,335.0,1443.83,161.0,16.0,1443.84
61,21.0,344.0,2904.87,14.0,142.0,2904.95
62,305.0,74.0,214.17,312.0,163.0,213.96
63,124.0,162.0,1297.68,124.0,369.0,1290.67
64,366.0,1.0,2886.53,360.0,315.0,2882.87
65,331.0,193.0,1364.23,330.0,182.0,1357.17
66,84.0,331.0,265.72,81.0,384.0,272.23
67,180.0,71.0,1433.09,174.0,254.0,1437.44
68,40.0,308.0,747.05,43.0,79.0,740.25
69,32.0,345.0,2913.71,35.0,15.0,2920.58
70,118.0,198.0,358.8,111.0,90.0,361.52
71,184.0,78.0,2975.78,190.0,149.0,2971.21
72,74.0,344.0,1023.69,67.0,54.0,1026.51
73,372.0,6.0,2950.99,370.0,124.0,2958.52
74,173.0,220.0,38.11,174.0,302.0,30.23
75,218.0,34.0,2990.5,221.0,212.0,2983.09
76,104.0,191.0,1029.92,111.0,39.0,1033.84
77,27.0,360.0,1229.14,28.0,137.0,1237.2
78,79.0,251.0,1420.75,87.0,127.0,1422.2
79,368.0,46.0,1051.66,363.0,334.0,1058.08
80,171.0,327.0,2909.17,163.0,22.0,2911.52
81,343.0,130.0,291.59,340.0,324.0,299.44
82,217.0,91.0,2924.2,217.0,60.0,2915.64
83,352.0,27.0,847.0,355.0,342.0,838.9
