,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.0,200.0,2999.36,4.0,366.0,3000.23
2,401.0,18.0,3065.3,400.0,398.0,3065.42
3,400.0,13.0,2965.45,400.0,401.0,2966.58
4,102.0,394.0,1328.84,102.0,129.0,1330.46
5,56.0,379.0,2914.89,58.0,35.0,2915.67
6,224.0,142.0,1415.61,224.0,227.0,1417.81
7,6.0,5.0,2906.28,8.0,8.0,2905.24
8,78.0,312.0,1416.47,77.0,272.0,1418.81
9,29.0,22.0,1444.53,28.0,207.0,1442.19
10,23.0,33.0,1357.1,21.0,113.0,1359.25
11,369.0,56.0,918.75,368.0,371.0,921.53
12,4.0,133.0,3007.19,1.0,219.0,3006.77
13,82.0,390.0,2954.56,79.0,330.0,2953.74
14,278.0,194.0,77.61,281.0,245.0,78.54
15,390.0,44.0,1436.45,391.0,388.0,1433.31
16,354.0,186.0,1249.14,353.0,333.0,1252.33
17,397.0,12.0,1391.09,396.0,378.0,1394.37
18,10.0,76.0,2947.65,12.0,16.0,2950.44
19,365.0,66.0,340.48,363.0,357.0,337.28
20,111.0,390.0,1432.69,108.0,183.0,1430.3
21,110.0,388.0,973.03,111.0,242.0,976.8
22,342.0,15.0,3015.74,339.0,119.0,3013.13
23,7.0,375.0,2995.0,4.0,362.0,2997.63
24,44.0,89.0,1415.47,40.0,175.0,1414.92
25,208.0,241.0,986.51,204.0,124.0,987.21
26,290.0,197.0,64.06,291.0,267.0,68.18
27,402.0,12.0,3059.73,398.0,394.0,3058.3
28,122.0,376.0,2902.75,118.0,235.0,2904.29
29,392.0,4.0,1383.35,394.0,396.0,1387.16
30,36.0,136.0,1275.73,38.0,241.0,1279.74
31,342.0,167.0,1412.93,341.0,54.0,1408.34
32,335.0,168.0,1065.89,331.0,322.0,1063.32
33,347.0,135.0,1058.12,345.0,340.0,1053.71
34,358.0,48.0,1447.91,358.0,309.0,1442.88
35,39.0,192.0,2962.39,44.0,54.0,2963.21
36,47.0,383.0,1421.93,48.0,80.0,1426.9
37,33.0,270.0,1419.1,36.0,231.0,1423.19
38,317.0,337.0,2951.22,322.0,149.0,2950.25
39,19.0,393.0,2924.35,14.0,354.0,2926.34
40,65.0,276.0,1421.11,64.0,234.0,1415.77
41,396.0,4.0,1471.39,392.0,386.0,1467.69
42,239.0,193.0,282.12,244.0,244.0,284.43
43,113.0,357.0,2937.51,116.0,255.0,2932.89
44,387.0,26.0,673.39,386.0,390.0,667.96
45,63.0,316.0,1182.67,63.0,38.0,1188.25
46,93.0,188.0,1419.93,88.0,295.0,1417.12
47,252.0,254.0,186.14,255.0,242.0,181.0
48,374.0,144.0,2947.88,376.0,370.0,2953.61
49,247.0,330.0,753.75,252.0,204.0,750.31
50,78.0,356.0,1234.66,75.0,26.0,1239.95
51,362.0,54.0,1122.1,356.0,352.0,1123.18
52,308.0,193.0,1228.2,305.0,247.0,1222.79
53,35.0,237.0,758.53,41.0,23.0,760.4
54,270.0,265.0,2926.73,270.0,134.0,2920.44
55,222.0,277.0,54.82,223.0,216.0,48.6
56,373.0,68.0,1432.33,378.0,396.0,1428.48
57,132.0,175.0,84.71,130.0,249.0,90.76
58,336.0,36.0,1408.83,330.0,173.0,1406.62
59,128.0,76.0,2946.49,133.0,14.0,2942.01
60,233.0,196.0,1251.99,230.0,198.0,1258.29
61,11.0,32.0,2918.76,18.0,4.0,2918.76
62,87.0,373.0,1349.61,86.0,307.0,1356.54
63,337.0,296.0,2996.35,344.0,127.0,2996.13
64,163.0,376.0,147.23,156.0,72.0,147.47
65,309.0,329.0,2905.77,308.0,159.0,2912.87
66,43.0,16.0,2944.46,49.0,362.0,2940.52
67,345.0,74.0,301.88,348.0,345.0,295.34
68,94.0,345.0,734.05,100.0,78.0,738.05
69,33.0,21.0,1287.9,34.0,228.0,1280.75
70,388.0,29.0,940.03,381.0,381.0,941.91
71,367.0,147.0,1357.02,372.0,369.0,1362.29
72,130.0,301.0,2973.86,127.0,192.0,2980.52
73,46.0,103.0,1434.06,40.0,190.0,1429.76
74,397.0,22.0,3072.32,401.0,373.0,3078.59
75,229.0,281.0,966.16,236.0,85.0,969.0
76,357.0,105.0,279.47,352.0,349.0,273.79
77,167.0,130.0,110.24,170.0,136.0,103.28
78,121.0,210.0,1211.11,121.0,44.0,1203.49
79,328.0,127.0,1369.36,335.0,182.0,1366.07
80,109.0,260.0,1426.02,116.0,200.0,1422.7
81,394.0,3.0,2964.47,396.0,398.0,2971.99
82,75.0,397.0,2916.04,83.0,41.0,2915.87
83,384.0,7.0,1393.15,391.0,380.0,1389.24
84,3.0,71.0,2908.83,11.0,5.0,2907.96
85,298.0,142.0,507.13,290.0,230.0,508.25
86,169.0,273.0,56.46,177.0,253.0,58.04
87,317.0,122.0,401.86,325.0,286.0,400.26
88,224.0,277.0,943.22,220.0,162.0,950.34
89,175.0,165.0,252.88,178.0,325.0,260.52
90,210.0,223.0,1358.68,202.0,87.0,1354.92
91,190.0,329.0,1053.23,190.0,285.0,1062.15
92,223.0,237.0,31.24,215.0,285.0,35.3
93,312.0,148.0,439.58,320.0,272.0,443.66
94,140.0,305.0,70.53,135.0,249.0,63.05
95,379.0,53.0,1188.8,370.0,380.0,1189.4
96,260.0,119.0,1295.21,268.0,205.0,1290.88
97,277.0,137.0,39.54,286.0,264.0,37.88
98,385.0,9.0,1038.95,378.0,387.0,1045.05
99,218.0,178.0,99.4,209.0,130.0,97.03
100,192.0,280.0,1041.7,194.0,247.0,1032.58
101,156.0,223.0,997.92,150.0,89.0,1005.11
102,195.0,43.0,2970.03,200.0,38.0,2962.07
103,58.0,379.0,2925.88,59.0,321.0,2916.43
104,191.0,211.0,121.49,198.0,278.0,128.07
105,116.0,364.0,1432.35,123.0,97.0,1425.44
106,243.0,232.0,46.04,234.0,198.0,50.18
107,107.0,267.0,1054.84,112.0,75.0,1063.4
108,389.0,19.0,1422.72,383.0,377.0,1430.68
109,395.0,10.0,1456.45,386.0,385.0,1452.1
110,184.0,154.0,123.28,174.0,178.0,122.28
111,319.0,139.0,187.07,314.0,195.0,195.79
112,363.0,99.0,838.33,373.0,376.0,839.55
113,298.0,216.0,2914.17,293.0,166.0,2905.33
114,378.0,31.0,796.65,368.0,374.0,798.51
115,62.0,317.0,1437.71,72.0,237.0,1439.82
116,307.0,224.0,1310.13,317.0,81.0,1312.28
117,133.0,95.0,1423.95,142.0,216.0,1418.99
118,136.0,319.0,1274.02,127.0,307.0,1268.94
119,313.0,282.0,1339.58,323.0,145.0,1342.44
120,305.0,100.0,2980.97,315.0,52.0,2983.89
121,154.0,295.0,2968.53,144.0,258.0,2971.6
122,128.0,367.0,979.1,118.0,90.0,983.09
123,382.0,85.0,3037.2,384.0,357.0,3026.47
124,179.0,292.0,1160.55,168.0,294.0,1160.52
125,235.0,25.0,2985.55,244.0,80.0,2979.15
126,323.0,156.0,498.25,312.0,282.0,499.96
127,19.0,17.0,2936.87,29.0,6.0,2941.99
128,96.0,298.0,863.28,96.0,36.0,874.53
129,175.0,327.0,1298.96,175.0,34.0,1287.63
130,367.0,69.0,1427.53,376.0,394.0,1420.59
131,7.0,46.0,1348.35,16.0,4.0,1341.23
132,276.0,205.0,1237.03,283.0,213.0,1227.76
133,302.0,162.0,234.98,295.0,290.0,244.33
134,149.0,204.0,268.18,139.0,152.0,274.33
135,351.0,73.0,320.96,361.0,355.0,327.18
136,60.0,314.0,1085.25,59.0,209.0,1097.03
137,259.0,294.0,865.81,270.0,189.0,861.38
138,205.0,245.0,2939.67,195.0,117.0,2933.12
139,351.0,107.0,1225.82,359.0,371.0,1234.79
140,172.0,64.0,1666.89,180.0,100.0,1657.73
141,329.0,121.0,206.68,319.0,322.0,213.75
142,203.0,162.0,355.03,207.0,202.0,343.36
143,31.0,78.0,996.8,24.0,9.0,1007.04
144,276.0,153.0,1429.66,287.0,125.0,1423.92
145,152.0,288.0,1427.64,163.0,165.0,1421.45
146,85.0,161.0,239.37,94.0,149.0,248.31
147,284.0,302.0,2957.86,279.0,95.0,2969.54
148,142.0,151.0,130.55,136.0,150.0,141.84
149,173.0,286.0,1270.08,183.0,45.0,1278.12
150,271.0,115.0,44.9,260.0,289.0,51.58
151,69.0,369.0,855.85,60.0,25.0,865.23
152,352.0,70.0,382.41,365.0,367.0,380.17
153,316.0,182.0,1064.69,324.0,310.0,1054.17
154,374.0,38.0,1108.76,387.0,377.0,1111.33
155,382.0,104.0,1334.2,372.0,359.0,1342.97
156,1.0,24.0,2909.91,3.0,94.0,2923.12
157,219.0,140.0,1437.26,210.0,73.0,1447.17
158,372.0,60.0,450.05,359.0,349.0,446.26
159,55.0,352.0,1202.76,53.0,30.0,1216.17
160,103.0,362.0,1287.35,90.0,315.0,1291.26
161,84.0,74.0,1329.97,97.0,52.0,1334.11
162,51.0,16.0,2901.18,47.0,230.0,2914.25
163,377.0,70.0,1286.99,375.0,373.0,1300.61
164,198.0,125.0,1045.46,206.0,58.0,1034.1
165,199.0,57.0,1386.86,185.0,141.0,1387.73
166,201.0,217.0,54.18,191.0,206.0,44.19
167,234.0,280.0,798.5,248.0,107.0,796.5
168,310.0,109.0,407.92,310.0,221.0,422.27
169,12.0,87.0,728.72,11.0,1.0,714.35
170,281.0,272.0,1273.31,276.0,187.0,1286.83
171,64.0,386.0,1317.52,56.0,344.0,1329.7
172,52.0,169.0,1156.31,44.0,8.0,1143.75
173,73.0,91.0,1009.61,74.0,338.0,994.7
174,100.0,391.0,2904.45,85.0,314.0,2904.23
175,70.0,333.0,2974.74,55.0,19.0,2975.68
176,195.0,157.0,1416.27,208.0,226.0,1408.69
177,325.0,269.0,2940.49,329.0,109.0,2925.98
178,120.0,332.0,1017.76,105.0,332.0,1016.45
179,8.0,319.0,2899.93,23.0,354.0,2901.91
180,220.0,322.0,1352.32,232.0,72.0,1361.59
181,209.0,248.0,161.03,195.0,92.0,167.2
182,203.0,283.0,976.53,214.0,123.0,987.47
183,339.0,135.0,1021.49,324.0,237.0,1017.52
184,136.0,253.0,1102.68,145.0,304.0,1115.35
185,21.0,164.0,2929.68,6.0,351.0,2925.58
186,98.0,343.0,1248.41,83.0,32.0,1253.26
187,151.0,38.0,2913.28,166.0,21.0,2908.15
188,343.0,114.0,374.32,334.0,317.0,361.24
189,292.0,213.0,1113.69,304.0,106.0,1103.05
190,212.0,151.0,1175.81,211.0,262.0,1191.88
191,36.0,57.0,2958.17,20.0,19.0,2960.63
192,245.0,60.0,2932.61,241.0,238.0,2916.84
193,341.0,140.0,413.86,342.0,347.0,430.22
194,133.0,284.0,1104.7,124.0,34.0,1090.54
195,138.0,240.0,1011.92,138.0,31.0,1028.71
196,371.0,326.0,2921.98,364.0,384.0,2906.64
197,264.0,263.0,974.57,257.0,186.0,959.02
198,102.0,400.0,3002.62,89.0,178.0,3013.81
199,155.0,309.0,47.92,157.0,210.0,30.79
200,273.0,225.0,35.45,281.0,289.0,20.11
201,333.0,106.0,1746.45,349.0,12.0,1753.11
202,246.0,129.0,354.17,263.0,223.0,350.16
203,182.0,208.0,26.85,166.0,265.0,33.88
204,165.0,308.0,897.75,155.0,84.0,883.4
205,114.0,338.0,885.34,108.0,324.0,868.87
206,21.0,86.0,835.93,35.0,11.0,824.54
207,303.0,180.0,479.29,311.0,280.0,463.08
208,121.0,327.0,1288.85,138.0,90.0,1295.32
209,171.0,300.0,1446.15,188.0,111.0,1439.05
210,261.0,145.0,172.17,259.0,167.0,153.85
211,54.0,364.0,1035.5,38.0,15.0,1026.28
212,250.0,113.0,2944.28,261.0,57.0,2928.71
213,332.0,256.0,2954.05,351.0,18.0,2952.43
214,49.0,362.0,722.11,64.0,116.0,733.9
215,380.0,42.0,894.93,361.0,360.0,897.05
216,269.0,159.0,1414.39,251.0,109.0,1420.9
217,193.0,353.0,1337.88,190.0,206.0,1356.86
218,71.0,245.0,1418.38,52.0,138.0,1414.31
219,123.0,171.0,128.78,104.0,100.0,124.43
220,392.0,2.0,3078.85,397.0,399.0,3059.43
221,237.0,150.0,1008.93,217.0,251.0,1013.24
222,76.0,338.0,767.08,66.0,343.0,785.04
223,159.0,246.0,1267.09,152.0,59.0,1247.65
224,159.0,209.0,747.14,172.0,49.0,730.79
225,253.0,48.0,2972.26,234.0,91.0,2963.28
226,150.0,229.0,76.22,163.0,253.0,92.87
227,201.0,234.0,1120.28,222.0,148.0,1122.73
228,167.0,158.0,1439.99,175.0,137.0,1420.36
229,387.0,28.0,578.68,366.0,360.0,581.79
230,288.0,297.0,3026.86,309.0,187.0,3022.95
231,77.0,240.0,862.67,96.0,332.0,851.85
232,279.0,331.0,2910.46,299.0,161.0,2901.37
233,313.0,257.0,2936.64,293.0,159.0,2945.87
234,285.0,40.0,2982.31,302.0,103.0,2968.26
235,360.0,98.0,1059.77,340.0,278.0,1069.44
236,275.0,233.0,1036.71,254.0,169.0,1044.17
237,266.0,196.0,1153.87,247.0,220.0,1165.69
238,294.0,174.0,137.47,301.0,240.0,115.84
239,206.0,263.0,483.36,227.0,115.0,474.5
240,236.0,324.0,148.2,217.0,262.0,135.58
241,141.0,128.0,3005.64,146.0,63.0,2983.1
242,326.0,102.0,593.72,303.0,185.0,591.46
243,148.0,129.0,116.27,165.0,104.0,100.51
244,89.0,258.0,298.11,82.0,77.0,275.69
245,340.0,183.0,1242.69,345.0,287.0,1266.0
246,261.0,202.0,1124.33,266.0,133.0,1100.89
247,134.0,279.0,158.72,158.0,142.0,161.73
248,226.0,202.0,227.14,249.0,151.0,234.92
249,196.0,346.0,828.47,212.0,84.0,847.69
250,146.0,118.0,3027.89,171.0,13.0,3028.83
251,264.0,353.0,258.7,289.0,282.0,257.56
252,333.0,117.0,2960.15,355.0,232.0,2948.21
253,379.0,335.0,2880.0,354.0,296.0,2881.91
254,41.0,154.0,929.54,66.0,29.0,926.47
255,24.0,105.0,1293.53,49.0,32.0,1297.19
256,154.0,354.0,1360.08,129.0,191.0,1364.0
257,52.0,341.0,1251.09,46.0,21.0,1275.68
258,321.0,198.0,709.03,335.0,48.0,687.57
259,30.0,395.0,1381.33,30.0,176.0,1355.4
260,300.0,265.0,813.61,274.0,82.0,813.0
261,67.0,288.0,1044.51,93.0,337.0,1043.84
262,86.0,388.0,2925.86,81.0,68.0,2900.18
263,241.0,314.0,193.79,266.0,147.0,201.66
264,356.0,62.0,1194.88,380.0,385.0,1205.85
265,256.0,208.0,65.89,272.0,217.0,87.11
266,210.0,113.0,1289.53,232.0,208.0,1304.62
267,226.0,49.0,1395.57,245.0,138.0,1414.67
268,26.0,381.0,534.17,16.0,2.0,509.13
269,258.0,149.0,1329.8,279.0,96.0,1312.65
270,183.0,79.0,698.96,168.0,173.0,722.42
271,303.0,187.0,721.48,276.0,114.0,713.43
272,322.0,217.0,1379.73,350.0,227.0,1375.98
273,96.0,336.0,1278.17,68.0,339.0,1284.09
274,107.0,382.0,1417.69,102.0,99.0,1388.93
275,89.0,351.0,2947.44,61.0,338.0,2956.01
276,66.0,275.0,1068.82,70.0,189.0,1097.87
277,70.0,359.0,964.55,68.0,342.0,935.08
278,290.0,175.0,1002.08,306.0,201.0,1027.11
279,124.0,366.0,728.02,119.0,311.0,757.97
280,345.0,96.0,1236.71,346.0,270.0,1267.45
281,125.0,290.0,278.01,124.0,292.0,247.05
282,283.0,204.0,851.79,253.0,223.0,843.23
283,169.0,213.0,902.84,192.0,213.0,881.43
284,360.0,82.0,475.36,337.0,328.0,453.84
285,336.0,77.0,1447.82,304.0,132.0,1445.96
286,54.0,343.0,1365.47,24.0,270.0,1353.67
287,38.0,400.0,3044.42,70.0,163.0,3038.94
288,237.0,144.0,874.3,226.0,225.0,905.1
289,186.0,52.0,1303.54,153.0,70.0,1300.86
290,81.0,185.0,118.11,106.0,301.0,140.04
291,187.0,273.0,915.71,220.0,284.0,909.71
292,181.0,339.0,2930.7,197.0,76.0,2901.03
293,179.0,312.0,343.56,178.0,88.0,309.81
294,111.0,267.0,2957.06,141.0,70.0,2973.34
295,216.0,228.0,85.69,183.0,129.0,94.67
296,178.0,384.0,449.56,202.0,314.0,425.09
297,118.0,111.0,52.97,93.0,132.0,29.17
298,90.0,371.0,2960.97,56.0,312.0,2968.05
299,321.0,42.0,1407.0,299.0,121.0,1434.17
300,25.0,398.0,3017.79,2.0,66.0,2991.12
301,307.0,260.0,1241.34,289.0,157.0,1210.63
302,369.0,39.0,281.86,370.0,382.0,317.45
303,357.0,132.0,605.2,326.0,154.0,622.76
304,256.0,215.0,266.03,262.0,177.0,230.62
305,283.0,166.0,1749.9,318.0,183.0,1759.52
306,300.0,297.0,1290.81,298.0,172.0,1327.83
307,247.0,261.0,316.6,282.0,251.0,304.28
308,162.0,307.0,386.26,130.0,59.0,405.32
309,273.0,124.0,135.77,285.0,167.0,171.32
310,347.0,90.0,80.13,310.0,300.0,72.95
311,262.0,299.0,23.34,296.0,268.0,40.22
312,105.0,371.0,1310.66,133.0,303.0,1336.72
313,227.0,83.0,2985.69,206.0,243.0,2953.71
314,189.0,59.0,1300.56,151.0,66.0,1305.3
315,229.0,318.0,950.15,230.0,255.0,911.57
316,295.0,206.0,1264.33,259.0,171.0,1249.97
317,254.0,252.0,999.71,241.0,156.0,1036.39
318,248.0,348.0,1337.39,247.0,160.0,1298.47
319,165.0,286.0,765.05,200.0,65.0,747.65
320,286.0,96.0,558.92,268.0,196.0,594.34
321,293.0,248.0,792.79,254.0,106.0,801.45
322,221.0,91.0,300.58,181.0,118.0,307.58
323,145.0,322.0,935.82,106.0,43.0,948.64
324,16.0,47.0,1311.17,53.0,27.0,1289.88
325,266.0,33.0,2977.95,275.0,142.0,2935.14
326,331.0,30.0,2972.32,350.0,39.0,3011.87
327,27.0,156.0,741.75,71.0,276.0,732.5
328,80.0,366.0,1362.82,125.0,195.0,1363.99
329,349.0,36.0,1408.64,394.0,392.0,1404.12
330,319.0,200.0,714.89,278.0,124.0,737.1
331,184.0,243.0,923.06,181.0,214.0,971.52
332,157.0,355.0,755.15,199.0,277.0,730.16
333,206.0,269.0,1106.95,162.0,55.0,1083.07
334,82.0,368.0,1428.36,32.0,117.0,1431.14
335,101.0,384.0,2949.32,51.0,347.0,2935.42
336,239.0,219.0,60.98,186.0,201.0,63.92
337,350.0,100.0,246.35,295.0,268.0,245.38
338,325.0,181.0,2942.57,380.0,368.0,2941.32
339,144.0,311.0,345.5,170.0,144.0,296.94
340,217.0,305.0,1082.47,272.0,180.0,1076.49
341,198.0,35.0,1314.34,187.0,139.0,1260.08
342,59.0,256.0,1164.19,113.0,319.0,1182.1
343,296.0,251.0,1264.54,239.0,144.0,1261.09
344,41.0,121.0,177.07,90.0,74.0,207.77
345,43.0,238.0,510.94,100.0,326.0,521.24
346,270.0,164.0,491.28,328.0,280.0,484.24
