7CNTZ,7CNTR,7WN,10WN,10CNTZ,10CNTR
108.0,324.0,868.87,856.31,244.0,119.0
96.0,36.0,874.53,862.71,63.0,344.0
192.0,213.0,881.43,869.58,209.0,137.0
155.0,84.0,883.4,872.52,137.0,261.0
361.0,360.0,897.05,888.56,122.0,310.0
73.0,50.0,897.94,890.47,367.0,25.0
226.0,225.0,905.1,893.17,203.0,254.0
220.0,284.0,909.71,898.04,221.0,285.0
230.0,255.0,911.57,905.95,233.0,258.0
368.0,371.0,921.53,911.72,197.0,306.0
256.0,122.0,922.24,919.14,349.0,49.0
66.0,29.0,926.47,919.74,223.0,246.0
68.0,342.0,935.08,928.83,244.0,170.0
381.0,381.0,941.91,929.42,169.0,209.0
106.0,43.0,948.64,931.08,111.0,282.0
220.0,162.0,950.34,948.92,382.0,7.0
257.0,186.0,959.02,950.93,53.0,295.0
236.0,85.0,969.0,952.22,149.0,185.0
181.0,214.0,971.52,965.15,152.0,158.0
111.0,242.0,976.8,971.1,191.0,169.0
110.0,41.0,980.84,971.44,102.0,374.0
118.0,90.0,983.09,976.88,190.0,155.0
204.0,124.0,987.21,980.39,125.0,395.0
214.0,123.0,987.47,982.25,171.0,352.0
115.0,47.0,990.0,991.85,96.0,339.0
74.0,338.0,994.7,992.39,238.0,200.0
150.0,89.0,1005.11,993.43,229.0,127.0
215.0,193.0,1006.08,1005.92,181.0,319.0
24.0,9.0,1007.04,1007.37,140.0,331.0
217.0,251.0,1013.24,1009.2,234.0,232.0
105.0,332.0,1016.45,1009.91,45.0,304.0
324.0,237.0,1017.52,1010.81,263.0,248.0
38.0,15.0,1026.28,1017.4,25.0,325.0
306.0,201.0,1027.11,1022.6,83.0,252.0
138.0,31.0,1028.71,1024.23,66.0,216.0
161.0,68.0,1029.97,1026.36,336.0,89.0
159.0,274.0,1031.22,1029.77,155.0,146.0
194.0,247.0,1032.58,1030.76,118.0,340.0
206.0,58.0,1034.1,1035.09,70.0,211.0
241.0,156.0,1036.39,1040.6,189.0,278.0
151.0,101.0,1038.91,1041.09,266.0,200.0
146.0,275.0,1041.22,1042.14,260.0,188.0
93.0,337.0,1043.84,1045.32,351.0,40.0
254.0,169.0,1044.17,1045.5,287.0,69.0
378.0,387.0,1045.05,1049.92,207.0,252.0
345.0,340.0,1053.71,1050.39,315.0,135.0
324.0,310.0,1054.17,1052.2,337.0,109.0
190.0,285.0,1062.15,1053.99,248.0,332.0
331.0,322.0,1063.32,1057.02,318.0,120.0
112.0,75.0,1063.4,1069.42,377.0,25.0
340.0,278.0,1069.44,1071.79,63.0,123.0
272.0,180.0,1076.49,1078.32,194.0,198.0
162.0,55.0,1083.07,1085.14,106.0,328.0
124.0,34.0,1090.54,1094.48,64.0,244.0
59.0,209.0,1097.03,1095.05,121.0,234.0
70.0,189.0,1097.87,1097.1,134.0,221.0
266.0,133.0,1100.89,1098.23,145.0,268.0
304.0,106.0,1103.05,1106.07,326.0,230.0
387.0,377.0,1111.33,1117.42,390.0,11.0
145.0,304.0,1115.35,1119.05,387.0,19.0
222.0,148.0,1122.73,1125.74,175.0,215.0
356.0,352.0,1123.18,1127.83,173.0,194.0
158.0,62.0,1130.04,1135.53,283.0,126.0
44.0,8.0,1143.75,1144.03,219.0,303.0
168.0,294.0,1160.52,1155.69,16.0,307.0
247.0,220.0,1165.69,1156.9,60.0,181.0
113.0,319.0,1182.1,1173.29,124.0,133.0
63.0,38.0,1188.25,1178.83,129.0,377.0
370.0,380.0,1189.4,1184.15,261.0,53.0
211.0,262.0,1191.88,1193.46,382.0,16.0
240.0,128.0,1197.21,1198.55,179.0,264.0
121.0,44.0,1203.49,1200.61,186.0,235.0
380.0,385.0,1205.85,1207.18,177.0,229.0
289.0,157.0,1210.63,1207.6,342.0,52.0
53.0,30.0,1216.17,1208.47,158.0,264.0
147.0,298.0,1220.12,1213.37,48.0,319.0
305.0,247.0,1222.79,1228.52,132.0,249.0
219.0,257.0,1225.3,1233.25,196.0,362.0
283.0,213.0,1227.76,1238.57,225.0,159.0
359.0,371.0,1234.79,1240.41,346.0,72.0
148.0,331.0,1235.21,1240.43,212.0,263.0
75.0,26.0,1239.95,1241.51,318.0,268.0
224.0,154.0,1241.55,1246.59,90.0,306.0
152.0,59.0,1247.65,1248.36,236.0,98.0
259.0,171.0,1249.97,1249.32,109.0,300.0
353.0,333.0,1252.33,1250.76,303.0,139.0
83.0,32.0,1253.26,1251.69,295.0,87.0
230.0,198.0,1258.29,1255.55,323.0,110.0
121.0,295.0,1258.39,1257.22,135.0,297.0
187.0,139.0,1260.08,1261.44,295.0,297.0
239.0,144.0,1261.09,1265.18,161.0,128.0
345.0,287.0,1266.0,1266.15,202.0,344.0
346.0,270.0,1267.45,1269.5,213.0,131.0
127.0,307.0,1268.94,1274.08,44.0,260.0
238.0,221.0,1271.21,1274.3,34.0,224.0
46.0,21.0,1275.68,1277.62,202.0,270.0
183.0,45.0,1278.12,1282.1,81.0,347.0
38.0,241.0,1279.74,1282.37,17.0,360.0
34.0,228.0,1280.75,1285.2,227.0,124.0
68.0,339.0,1284.09,1287.19,47.0,271.0
276.0,187.0,1286.83,1288.58,167.0,341.0
175.0,34.0,1287.63,1290.01,222.0,90.0
53.0,27.0,1289.88,1292.04,142.0,187.0
268.0,205.0,1290.88,1292.51,156.0,310.0
90.0,315.0,1291.26,1295.5,316.0,164.0
142.0,263.0,1294.85,1296.5,81.0,285.0
138.0,90.0,1295.32,1298.1,207.0,93.0
49.0,32.0,1297.19,1299.24,313.0,77.0
247.0,160.0,1298.47,1300.32,353.0,36.0
375.0,373.0,1300.61,1303.93,99.0,299.0
153.0,70.0,1300.86,1306.55,83.0,133.0
232.0,208.0,1304.62,1308.22,69.0,355.0
151.0,66.0,1305.3,1311.61,163.0,301.0
317.0,81.0,1312.28,1313.39,230.0,49.0
279.0,96.0,1312.65,1315.15,88.0,277.0
298.0,172.0,1327.83,1319.26,275.0,96.0
56.0,344.0,1329.7,1329.71,344.0,208.0
102.0,129.0,1330.46,1337.04,39.0,198.0
97.0,52.0,1334.11,1339.5,293.0,151.0
133.0,303.0,1336.72,1340.95,67.0,61.0
16.0,4.0,1341.23,1341.82,320.0,185.0
323.0,145.0,1342.44,1348.01,43.0,327.0
372.0,359.0,1342.97,1350.53,104.0,349.0
24.0,270.0,1353.67,1352.92,76.0,327.0
202.0,87.0,1354.92,1354.29,288.0,113.0
30.0,176.0,1355.4,1355.31,324.0,142.0
86.0,307.0,1356.54,1355.64,358.0,42.0
190.0,206.0,1356.86,1358.31,9.0,288.0
21.0,113.0,1359.25,1358.67,36.0,395.0
14.0,170.0,1360.55,1360.47,134.0,275.0
232.0,72.0,1361.59,1360.65,130.0,284.0
372.0,369.0,1362.29,1361.87,179.0,262.0
125.0,195.0,1363.99,1362.33,45.0,289.0
129.0,191.0,1364.0,1363.14,78.0,379.0
335.0,182.0,1366.07,1374.05,388.0,41.0
350.0,227.0,1375.98,1376.64,365.0,116.0
394.0,396.0,1387.16,1385.14,110.0,388.0
185.0,141.0,1387.73,1386.8,380.0,22.0
102.0,99.0,1388.93,1387.6,168.0,73.0
391.0,380.0,1389.24,1393.78,394.0,4.0
396.0,378.0,1394.37,1396.37,380.0,9.0
394.0,392.0,1404.12,1405.08,199.0,18.0
330.0,173.0,1406.62,1410.43,333.0,365.0
341.0,54.0,1408.34,1412.41,186.0,230.0
208.0,226.0,1408.69,1412.55,340.0,69.0
52.0,138.0,1414.31,1413.26,310.0,254.0
245.0,138.0,1414.67,1414.34,58.0,312.0
40.0,175.0,1414.92,1415.22,353.0,60.0
64.0,234.0,1415.77,1416.31,22.0,355.0
88.0,295.0,1417.12,1418.0,50.0,219.0
224.0,227.0,1417.81,1418.37,361.0,27.0
77.0,272.0,1418.81,1418.48,156.0,165.0
142.0,216.0,1418.99,1419.24,302.0,163.0
175.0,137.0,1420.36,1419.84,84.0,333.0
376.0,394.0,1420.59,1421.72,253.0,81.0
251.0,109.0,1420.9,1422.45,57.0,281.0
163.0,165.0,1421.45,1423.47,79.0,364.0
116.0,200.0,1422.7,1425.31,33.0,330.0
36.0,231.0,1423.19,1426.07,359.0,38.0
287.0,125.0,1423.92,1426.55,331.0,72.0
123.0,97.0,1425.44,1427.13,59.0,291.0
48.0,80.0,1426.9,1427.87,31.0,274.0
378.0,396.0,1428.48,1428.88,49.0,343.0
40.0,190.0,1429.76,1429.4,3.0,320.0
8.0,335.0,1430.02,1429.8,137.0,385.0
108.0,183.0,1430.3,1430.02,88.0,388.0
383.0,377.0,1430.68,1430.62,366.0,38.0
32.0,117.0,1431.14,1430.96,273.0,144.0
9.0,233.0,1432.17,1431.97,98.0,220.0
391.0,388.0,1433.31,1434.09,310.0,103.0
299.0,121.0,1434.17,1434.19,92.0,136.0
188.0,111.0,1439.05,1436.21,305.0,106.0
72.0,237.0,1439.82,1439.34,392.0,21.0
20.0,260.0,1440.13,1439.75,59.0,366.0
28.0,207.0,1442.19,1440.97,61.0,345.0
358.0,309.0,1442.88,1442.62,6.0,309.0
18.0,60.0,1445.63,1445.06,12.0,266.0
304.0,132.0,1445.96,1445.65,392.0,15.0
383.0,391.0,1446.26,1445.88,240.0,174.0
210.0,73.0,1447.17,1446.13,252.0,147.0
26.0,345.0,1447.84,1446.29,51.0,385.0
386.0,385.0,1452.1,1448.86,396.0,19.0
392.0,386.0,1467.69,1474.35,398.0,27.0
180.0,100.0,1657.73,1659.89,164.0,78.0
91.0,110.0,1668.87,1662.36,107.0,393.0
349.0,12.0,1753.11,1719.73,361.0,56.0
318.0,183.0,1759.52,1761.39,322.0,391.0
363.0,364.0,2860.23,2867.51,374.0,8.0
354.0,296.0,2881.91,2893.73,220.0,15.0
235.0,308.0,2887.8,2897.1,300.0,65.0
32.0,364.0,2898.59,2900.3,8.0,387.0
81.0,68.0,2900.18,2900.71,174.0,287.0
197.0,76.0,2901.03,2901.54,376.0,10.0
299.0,161.0,2901.37,2901.88,14.0,372.0
23.0,354.0,2901.91,2903.85,10.0,375.0
85.0,314.0,2904.23,2907.03,228.0,239.0
118.0,235.0,2904.29,2907.6,22.0,390.0
8.0,8.0,2905.24,2909.15,235.0,94.0
