2CNTZ,2CNTR,2WN,8WN,8CNTZ,8CNTR
205.0,252.0,15.15,23.75,97.0,329.0
250.0,298.0,19.15,24.4,134.0,287.0
125.0,338.0,23.94,26.13,108.0,283.0
235.0,265.0,24.62,28.62,276.0,240.0
291.0,168.0,29.68,33.52,254.0,167.0
313.0,151.0,31.83,36.44,279.0,194.0
278.0,245.0,34.43,38.11,173.0,220.0
321.0,128.0,34.78,41.82,149.0,245.0
288.0,161.0,37.74,46.17,304.0,188.0
218.0,211.0,40.11,46.97,145.0,205.0
298.0,103.0,44.24,50.7,270.0,296.0
293.0,130.0,46.29,56.93,114.0,212.0
202.0,192.0,53.41,59.65,235.0,241.0
191.0,312.0,55.67,64.18,312.0,96.0
249.0,257.0,58.77,67.88,296.0,147.0
263.0,152.0,60.37,68.71,321.0,228.0
236.0,191.0,62.55,76.51,299.0,185.0
338.0,88.0,70.2,80.73,102.0,270.0
169.0,373.0,75.24,86.52,231.0,224.0
214.0,264.0,77.11,88.51,162.0,234.0
201.0,198.0,79.43,89.63,202.0,147.0
275.0,173.0,86.88,94.12,0.0,0.0
211.0,189.0,93.67,98.73,265.0,93.0
305.0,98.0,99.43,100.8,250.0,208.0
146.0,363.0,108.54,101.89,266.0,134.0
165.0,285.0,109.77,103.32,221.0,55.0
239.0,109.0,115.58,110.45,199.0,108.0
206.0,318.0,121.02,113.49,140.0,133.0
272.0,165.0,122.71,114.93,128.0,230.0
256.0,167.0,124.05,122.8,74.0,312.0
245.0,212.0,128.31,126.66,309.0,114.0
352.0,65.0,133.16,128.58,274.0,92.0
265.0,211.0,138.01,131.06,90.0,294.0
139.0,340.0,140.66,138.33,164.0,209.0
137.0,382.0,149.95,140.47,238.0,236.0
73.0,266.0,153.06,141.46,301.0,204.0
151.0,230.0,158.4,142.37,285.0,243.0
343.0,96.0,164.89,156.02,279.0,141.0
312.0,120.0,167.51,167.26,169.0,206.0
316.0,99.0,170.15,172.53,90.0,281.0
260.0,161.0,174.04,179.7,308.0,109.0
253.0,130.0,180.11,191.05,105.0,259.0
295.0,134.0,191.6,196.78,187.0,245.0
322.0,67.0,208.3,200.24,287.0,164.0
329.0,69.0,212.96,206.19,258.0,153.0
94.0,366.0,216.7,209.28,204.0,176.0
150.0,344.0,220.34,214.17,305.0,74.0
286.0,93.0,225.27,224.37,324.0,81.0
212.0,233.0,227.25,237.13,221.0,283.0
216.0,208.0,230.45,243.81,59.0,314.0
277.0,105.0,242.36,254.12,336.0,112.0
201.0,242.0,256.46,258.84,34.0,364.0
103.0,399.0,260.83,263.74,69.0,349.0
297.0,150.0,261.78,265.72,84.0,331.0
301.0,158.0,262.06,266.38,138.0,249.0
123.0,220.0,273.84,275.86,272.0,102.0
242.0,157.0,279.92,278.87,352.0,85.0
176.0,186.0,287.21,281.23,315.0,128.0
193.0,237.0,291.84,286.18,268.0,137.0
365.0,86.0,299.77,290.4,316.0,139.0
160.0,362.0,301.62,291.59,343.0,130.0
357.0,75.0,308.78,300.18,247.0,131.0
237.0,136.0,309.54,304.75,18.0,375.0
289.0,114.0,316.22,309.15,239.0,176.0
346.0,90.0,325.24,311.56,211.0,187.0
185.0,234.0,329.87,315.92,302.0,152.0
155.0,189.0,331.71,318.23,384.0,23.0
224.0,312.0,347.54,337.19,315.0,181.0
310.0,99.0,352.84,338.27,328.0,148.0
348.0,64.0,355.21,345.38,260.0,186.0
350.0,67.0,361.2,347.56,331.0,107.0
191.0,197.0,363.07,358.8,118.0,198.0
192.0,323.0,369.73,366.51,292.0,96.0
380.0,20.0,375.95,367.79,294.0,160.0
338.0,68.0,385.43,379.05,380.0,43.0
334.0,77.0,387.71,396.16,20.0,371.0
324.0,95.0,406.25,400.98,254.0,257.0
329.0,112.0,415.53,411.94,347.0,182.0
