3WN,3CNTZ,3CNTR,7WN,7CNTZ,7CNTR
23.34,262.0,299.0,20.11,281.0,289.0
24.58,249.0,221.0,22.84,321.0,328.0
26.85,182.0,208.0,29.17,93.0,132.0
31.24,223.0,237.0,30.79,157.0,210.0
35.45,273.0,225.0,33.88,166.0,265.0
39.54,277.0,137.0,35.3,215.0,285.0
44.9,271.0,115.0,37.88,286.0,264.0
46.04,243.0,232.0,40.22,296.0,268.0
47.92,155.0,309.0,44.19,191.0,206.0
52.97,118.0,111.0,48.6,223.0,216.0
54.18,201.0,217.0,50.18,234.0,198.0
54.82,222.0,277.0,51.58,260.0,289.0
56.46,169.0,273.0,55.33,186.0,180.0
60.98,239.0,219.0,58.04,177.0,253.0
64.06,290.0,197.0,63.05,135.0,249.0
65.89,256.0,208.0,63.92,186.0,201.0
70.53,140.0,305.0,68.18,291.0,267.0
76.22,150.0,229.0,72.95,310.0,300.0
77.61,278.0,194.0,78.54,281.0,245.0
80.13,347.0,90.0,82.57,86.0,326.0
84.71,132.0,175.0,87.11,272.0,217.0
85.69,216.0,228.0,90.76,130.0,249.0
94.96,231.0,171.0,92.87,163.0,253.0
99.4,218.0,178.0,94.67,183.0,129.0
110.24,167.0,130.0,97.03,209.0,130.0
116.27,148.0,129.0,100.51,165.0,104.0
118.11,81.0,185.0,103.28,170.0,136.0
121.49,191.0,211.0,109.47,314.0,259.0
123.28,184.0,154.0,115.84,301.0,240.0
125.47,161.0,293.0,122.28,174.0,178.0
128.78,123.0,171.0,124.43,104.0,100.0
130.55,142.0,151.0,128.07,198.0,278.0
135.77,273.0,124.0,135.58,217.0,262.0
137.47,294.0,174.0,140.04,106.0,301.0
147.23,163.0,376.0,141.84,136.0,150.0
148.2,236.0,324.0,147.47,156.0,72.0
158.72,134.0,279.0,153.85,259.0,167.0
161.03,209.0,248.0,160.08,99.0,292.0
172.17,261.0,145.0,161.73,158.0,142.0
177.07,41.0,121.0,167.2,195.0,92.0
186.14,252.0,254.0,171.32,285.0,167.0
187.07,319.0,139.0,181.0,255.0,242.0
193.79,241.0,314.0,188.24,336.0,303.0
200.66,191.0,290.0,195.79,314.0,195.0
206.68,329.0,121.0,201.66,266.0,147.0
227.14,226.0,202.0,207.77,90.0,74.0
229.66,164.0,320.0,213.75,319.0,322.0
234.98,302.0,162.0,216.72,286.0,306.0
239.37,85.0,161.0,230.62,262.0,177.0
246.35,350.0,100.0,234.92,249.0,151.0
250.52,213.0,230.0,244.33,295.0,290.0
252.88,175.0,165.0,245.38,295.0,268.0
258.7,264.0,353.0,247.05,124.0,292.0
263.54,231.0,374.0,248.31,94.0,149.0
266.03,256.0,215.0,257.56,289.0,282.0
268.18,149.0,204.0,260.52,178.0,325.0
278.01,125.0,290.0,267.81,27.0,334.0
279.47,357.0,105.0,273.79,352.0,349.0
281.86,369.0,39.0,274.33,139.0,152.0
282.12,239.0,193.0,275.69,82.0,77.0
298.11,89.0,258.0,284.43,244.0,244.0
300.58,221.0,91.0,295.34,348.0,345.0
301.88,345.0,74.0,296.94,170.0,144.0
316.6,247.0,261.0,304.28,282.0,251.0
320.96,351.0,73.0,307.58,181.0,118.0
328.07,328.0,134.0,309.81,178.0,88.0
335.95,104.0,228.0,317.45,370.0,382.0
340.48,365.0,66.0,327.18,361.0,355.0
343.56,179.0,312.0,337.28,363.0,357.0
345.5,144.0,311.0,343.36,207.0,202.0
353.44,305.0,92.0,350.16,263.0,223.0
354.17,246.0,129.0,361.24,334.0,317.0
355.03,203.0,162.0,380.17,365.0,367.0
374.32,343.0,114.0,391.28,229.0,300.0
382.41,352.0,70.0,400.26,325.0,286.0
386.26,162.0,307.0,405.32,130.0,59.0
401.86,317.0,122.0,409.14,113.0,46.0
407.92,310.0,109.0,422.27,310.0,221.0
413.86,341.0,140.0,425.09,202.0,314.0
427.68,363.0,53.0,427.29,265.0,320.0
438.91,62.0,191.0,430.22,342.0,347.0
439.58,312.0,148.0,441.39,225.0,97.0
443.95,376.0,27.0,443.66,320.0,272.0
449.56,178.0,384.0,446.26,359.0,349.0
450.05,372.0,60.0,453.84,337.0,328.0
475.36,360.0,82.0,463.08,311.0,280.0
479.29,303.0,180.0,474.5,227.0,115.0
483.36,206.0,263.0,480.37,328.0,297.0
491.28,270.0,164.0,484.24,328.0,280.0
498.25,323.0,156.0,499.96,312.0,282.0
507.13,298.0,142.0,508.25,290.0,230.0
510.94,43.0,238.0,509.13,16.0,2.0
514.86,244.0,84.0,521.24,100.0,326.0
534.17,26.0,381.0,557.27,135.0,62.0
558.92,286.0,96.0,561.55,339.0,257.0
578.68,387.0,28.0,571.05,333.0,212.0
593.72,326.0,102.0,575.89,132.0,48.0
605.2,357.0,132.0,581.79,366.0,360.0
605.6,40.0,386.0,591.46,303.0,185.0
617.55,214.0,63.0,594.34,268.0,196.0
660.02,314.0,176.0,622.76,326.0,154.0
673.39,387.0,26.0,667.96,386.0,390.0
683.44,291.0,222.0,687.57,335.0,48.0
698.96,183.0,79.0,713.43,276.0,114.0
709.03,321.0,198.0,714.35,11.0,1.0
714.89,319.0,200.0,722.42,168.0,173.0
721.48,303.0,187.0,726.78,79.0,316.0
722.11,49.0,362.0,730.16,199.0,277.0
728.02,124.0,366.0,730.79,172.0,49.0
728.72,12.0,87.0,732.5,71.0,276.0
734.05,94.0,345.0,733.9,64.0,116.0
741.75,27.0,156.0,737.1,278.0,124.0
747.14,159.0,209.0,738.05,100.0,78.0
753.75,247.0,330.0,747.65,200.0,65.0
755.15,157.0,355.0,750.31,252.0,204.0
758.53,35.0,237.0,757.97,119.0,311.0
765.05,165.0,286.0,760.4,41.0,23.0
767.08,76.0,338.0,779.48,243.0,103.0
779.3,15.0,116.0,785.04,66.0,343.0
792.79,293.0,248.0,796.5,248.0,107.0
796.65,378.0,31.0,798.51,368.0,374.0
798.5,234.0,280.0,801.45,254.0,106.0
813.61,300.0,265.0,809.74,76.0,25.0
823.37,176.0,359.0,813.0,274.0,82.0
828.47,196.0,346.0,824.54,35.0,11.0
835.27,185.0,218.0,839.55,373.0,376.0
835.93,21.0,86.0,843.23,253.0,223.0
837.6,289.0,187.0,847.69,212.0,84.0
838.33,363.0,99.0,851.85,96.0,332.0
851.79,283.0,204.0,861.38,270.0,189.0
855.85,69.0,369.0,865.23,60.0,25.0
862.67,77.0,240.0,868.87,108.0,324.0
863.28,96.0,298.0,874.53,96.0,36.0
865.81,259.0,294.0,881.43,192.0,213.0
874.3,237.0,144.0,883.4,155.0,84.0
885.34,114.0,338.0,897.05,361.0,360.0
894.93,380.0,42.0,897.94,73.0,50.0
897.75,165.0,308.0,905.1,226.0,225.0
902.84,169.0,213.0,909.71,220.0,284.0
907.37,152.0,304.0,911.57,230.0,255.0
915.71,187.0,273.0,921.53,368.0,371.0
918.75,369.0,56.0,922.24,256.0,122.0
923.06,184.0,243.0,926.47,66.0,29.0
929.54,41.0,154.0,935.08,68.0,342.0
935.82,145.0,322.0,941.91,381.0,381.0
940.03,388.0,29.0,948.64,106.0,43.0
943.22,224.0,277.0,950.34,220.0,162.0
950.15,229.0,318.0,959.02,257.0,186.0
950.43,14.0,123.0,969.0,236.0,85.0
964.55,70.0,359.0,971.52,181.0,214.0
966.16,229.0,281.0,976.8,111.0,242.0
973.03,110.0,388.0,980.84,110.0,41.0
974.57,264.0,263.0,983.09,118.0,90.0
976.53,203.0,283.0,987.21,204.0,124.0
979.1,128.0,367.0,987.47,214.0,123.0
986.51,208.0,241.0,990.0,115.0,47.0
996.8,31.0,78.0,994.7,74.0,338.0
997.92,156.0,223.0,1005.11,150.0,89.0
999.71,254.0,252.0,1006.08,215.0,193.0
1002.08,290.0,175.0,1007.04,24.0,9.0
1006.84,46.0,341.0,1013.24,217.0,251.0
1008.93,237.0,150.0,1016.45,105.0,332.0
1009.61,73.0,91.0,1017.52,324.0,237.0
1011.92,138.0,240.0,1026.28,38.0,15.0
1017.76,120.0,332.0,1027.11,306.0,201.0
1021.49,339.0,135.0,1028.71,138.0,31.0
1035.5,54.0,364.0,1029.97,161.0,68.0
1036.71,275.0,233.0,1031.22,159.0,274.0
1038.95,385.0,9.0,1032.58,194.0,247.0
1039.4,59.0,227.0,1034.1,206.0,58.0
1041.7,192.0,280.0,1036.39,241.0,156.0
1044.51,67.0,288.0,1038.91,151.0,101.0
1045.46,198.0,125.0,1041.22,146.0,275.0
1048.9,30.0,85.0,1043.84,93.0,337.0
1053.23,190.0,329.0,1044.17,254.0,169.0
1054.84,107.0,267.0,1045.05,378.0,387.0
1058.12,347.0,135.0,1053.71,345.0,340.0
1059.77,360.0,98.0,1054.17,324.0,310.0
1064.69,316.0,182.0,1062.15,190.0,285.0
1065.89,335.0,168.0,1063.32,331.0,322.0
1068.82,66.0,275.0,1063.4,112.0,75.0
1070.7,364.0,65.0,1069.44,340.0,278.0
1082.47,217.0,305.0,1076.49,272.0,180.0
1085.25,60.0,314.0,1083.07,162.0,55.0
1096.27,10.0,110.0,1090.54,124.0,34.0
1102.68,136.0,253.0,1097.03,59.0,209.0
1104.7,133.0,284.0,1097.87,70.0,189.0
1106.95,206.0,269.0,1100.89,266.0,133.0
1108.76,374.0,38.0,1103.05,304.0,106.0
1113.69,292.0,213.0,1111.33,387.0,377.0
1120.28,201.0,234.0,1115.35,145.0,304.0
1122.1,362.0,54.0,1122.73,222.0,148.0
1124.33,261.0,202.0,1123.18,356.0,352.0
1134.86,241.0,243.0,1130.04,158.0,62.0
1138.15,268.0,190.0,1143.75,44.0,8.0
1153.87,266.0,196.0,1160.52,168.0,294.0
1156.31,52.0,169.0,1165.69,247.0,220.0
1160.55,179.0,292.0,1182.1,113.0,319.0
1164.19,59.0,256.0,1188.25,63.0,38.0
1175.81,212.0,151.0,1189.4,370.0,380.0
1182.67,63.0,316.0,1191.88,211.0,262.0
1188.8,379.0,53.0,1197.21,240.0,128.0
1194.14,354.0,63.0,1203.49,121.0,44.0
1194.88,356.0,62.0,1205.85,380.0,385.0
1202.76,55.0,352.0,1210.63,289.0,157.0
1211.11,121.0,210.0,1216.17,53.0,30.0
1220.73,1.0,50.0,1220.12,147.0,298.0
1225.82,351.0,107.0,1222.79,305.0,247.0
1228.2,308.0,193.0,1225.3,219.0,257.0
1228.97,48.0,324.0,1227.76,283.0,213.0
1234.66,78.0,356.0,1234.79,359.0,371.0
1236.71,345.0,96.0,1235.21,148.0,331.0
1237.03,276.0,205.0,1239.95,75.0,26.0
1241.34,307.0,260.0,1241.55,224.0,154.0
1242.69,340.0,183.0,1247.65,152.0,59.0
1248.41,98.0,343.0,1249.97,259.0,171.0
1249.14,354.0,186.0,1252.33,353.0,333.0
1251.09,52.0,341.0,1253.26,83.0,32.0
1251.99,233.0,196.0,1258.29,230.0,198.0
1255.37,24.0,236.0,1258.39,121.0,295.0
1264.33,295.0,206.0,1260.08,187.0,139.0
1264.54,296.0,251.0,1261.09,239.0,144.0
1267.09,159.0,246.0,1266.0,345.0,287.0
1267.7,16.0,93.0,1267.45,346.0,270.0
1270.08,173.0,286.0,1268.94,127.0,307.0
1273.31,281.0,272.0,1271.21,238.0,221.0
1274.02,136.0,319.0,1275.68,46.0,21.0
1275.73,36.0,136.0,1278.12,183.0,45.0
1278.17,96.0,336.0,1279.74,38.0,241.0
1286.99,377.0,70.0,1280.75,34.0,228.0
1287.35,103.0,362.0,1284.09,68.0,339.0
1287.9,33.0,21.0,1286.83,276.0,187.0
1288.85,121.0,327.0,1287.63,175.0,34.0
1289.53,210.0,113.0,1289.88,53.0,27.0
1290.81,300.0,297.0,1290.88,268.0,205.0
1293.53,24.0,105.0,1291.26,90.0,315.0
1295.21,260.0,119.0,1294.85,142.0,263.0
1298.96,175.0,327.0,1295.32,138.0,90.0
1300.56,189.0,59.0,1297.19,49.0,32.0
1303.54,186.0,52.0,1298.47,247.0,160.0
1310.13,307.0,224.0,1300.61,375.0,373.0
1310.66,105.0,371.0,1300.86,153.0,70.0
1311.17,16.0,47.0,1304.62,232.0,208.0
1314.34,198.0,35.0,1305.3,151.0,66.0
1317.52,64.0,386.0,1312.28,317.0,81.0
1328.84,102.0,394.0,1312.65,279.0,96.0
1329.8,258.0,149.0,1327.83,298.0,172.0
1329.97,84.0,74.0,1329.7,56.0,344.0
1334.2,382.0,104.0,1330.46,102.0,129.0
1337.19,74.0,350.0,1334.11,97.0,52.0
1337.39,248.0,348.0,1336.72,133.0,303.0
1337.88,193.0,353.0,1341.23,16.0,4.0
1339.58,313.0,282.0,1342.44,323.0,145.0
1348.35,7.0,46.0,1342.97,372.0,359.0
1349.61,87.0,373.0,1353.67,24.0,270.0
1352.32,220.0,322.0,1354.92,202.0,87.0
1353.87,171.0,172.0,1355.4,30.0,176.0
1357.02,367.0,147.0,1356.54,86.0,307.0
1357.1,23.0,33.0,1356.86,190.0,206.0
1358.68,210.0,223.0,1359.25,21.0,113.0
1360.08,154.0,354.0,1360.55,14.0,170.0
1361.87,281.0,183.0,1361.59,232.0,72.0
1362.82,80.0,366.0,1362.29,372.0,369.0
1363.23,254.0,249.0,1363.99,125.0,195.0
1365.47,54.0,343.0,1364.0,129.0,191.0
1369.36,328.0,127.0,1366.07,335.0,182.0
1379.73,322.0,217.0,1375.98,350.0,227.0
1381.33,30.0,395.0,1387.16,394.0,396.0
